# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
1.52150013	1.34531163	1.69768863
0.29361258	0.20631010	0.38091506
0.01254257	-0.00220039	0.02728552
0.00000000	0.00000000	0.00000000
2.55565419	2.35672418	2.75458421
0.89301209	0.73242967	1.05359451
0.22412971	0.12234531	0.32591410
0.03390835	0.00232319	0.06549351
4.03297137	3.70364443	4.36229831
2.57463198	2.35559474	2.79366923
1.41628876	1.21105044	1.62152708
0.73539251	0.54180907	0.92897596
3.92981884	3.51799102	4.34164666
2.79290075	2.52242967	3.06337183
1.53726510	1.31112237	1.76340782
0.86404097	0.65040666	1.07767527
4.63838279	4.21908623	5.05767934
3.38151305	3.03559211	3.72743399
2.20178470	1.90911226	2.49445713
1.69947706	1.40877774	1.99017638
5.10827790	4.80122403	5.41533177
2.28049470	2.01774816	2.54324124
0.47945644	0.35447225	0.60444064
0.02430704	0.00428648	0.04432760
5.64921682	5.31370589	5.98472775
3.06856249	2.76428066	3.37284432
0.99261743	0.77053716	1.21469771
0.12632871	0.06076998	0.19188744
5.40834293	5.05040105	5.76628481
3.00455628	2.67790061	3.33121194
0.99016240	0.77020536	1.21011943
0.17328246	0.05106207	0.29550285
6.00530585	5.62001497	6.39059672
3.35043679	3.01783259	3.68304099
1.27139239	1.02078135	1.52200343
0.29288732	0.16842547	0.41734917
4.71965162	4.23581656	5.20348668
3.39120280	3.03009517	3.75231044
2.58514504	2.27791637	2.89237371
2.44102646	2.07260076	2.80945216
4.30003075	3.91076655	4.68929496
3.19094233	2.90576228	3.47612239
2.17758852	1.88941165	2.46576538
1.57558422	1.27916420	1.87200424
4.25904600	3.88410420	4.63398779
2.98492790	2.69317438	3.27668143
1.92488825	1.67287260	2.17690390
1.28221324	1.03448088	1.52994559
4.21508870	3.84686954	4.58330786
3.05887606	2.77214097	3.34561114
1.93339047	1.70095705	2.16582388
1.24157190	0.98053378	1.50261003
3.98167900	3.61500215	4.34835586
2.73178444	2.45774582	3.00582306
1.48451466	1.26156341	1.70746592
1.01673655	0.77397950	1.25949360
3.60166831	3.29320477	3.91013184
2.23353114	1.98464837	2.48241391
1.30021792	1.09266120	1.50777464
0.54526522	0.38419183	0.70633861
4.16196439	3.90649571	4.41743308
1.38503080	1.18072838	1.58933322
0.11742555	0.05767111	0.17717998
0.00017017	-0.00016337	0.00050371
4.64128955	4.37417726	4.90840185
1.91723529	1.68092681	2.15354377
0.26625361	0.18530997	0.34719725
0.00356990	-0.00299275	0.01013255
5.04349954	4.73489200	5.35210708
2.40041814	2.15120628	2.64963000
0.47624476	0.35765448	0.59483504
0.00634461	0.00029126	0.01239796
5.55692857	5.22234333	5.89151382
2.85193474	2.56712207	3.13674741
0.90135448	0.68996044	1.11274851
0.12373616	0.04443147	0.20304085
5.71270742	5.30743005	6.11798479
3.11255072	2.76695702	3.45814443
1.18325219	0.94149520	1.42500918
0.18529625	0.09749548	0.27309703
5.89416665	5.51430260	6.27403069
3.23466317	2.88717410	3.58215223
1.36092903	1.08671678	1.63514128
0.26993956	0.14331101	0.39656812
5.35152633	5.02773400	5.67531866
2.85657917	2.55827536	3.15488298
0.86786521	0.66872014	1.06701027
0.12676943	0.06063650	0.19290236
5.62420884	5.25526552	5.99315216
3.15487815	2.81362316	3.49613313
1.04958453	0.82217763	1.27699143
0.24688813	0.13154114	0.36223511
