# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.92096508	0.78367566	1.05825451
0.10449604	0.06184253	0.14714955
0.00185201	-0.00177793	0.00548195
0.00000000	0.00000000	0.00000000
1.81953264	1.63975402	1.99931126
0.48108593	0.36363797	0.59853388
0.10929378	0.04555020	0.17303735
0.00898850	-0.00336665	0.02134365
3.33518370	3.04066023	3.62970717
1.92945431	1.73050406	2.12840455
0.91254851	0.74584890	1.07924812
0.39380542	0.26194457	0.52566626
3.28210385	2.91305973	3.65114797
2.12546634	1.87610774	2.37482493
1.02208196	0.82824973	1.21591419
0.47583171	0.32207375	0.62958968
3.95157169	3.56954781	4.33359556
2.73268802	2.41534781	3.05002823
1.65576615	1.39817130	1.91336101
1.09767204	0.86682866	1.32851542
3.46081480	3.17630098	3.74532861
1.06783552	0.88188651	1.25378453
0.09673263	0.04697383	0.14649144
0.00058160	-0.00055833	0.00172153
4.03316372	3.71963913	4.34668830
1.66359305	1.41280771	1.91437839
0.33874499	0.20772874	0.46976124
0.01344335	-0.00043584	0.02732254
3.82249559	3.49131558	4.15367560
1.67154672	1.40438207	1.93871136
0.35846686	0.22056156	0.49637217
0.05104304	-0.02246096	0.12454704
4.38785123	4.02790211	4.74780036
1.95651435	1.67814037	2.23488833
0.53667143	0.38028989	0.69305298
0.06706973	0.02095465	0.11318481
4.04422179	3.59881287	4.48963070
2.80655796	2.47657588	3.13654004
2.01396826	1.73549844	2.29243807
1.73853811	1.42238726	2.05468897
3.65947806	3.30881017	4.01014595
2.55310497	2.29180778	2.81440216
1.58653134	1.32650792	1.84655477
0.98696324	0.74464316	1.22928333
3.59486040	3.25681017	3.93291063
2.34114602	2.07700470	2.60528734
1.34592781	1.12986231	1.56199331
0.76771880	0.58583179	0.94960582
3.55643764	3.22517839	3.88769689
2.42424275	2.16432492	2.68416057
1.34246181	1.14308993	1.54183368
0.71348245	0.50542281	0.92154210
3.31223098	2.98072405	3.64373792
2.09659910	1.84707611	2.34612210
1.00086061	0.81441161	1.18730962
0.60158798	0.41920643	0.78396952
2.90905178	2.63399224	3.18411133
1.63496121	1.41488112	1.85504129
0.79121273	0.62496171	0.95746374
0.26845602	0.16451174	0.37240031
2.53763432	2.30622086	2.76904777
0.43616415	0.31984155	0.55248675
0.01214485	-0.00029959	0.02458929
0.00000000	0.00000000	0.00000000
3.00974111	2.76598839	3.25349382
0.78860368	0.63364749	0.94355988
0.02515012	0.00623073	0.04406951
0.00000000	0.00000000	0.00000000
3.45299573	3.17813899	3.72785247
1.11419018	0.93390903	1.29447134
0.07237347	0.03735107	0.10739588
0.00000000	0.00000000	0.00000000
3.93157158	3.61938859	4.24375457
1.50562699	1.27344439	1.73780958
0.30594734	0.18485355	0.42704113
0.02302176	-0.00464721	0.05069074
4.11535074	3.74796133	4.48274016
1.79850680	1.51138107	2.08563254
0.45234949	0.31509669	0.58960230
0.02848436	-0.00018987	0.05715859
4.27062804	3.91246014	4.62879594
1.90429894	1.60841149	2.20018638
0.57533896	0.40177889	0.74889903
0.06855012	0.01527246	0.12182779
3.75467513	3.44850251	4.06084775
1.52774332	1.28960354	1.76588310
0.29128848	0.17662000	0.40595697
0.01508263	0.00160330	0.02856196
4.00700495	3.66416858	4.34984133
1.77851746	1.48782339	2.06921152
0.39720123	0.24996560	0.54443687
0.06061606	0.01003837	0.11119375
