# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
383.12206994	328.78510064	437.45903924
69.98976337	51.17287062	88.80665611
4.43084131	-0.79261450	9.65429712
0.00000000	0.00000000	0.00000000
684.60617079	607.41608035	761.79626123
222.12546421	174.26975703	269.98117139
51.62583402	28.84418300	74.40748504
9.83571280	1.84039665	17.83102895
1423.55996690	1277.98389080	1569.13604300
676.15341743	610.67141090	741.63542395
378.48285853	316.80108292	440.16463414
191.62025390	132.55098683	250.68952096
1282.13979736	1123.76245750	1440.51713722
791.73992892	688.62667829	894.85317955
434.23488654	360.03502798	508.43474511
217.41306750	153.21047657	281.61565843
1552.81946287	1374.87757583	1730.76134991
968.34774966	854.39063937	1082.30485995
622.15505658	538.26348878	706.04662438
508.70130464	400.93499809	616.46761118
923.82991445	839.04381673	1008.61601216
337.10511677	301.00552980	373.20470375
95.44412263	73.45441731	117.43382794
7.11284345	2.11047799	12.11520890
1171.47752572	1067.30064321	1275.65440824
469.13571595	415.74151525	522.52991666
165.65628629	135.67890350	195.63366909
29.08617312	16.09745494	42.07489130
1181.14518933	1061.88429791	1300.40608076
453.43749830	402.61576121	504.25923540
170.69543024	130.42575276	210.96510773
34.43102142	15.30296453	53.55907831
1295.68850447	1171.40439179	1419.97261714
515.32981780	458.81285217	571.84678344
226.17078163	177.54488324	274.79668002
50.79885663	33.09243836	68.50527490
1854.39894537	1648.35250759	2060.44538315
1129.02558774	988.86576376	1269.18541173
778.36432396	674.44168139	882.28696653
815.66343274	671.83121462	959.49565086
1374.84894984	1217.29104236	1532.40685731
891.22326023	787.50492735	994.94159311
623.69913103	532.37704292	715.02121913
460.17725913	365.09617873	555.25833953
1335.40858599	1192.68670722	1478.13046476
852.11649314	754.25080456	949.98218173
526.96318795	449.65122468	604.27515122
390.82086851	301.06161159	480.58012543
1429.24308240	1266.02383437	1592.46233043
866.14129950	770.32493072	961.95766828
556.19591767	473.66629949	638.72553586
349.03660269	267.71431347	430.35889190
1284.06118340	1144.91054309	1423.21182372
809.82263172	703.16443598	916.48082745
419.27175129	347.37310354	491.17039903
285.84357851	205.57851140	366.10864563
1144.31950364	1024.58595987	1264.05304741
637.79820805	555.48543363	720.11098247
344.87929094	288.24714471	401.51143717
159.44961676	110.51497562	208.38425789
653.80440072	601.67944784	705.92935360
210.05432588	184.07839912	236.03025264
28.18967990	16.51863550	39.86072431
0.07657749	-0.07351439	0.22666937
907.67340959	821.58027886	993.76654031
283.87106192	250.09670859	317.64541525
56.32121117	41.85064283	70.79177950
1.60645691	-1.34673551	4.55964933
955.65455089	877.35800448	1033.95109731
334.85323323	300.36172980	369.34473666
88.86389336	70.52741934	107.20036737
2.85507514	0.13106733	5.57908294
1161.87232843	1040.97439523	1282.77026163
430.42208243	382.02751494	478.81664993
150.23197178	118.34813972	182.11580384
25.30084744	12.84593191	37.75576297
1269.87220243	1132.48394377	1407.26046109
475.50592607	417.87199163	533.13986050
198.65592341	158.93601239	238.37583443
37.39699541	22.33674069	52.45725012
1301.66479835	1172.71484263	1430.61475408
507.45333863	450.88863972	564.01803753
211.89942168	167.76447952	256.03436385
47.14247871	26.23095714	68.05400029
1161.57599185	1060.03841370	1263.11357000
436.30885063	387.79450074	484.82320052
167.57395101	133.12550056	202.02240146
25.19445528	14.38014953	36.00876103
1198.27473191	1089.33986169	1307.20960213
504.84596148	436.37638661	573.31553635
184.66558926	151.23185753	218.09932098
52.14305888	31.03987764	73.24624012
