# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
235.28157254	192.02507850	278.53806659
21.82016903	12.87222818	30.76810988
0.41670215	-0.40003407	1.23343837
0.00000000	0.00000000	0.00000000
500.25656651	434.60696000	565.90617302
123.07603520	85.82593978	160.32613062
23.46783211	9.32866761	37.60699661
2.02241259	-0.75749696	4.80232215
1181.02869490	1052.38543652	1309.67195328
510.60832535	452.48060017	568.73605053
244.81245627	194.74615747	294.87875508
100.77415151	59.64925672	141.89904629
1072.85379258	932.04278936	1213.66479580
610.53582856	518.50582169	702.56583542
285.65108141	222.04015276	349.26201006
119.61441595	71.14932108	168.07951082
1325.75043380	1166.16223592	1485.33863169
785.45262860	681.86393934	889.04131787
465.62403662	392.56447670	538.68359654
333.20124321	248.18912884	418.21335758
634.27129025	565.38976471	703.15281578
151.35096537	124.32761451	178.37431624
16.08181405	6.79811053	25.36551758
0.08723969	-0.08375010	0.25822948
846.77356762	758.02440026	935.52273497
251.66173343	208.77281088	294.55065599
45.57622843	27.67552644	63.47693042
1.90651260	-0.00839584	3.82142104
843.54285829	742.89753084	944.18818574
246.32445912	204.23137367	288.41754457
60.76595822	32.92931607	88.60260036
6.87022243	-2.03096950	15.77141436
951.36168199	844.04046491	1058.68289907
303.10005330	256.10211590	350.09799069
91.35824946	60.38134928	122.33514964
8.58977198	2.57900692	14.60053703
1592.30608183	1404.79249066	1779.81967300
940.17979799	813.22431599	1067.13527999
607.91131584	513.40818936	702.41444232
587.24223642	466.16471073	708.31976211
1173.01478244	1031.95365396	1314.07591092
718.42696804	625.15940471	811.69453137
455.95133013	374.40008546	537.50257480
285.62108542	210.36000281	360.88216803
1129.08746077	1001.93332611	1256.24159544
670.91758646	584.64267887	757.19249406
368.58834638	303.23283876	433.94385400
236.87773470	170.19264323	303.56282617
1212.93812017	1066.73138310	1359.14485724
689.66658470	603.30784458	776.02532481
393.78012105	322.52894056	465.03130154
193.54931183	130.74213151	256.35649215
1070.24542683	946.60785553	1193.88299814
629.20147677	534.00116090	724.40179265
286.36184364	226.04874675	346.67494053
170.95873737	110.78751283	231.12996191
928.18680221	824.01633913	1032.35726528
472.00821643	400.76380203	543.25263082
208.35009614	162.63650959	254.06368269
72.55630081	43.81396254	101.29863908
400.35618012	357.99458696	442.71777328
58.09091762	42.26308675	73.91874848
1.90131351	0.00444750	3.79817951
0.00000000	0.00000000	0.00000000
593.08612484	525.95658674	660.21566294
110.75437289	87.57977477	133.92897101
3.61240988	0.84392821	6.38089155
0.00000000	0.00000000	0.00000000
658.63242853	593.34476299	723.92009407
151.06408207	125.52525061	176.60291354
9.88656162	5.32759060	14.44553264
0.00000000	0.00000000	0.00000000
831.73716787	731.37203883	932.10229691
224.90328205	184.37952519	265.42703892
43.90247997	24.80303815	63.00192179
2.69169981	-0.46323641	5.84663602
922.92228818	807.42064545	1038.42393092
272.70189881	224.82766645	320.57613118
71.52770001	48.25406331	94.80133671
4.18446428	-0.09473232	8.46366088
952.19993189	841.87537534	1062.52448844
297.37472373	249.18716787	345.56227959
86.30196760	56.67834858	115.92558663
10.42960267	1.65451796	19.20468737
820.33019238	732.39876325	908.26162150
231.67761858	193.85152666	269.50371049
49.23290945	28.78587766	69.67994125
1.90193999	0.35853623	3.44534374
860.23976185	766.63799020	953.84153350
281.98140703	225.20985521	338.75295884
60.46666236	39.25406820	81.67925652
10.50625224	1.59493539	19.41756909
