# mean	lower_ci	upper_ci
0.21455498	0.16755784	0.26155212
0.33252338	0.27091799	0.39412877
0.29372330	0.24524599	0.34220060
0.32158445	0.25242607	0.39074283
0.41401889	0.34665222	0.48138556
0.45849068	0.35355052	0.56343084
0.33084006	0.27642895	0.38525117
0.42177670	0.33239723	0.51115618
0.71382956	0.58843837	0.83922076
1.23061050	1.03541678	1.42580422
0.96695820	0.79430639	1.13961001
0.93340443	0.78712677	1.07968208
1.28522848	1.10697480	1.46348216
1.75969530	1.42900005	2.09039055
1.88147937	1.47490789	2.28805085
1.65776122	1.25359355	2.06192889
1.90346924	1.52858652	2.27835196
2.41579942	1.98946449	2.84213436
2.34714069	1.92289438	2.77138700
2.21126849	1.82436638	2.59817061
1.96938351	1.68276321	2.25600380
1.89909888	1.52716852	2.27102924
1.46574221	1.19766488	1.73381953
1.25730281	1.02011534	1.49449028
1.84772647	1.60665513	2.08879781
3.26731771	2.83480288	3.69983255
3.28114894	2.71210845	3.85018943
3.35967206	2.78403145	3.93531268
4.48195915	3.83710746	5.12681085
6.06618088	5.29539771	6.83696404
6.07518053	5.28553124	6.86482983
5.41558177	4.61479770	6.21636585
6.35991334	5.53368061	7.18614607
7.30288069	6.38506042	8.22070097
6.97459137	5.93997559	8.00920716
6.66160010	5.61848864	7.70471155
6.93323227	5.91485202	7.95161252
6.32484365	5.30804060	7.34164669
5.01498276	4.04121434	5.98875118
4.15776581	3.25996073	5.05557090
3.58084755	2.77809022	4.38360487
2.42271018	1.72410518	3.12131517
1.54140544	0.98351990	2.09929098
1.05923740	0.77667642	1.34179839
1.22146044	0.81360240	1.62931849
1.61069553	1.22486040	1.99653066
1.16439515	0.88486432	1.44392598
1.10967397	0.90789998	1.31144796
1.36489827	1.17213731	1.55765924
1.48519740	1.22657710	1.74381771
1.31519604	1.03291599	1.59747609
1.33194492	1.07519475	1.58869509
1.23323239	1.02379100	1.44267378
1.03238160	0.86201436	1.20274884
0.89939674	0.74462458	1.05416890
0.82222946	0.65191151	0.99254741
0.96383564	0.80887335	1.11879792
0.88703802	0.71089595	1.06318010
0.70293287	0.58094094	0.82492480
0.55514514	0.44758480	0.66270548
0.96815704	0.82231341	1.11400068
1.18829700	0.99223843	1.38435556
0.96292334	0.80841414	1.11743255
0.95868733	0.74574119	1.17163346
1.48120506	1.22773929	1.73467083
1.82595147	1.52106961	2.13083333
1.15666463	0.94731018	1.36601909
1.20422700	1.03533235	1.37312165
1.89787719	1.63143040	2.16432398
2.86143079	2.44877623	3.27408536
2.66757710	2.20258480	3.13256940
2.58841683	2.10108382	3.07574983
3.87127451	3.21133082	4.53121820
4.81494841	4.03216504	5.59773178
4.73075227	3.90847868	5.55302587
4.19387850	3.43694403	4.95081296
4.97847503	4.18091884	5.77603121
6.34985487	5.42944958	7.27026017
6.26762506	5.31269435	7.22255577
5.92927248	5.00847434	6.85007063
7.26235623	6.27537543	8.24933704
8.42030274	7.25381635	9.58678913
7.95725764	6.67141475	9.24310052
7.62188394	6.34922020	8.89454768
8.74439226	7.29472179	10.19406273
9.89092112	8.37409932	11.40774292
9.67097592	8.15842150	11.18353033
9.16910239	7.59586498	10.74233980
10.10015120	8.42951078	11.77079163
11.54801142	9.79252012	13.30350271
10.85919455	9.06760365	12.65078545
10.36246169	8.62585562	12.09906776
10.78469028	8.95402121	12.61535935
9.98590313	8.19761637	11.77418990
8.35586184	6.73163125	9.98009243
6.89131438	5.34921640	8.43341236
