# mean	lower_ci	upper_ci
0.04126677	0.01566344	0.06687011
0.08528297	0.05286335	0.11770259
0.05404633	0.03205110	0.07604156
0.08357982	0.04286526	0.12429439
0.10737887	0.06933213	0.14542562
0.18011962	0.10374927	0.25648997
0.07364374	0.04998623	0.09730124
0.13416147	0.07286888	0.19545405
0.30327281	0.20799977	0.39854585
0.69110528	0.53100384	0.85120672
0.48730988	0.34670373	0.62791603
0.43881312	0.32406253	0.55356372
0.69096009	0.54464781	0.83727238
1.12515875	0.82182971	1.42848780
1.24301199	0.86092555	1.62509843
1.06607535	0.68723525	1.44491544
1.23981091	0.88553140	1.59409041
1.72280534	1.32292453	2.12268615
1.67834878	1.28106637	2.07563119
1.52768293	1.16934090	1.88602495
1.26532811	1.00237922	1.52827701
1.27620229	0.93630946	1.61609512
0.91021114	0.67685735	1.14356493
0.72122781	0.51275156	0.92970406
1.16277222	0.94781556	1.37772887
2.48442745	2.07546299	2.89339190
2.53432630	1.99021386	3.07843874
2.59853285	2.04664617	3.15041953
3.63964056	3.01160635	4.26767476
5.19950014	4.44341672	5.95558355
5.20814069	4.43424732	5.98203406
4.56893752	3.78656367	5.35131138
5.47388845	4.66138764	6.28638927
6.40155130	5.49320678	7.30989582
6.11779320	5.09948645	7.13609996
5.81397041	4.78863224	6.83930859
6.07121347	5.06879286	7.07363409
5.49540114	4.49754504	6.49325725
4.25593383	3.30594148	5.20592619
3.42079627	2.54575424	4.29583830
2.85820820	2.07697408	3.63944231
1.83146849	1.15890900	2.50402798
1.05292946	0.52066259	1.58519633
0.61159041	0.35549167	0.86768915
0.70076813	0.31090080	1.09063547
1.00641004	0.64284242	1.36997766
0.64955773	0.39276278	0.90635269
0.58662617	0.41611294	0.75713941
0.74597107	0.58196313	0.90997901
0.89928516	0.67487342	1.12369689
0.78524172	0.53461241	1.03587103
0.77088476	0.54268184	0.99908768
0.66566246	0.48598249	0.84534243
0.52840018	0.39391114	0.66288922
0.43331940	0.30952234	0.55711645
0.37457104	0.23480962	0.51433247
0.46631716	0.34157935	0.59105498
0.44827970	0.30160923	0.59495018
0.28533757	0.19383482	0.37684033
0.19151144	0.11165219	0.27137069
0.46086107	0.34344377	0.57827837
0.63640169	0.47240330	0.80040008
0.46649483	0.34310178	0.58988789
0.50361459	0.32265058	0.68457860
0.87556965	0.65133345	1.09980585
1.18789077	0.91403260	1.46174895
0.60704078	0.42209887	0.79198268
0.62808738	0.49045786	0.76571690
1.20567299	0.96914352	1.44220246
2.09552061	1.70632125	2.48471997
1.94124366	1.50060888	2.38187845
1.88399403	1.42133547	2.34665258
3.07957575	2.44006253	3.71908898
4.00068043	3.23830966	4.76305119
3.94010696	3.13928246	4.74093146
3.41812781	2.68249560	4.15376002
4.14160611	3.36133806	4.92187415
5.47703229	4.57077876	6.38328582
5.41019385	4.47215402	6.34823368
5.09006631	4.18759684	5.99253577
6.37270663	5.39673996	7.34867329
7.52192681	6.36799606	8.67585756
7.09637733	5.82590411	8.36685055
6.76342460	5.50497757	8.02187163
7.84801571	6.40888011	9.28715131
8.99188602	7.48352642	10.50024563
8.79925794	7.30006566	10.29845022
8.32076104	6.76226791	9.87925417
9.20627118	7.54602048	10.86652188
10.64725689	8.90095856	12.39355522
9.96798878	8.18845571	11.74752185
9.47650741	7.75105214	11.20196269
9.90261329	8.08401684	11.72120974
9.15523010	7.38447719	10.92598302
7.56626569	5.96475813	9.16777326
6.14422751	4.62634871	7.66210631
