# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
59.89476864	47.80336323	71.98617405
27.18006098	15.03722294	39.32289903
1.01494789	-0.05566590	2.08556168
0.00000000	0.00000000	0.00000000
81.92819629	66.35411879	97.50227380
115.67532543	87.27250108	144.07814979
28.74577543	10.98401818	46.50753268
9.96267697	-6.13110258	26.05645653
41.79719278	30.68304436	52.91134120
328.61527759	280.54005318	376.69050200
235.70374792	186.88974392	284.51775192
85.81869004	53.67441687	117.96296321
44.35544878	30.65306450	58.05783306
356.70165682	308.14482286	405.25849079
336.33598788	278.81458147	393.85739428
139.66194958	100.21316036	179.11073880
61.23351821	36.35192425	86.11511218
362.19894499	319.02593846	405.37195151
417.28020128	356.49492356	478.06547899
184.51331244	141.90295131	227.12367356
80.65402693	54.46725766	106.84079620
350.37523504	309.82169341	390.92877666
328.76938232	278.17894011	379.35982454
170.19758606	125.48537991	214.90979221
96.93772095	65.85498881	128.02045309
430.03390048	384.65208218	475.41571877
578.81665070	505.59919076	652.03411064
357.25985212	297.72902672	416.79067752
195.77330854	144.72562624	246.82099083
499.88500838	444.10088240	555.66913437
621.27050858	553.01298162	689.52803555
390.12019328	331.87701528	448.36337127
231.48037363	165.89204790	297.06869936
460.60686012	408.14576191	513.06795832
628.61126877	551.44311049	705.77942705
489.46406661	423.68242480	555.24570843
338.51624131	268.43387215	408.59861047
512.12582755	450.02606157	574.22559354
564.19723250	494.78169334	633.61277166
408.12240761	339.37747024	476.86734498
291.70599871	224.03150065	359.38049676
480.77651745	418.48816505	543.06486985
415.39938722	356.39020053	474.40857390
218.83867920	163.63364540	274.04371300
122.02550039	76.76246214	167.28853865
386.00701041	338.08163586	433.93238495
345.23071933	288.63156272	401.82987593
134.88554126	95.26087366	174.51020886
75.45204665	50.18532475	100.71876856
328.46809270	284.25919193	372.67699346
276.94596814	229.79876764	324.09316864
171.32906888	111.67552523	230.98261254
103.18800121	61.71878116	144.65722126
330.77911635	281.55271162	380.00552108
206.86804723	162.93506975	250.80102471
51.36093735	31.64897110	71.07290361
68.75735138	53.25413057	84.26057219
245.95715614	209.27678826	282.63752402
151.13084154	109.09085096	193.17083211
41.90166406	20.31327753	63.49005060
58.23494994	42.53055061	73.93934927
353.33821311	297.42342962	409.25299660
246.01994248	192.83132551	299.20855944
55.96177579	33.41560835	78.50794323
38.18691294	24.66548021	51.70834567
353.04562691	313.67290991	392.41834391
367.33821261	306.55844796	428.11797726
156.79504003	110.24369714	203.34638292
75.98670299	45.79713603	106.17626995
393.66348792	348.46387168	438.86310417
496.69267401	433.31511089	560.07023713
273.73949285	220.58646966	326.89251604
109.02527304	79.02209461	139.02845147
443.43201128	392.42361897	494.44040360
533.46375636	469.53514104	597.39237167
267.15034645	224.69335269	309.60734021
202.62505838	148.06908522	257.18103155
479.77339696	418.17066618	541.37612775
580.20342579	515.25600865	645.15084293
419.49500071	354.21719382	484.77280760
277.89196143	219.03293468	336.75098817
530.46804784	458.51267796	602.42341772
610.14117573	537.47760668	682.80474477
513.78348257	444.33443429	583.23253085
378.66574721	304.81678403	452.51471038
651.77958122	570.29929392	733.25986852
646.10560804	569.83564875	722.37556733
518.75661835	443.83140720	593.68182950
337.08675294	266.41518734	407.75831855
569.19842981	498.26327680	640.13358281
648.08233193	577.18314576	718.98151811
515.89070325	440.77929738	591.00210912
