# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.66308055	0.59578013	0.73038097
0.35381351	0.25578924	0.45183777
0.02254186	0.00075521	0.04432851
0.00000000	0.00000000	0.00000000
0.78124870	0.71868213	0.84381527
1.02781078	0.86674052	1.18888105
0.24807198	0.14595745	0.35018651
0.04870160	-0.00482489	0.10222809
0.51274860	0.45282861	0.57266859
2.04730306	1.89717722	2.19742890
1.49677491	1.30245051	1.69109932
0.56445612	0.40183798	0.72707426
0.53697336	0.44743210	0.62651461
2.12725624	1.97715673	2.27735575
2.01293091	1.78846919	2.23739264
0.96034782	0.77111924	1.14957640
0.70613306	0.57268900	0.83957712
2.22637930	2.08500392	2.36775468
2.33189318	2.11597237	2.54781400
1.20513285	1.00951306	1.40075263
0.75833368	0.62241064	0.89425673
2.15067144	2.02130598	2.28003690
2.03300387	1.80970336	2.25630439
1.10348850	0.88093591	1.32604110
0.80911830	0.65779528	0.96044132
2.43085597	2.28674778	2.57496416
2.89361466	2.69958716	3.08764217
2.10801672	1.85272569	2.36330774
1.35397596	1.14545683	1.56249509
2.83279964	2.64863793	3.01696135
3.26821566	3.08182450	3.45460681
2.35089899	2.11271275	2.58908523
1.54284130	1.30171189	1.78397070
2.86170527	2.65167678	3.07173375
3.38541531	3.17610602	3.59472459
2.72576048	2.48165778	2.96986319
2.11894084	1.85870580	2.37917589
2.84089878	2.62776849	3.05402907
3.04149094	2.80884065	3.27414123
2.30989553	2.05765949	2.56213156
1.74876350	1.49838254	1.99914445
2.74326734	2.51591514	2.97061954
2.29474608	2.07504317	2.51444898
1.30977133	1.08478761	1.53475506
0.94148089	0.74612841	1.13683336
2.32866247	2.14788313	2.50944182
1.99176902	1.77145945	2.21207859
0.96354498	0.77964839	1.14744157
0.69570375	0.57147624	0.81993125
2.08145391	1.94091474	2.22199308
1.83789100	1.60755152	2.06823047
0.99502873	0.77109007	1.21896739
0.82088267	0.63919455	1.00257078
2.11014476	1.94096700	2.27932253
1.42321510	1.21310337	1.63332683
0.50310819	0.36606651	0.64014987
0.64681879	0.56292615	0.73071144
1.71783887	1.56954086	1.86613687
1.00742901	0.81932308	1.19553494
0.30920916	0.20542461	0.41299371
0.58819422	0.49646467	0.67992377
2.08754782	1.92382627	2.25126937
1.51464189	1.29800421	1.73127958
0.49657483	0.36536345	0.62778622
0.45203177	0.38040986	0.52365368
2.18506668	2.05511504	2.31501833
2.09769261	1.88652722	2.30885800
0.96202447	0.78179119	1.14225775
0.69033425	0.55359867	0.82706984
2.32779316	2.19596691	2.45961942
2.66061788	2.46455226	2.85668349
1.55907114	1.34483685	1.77330542
0.96411452	0.79959460	1.12863444
2.43563278	2.29393061	2.57733496
2.73210571	2.52031521	2.94389621
2.08414859	1.80827058	2.36002660
1.45271200	1.19874454	1.70667946
2.81479680	2.61212212	3.01747149
3.11648454	2.93015939	3.30280970
2.58780764	2.32407716	2.85153812
1.84516947	1.58332997	2.10700898
2.92958635	2.68615519	3.17301751
3.46412706	3.24554165	3.68271247
2.99454936	2.72501031	3.26408841
2.36386075	2.07825480	2.64946670
3.49947586	3.21915187	3.77979986
3.51835482	3.27795312	3.75875653
2.94148642	2.68643295	3.19653989
2.10105266	1.84169466	2.36041065
3.26522465	3.01614530	3.51430400
3.61531081	3.38062725	3.84999437
3.07354900	2.81824427	3.32885373
