# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.23639145	0.19429534	0.27848757
0.13425185	0.07658218	0.19192153
0.00486523	-0.00115947	0.01088992
0.00000000	0.00000000	0.00000000
0.28166999	0.23776350	0.32557648
0.54620378	0.43701036	0.65539721
0.11006858	0.03935517	0.18078199
0.02623294	-0.01081015	0.06327602
0.14653739	0.11147018	0.18160460
1.26587492	1.13189711	1.39985273
0.94764325	0.78476494	1.11052156
0.33160765	0.21100266	0.45221264
0.17525973	0.11600264	0.23451681
1.33840673	1.20339979	1.47341366
1.40783850	1.21370915	1.60196785
0.58856102	0.43733760	0.73978444
0.29227878	0.19246660	0.39209095
1.39794025	1.26465769	1.53122280
1.66935725	1.47768471	1.86102978
0.70798652	0.54788128	0.86809176
0.33963050	0.23532444	0.44393656
1.33991364	1.21908662	1.46074065
1.41787352	1.22098893	1.61475811
0.72160882	0.54026624	0.90295139
0.37431294	0.25648287	0.49214301
1.60699404	1.47119849	1.74278960
2.20307203	2.01546780	2.39067626
1.51536660	1.28387256	1.74686064
0.77813794	0.60349237	0.95278351
1.98338092	1.80347593	2.16328592
2.53919510	2.35852700	2.71986320
1.72106084	1.50006659	1.94205509
0.94066500	0.72987211	1.15145789
2.01924711	1.81088360	2.22761063
2.62875188	2.42850514	2.82899861
2.07016033	1.84741299	2.29290768
1.41034456	1.17452871	1.64616040
2.01963781	1.81087190	2.22840372
2.32594586	2.10316708	2.54872465
1.67767235	1.45405471	1.90129000
1.11739975	0.89982809	1.33497141
1.94222898	1.72350186	2.16095611
1.66702403	1.46701092	1.86703714
0.84972730	0.66226813	1.03718648
0.50510469	0.34327208	0.66693730
1.52126624	1.35175541	1.69077708
1.38424906	1.19050500	1.57799311
0.56140446	0.41787668	0.70493224
0.27672479	0.18777814	0.36567143
1.27298630	1.14875783	1.39721477
1.24643846	1.05150133	1.44137559
0.64279183	0.46074608	0.82483757
0.40981263	0.25947143	0.56015383
1.32256877	1.16651191	1.47862564
0.89923081	0.72689516	1.07156647
0.24792169	0.15337664	0.34246674
0.24948375	0.19394171	0.30502578
0.99133835	0.87141725	1.11125945
0.59575063	0.44712838	0.74437289
0.15571585	0.08315463	0.22827708
0.21833836	0.15768705	0.27898967
1.29600408	1.15056014	1.44144802
1.00228716	0.82336564	1.18120868
0.23656004	0.14467877	0.32844131
0.13665316	0.09339066	0.17991565
1.37973057	1.26416503	1.49529611
1.46333600	1.27292083	1.65375116
0.58117717	0.43813351	0.72422083
0.30287554	0.19983067	0.40592041
1.48962061	1.36622810	1.61301312
1.97736256	1.79161849	2.16310663
1.03582569	0.85511094	1.21654044
0.49471832	0.36607427	0.62336236
1.61896680	1.48070891	1.75722468
2.08192277	1.87727129	2.28657425
1.52256461	1.27118387	1.77394535
0.88857304	0.66988960	1.10725647
1.99566979	1.79768067	2.19365892
2.39528117	2.21835595	2.57220639
1.95606149	1.71335404	2.19876895
1.24289037	1.01187369	1.47390704
2.11291680	1.87410520	2.35172841
2.75237234	2.54077675	2.96396792
2.32920592	2.07654112	2.58187071
1.68133084	1.42142012	1.94124157
2.66186601	2.38585825	2.93787378
2.85945357	2.62637142	3.09253571
2.30045030	2.05914515	2.54175545
1.43913875	1.20299379	1.67528371
2.44017749	2.19392334	2.68643164
2.89662255	2.67330445	3.11994065
2.38843477	2.14218797	2.63468156
