# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.02577477	0.01704562	0.03450392
0.04594238	0.03390007	0.05798469
0.04582250	0.03153444	0.06011056
0.00350190	0.00002971	0.00697409
0.02705726	0.01698320	0.03713132
0.05064551	0.03567020	0.06562082
0.05393558	0.03700674	0.07086442
0.00348428	0.00002476	0.00694380
0.10386871	0.07221049	0.13552693
0.18427655	0.12892440	0.23962869
0.10245370	0.08144270	0.12346470
0.01102179	0.00301593	0.01902765
0.19381859	0.14060091	0.24703626
0.42905379	0.34701598	0.51109160
0.34224918	0.24763177	0.43686659
0.01560856	0.00795192	0.02326521
0.19101720	0.14212281	0.23991159
0.47425333	0.37894595	0.56956070
0.42926525	0.34739593	0.51113457
0.04803740	0.01821458	0.07786021
0.15660856	0.12200750	0.19120962
0.48457496	0.39816415	0.57098577
0.41529453	0.32969191	0.50089716
0.06829911	0.03980985	0.09678836
0.24978422	0.19847753	0.30109092
0.59384622	0.49476986	0.69292259
0.52392539	0.41033782	0.63751297
0.08336084	0.05026509	0.11645658
0.27905974	0.21385064	0.34426883
0.76404955	0.64964771	0.87845140
0.80575299	0.68493170	0.92657428
0.17742847	0.12521777	0.22963916
0.27733897	0.22137044	0.33330749
0.72851533	0.62252467	0.83450599
0.75815520	0.64892030	0.86739010
0.16641540	0.11386249	0.21896831
0.24302677	0.18957444	0.29647909
0.55627199	0.46623948	0.64630450
0.49228980	0.41534363	0.56923598
0.16203755	0.12046461	0.20361049
0.10392156	0.07275528	0.13508785
0.37024966	0.30429073	0.43620858
0.34006366	0.27381571	0.40631160
0.11930595	0.07109287	0.16751903
0.16859372	0.12179968	0.21538777
0.44194445	0.35708638	0.52680252
0.34116250	0.27885940	0.40346559
0.08726130	0.04615179	0.12837080
0.18631987	0.14029686	0.23234287
0.38476199	0.31270520	0.45681878
0.33551991	0.26934835	0.40169147
0.02308452	0.00578277	0.04038627
0.13235140	0.09731899	0.16738380
0.33716398	0.26314688	0.41118109
0.28271352	0.21666653	0.34876052
0.03380773	0.01020073	0.05741472
0.15067597	0.10862003	0.19273190
0.23106634	0.18257441	0.27955827
0.17571373	0.13541268	0.21601478
0.02273493	0.00865385	0.03681601
0.15024378	0.10749621	0.19299135
0.25482495	0.20151553	0.30813437
0.16778196	0.12178095	0.21378298
0.00727951	0.00088586	0.01367315
0.18481927	0.13765928	0.23197927
0.47256485	0.38345435	0.56167535
0.29822790	0.23626606	0.36018974
0.02616502	0.00383794	0.04849211
0.23842670	0.18896264	0.28789076
0.67295333	0.57423204	0.77167463
0.42842093	0.33778029	0.51906157
0.06143591	0.03414243	0.08872939
0.21903779	0.17030486	0.26777071
0.66087161	0.56742127	0.75432196
0.62693687	0.53204422	0.72182952
0.11687168	0.07581945	0.15792391
0.30065171	0.24203910	0.35926433
0.77802723	0.66077217	0.89528229
0.65709325	0.54503323	0.76915327
0.09283228	0.05934644	0.12631813
0.27903665	0.21850451	0.33956878
0.70936393	0.60825341	0.81047445
0.76473210	0.66082160	0.86864260
0.20388411	0.12909505	0.27867317
0.21419680	0.16868841	0.25970520
0.76580986	0.66104511	0.87057461
0.70034121	0.56880556	0.83187686
0.19491908	0.13369656	0.25614159
0.31072219	0.24911686	0.37232752
0.75010555	0.65776567	0.84244542
0.77037416	0.65261310	0.88813521
0.19998136	0.13841983	0.26154288
0.25041609	0.20446810	0.29636409
0.60566696	0.50584689	0.70548704
0.63754820	0.51418090	0.76091550
