# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00027571	-0.00011923	0.00067064
0.00000000	0.00000000	0.00000000
0.00071133	-0.00068288	0.00210555
0.00000000	0.00000000	0.00000000
0.00502468	-0.00061828	0.01066764
0.00650416	-0.00025365	0.01326196
0.00215788	-0.00047361	0.00478936
0.00000000	0.00000000	0.00000000
0.06588611	0.03958961	0.09218261
0.07873011	0.03696269	0.12049752
0.01352191	0.00077474	0.02626908
0.00023784	-0.00009049	0.00056617
0.15716453	0.10862440	0.20570467
0.32205580	0.25208753	0.39202406
0.20462803	0.12577080	0.28348527
0.00465771	0.00087686	0.00843855
0.15247126	0.11000101	0.19494152
0.36436885	0.27933369	0.44940402
0.28819442	0.22030424	0.35608460
0.02762486	0.00346476	0.05178495
0.13630019	0.10498783	0.16761254
0.37523347	0.30016631	0.45030063
0.30989717	0.23448009	0.38531425
0.03947854	0.01990298	0.05905409
0.21566876	0.16790026	0.26343727
0.45998294	0.37268386	0.54728203
0.36470149	0.26380199	0.46560099
0.04595386	0.02122573	0.07068199
0.23756075	0.17564836	0.29947314
0.60856351	0.51045871	0.70666830
0.63674791	0.52857017	0.74492565
0.12352557	0.08254287	0.16450826
0.23390981	0.18220091	0.28561871
0.58412991	0.48818863	0.68007120
0.60015137	0.50523435	0.69506838
0.11438233	0.07181104	0.15695363
0.20626365	0.15801946	0.25450784
0.44596954	0.36562966	0.52630942
0.37869631	0.31379890	0.44359371
0.11806976	0.08448550	0.15165402
0.09168219	0.06347453	0.11988986
0.29302901	0.23590229	0.35015572
0.25110368	0.19445087	0.30775649
0.08734337	0.04745079	0.12723595
0.13830002	0.09754151	0.17905853
0.33770372	0.26433959	0.41106785
0.23761015	0.18296345	0.29225685
0.05700718	0.02635604	0.08765832
0.15126323	0.10936625	0.19316021
0.27835169	0.21668495	0.34001843
0.22945360	0.17369124	0.28521596
0.01326246	-0.00098504	0.02750997
0.10528525	0.07473991	0.13583060
0.25785563	0.19244330	0.32326796
0.18548885	0.12984513	0.24113256
0.02043346	0.00245576	0.03841116
0.12260941	0.08634869	0.15887013
0.16420800	0.12317920	0.20523680
0.08914686	0.05518105	0.12311268
0.01182644	0.00191210	0.02174077
0.11682101	0.07899439	0.15464763
0.15414980	0.11165688	0.19664273
0.07672336	0.04246127	0.11098546
0.00079567	-0.00066238	0.00225373
0.14758965	0.10559747	0.18958184
0.34903008	0.27369121	0.42436895
0.16915396	0.11708272	0.22122520
0.01247292	-0.00633709	0.03128294
0.19639489	0.15183541	0.24095437
0.52322500	0.43417986	0.61227015
0.28088981	0.20563946	0.35614016
0.03297886	0.01468563	0.05127209
0.18241455	0.13843802	0.22639107
0.51264366	0.43326298	0.59202434
0.47858966	0.39433751	0.56284181
0.06987621	0.04059324	0.09915919
0.25653484	0.20293850	0.31013119
0.61455728	0.51551762	0.71359695
0.49569002	0.39942452	0.59195552
0.06219691	0.03571943	0.08867439
0.23126414	0.17823864	0.28428964
0.57038053	0.48388614	0.65687493
0.60021335	0.50695843	0.69346827
0.13951551	0.07889879	0.20013222
0.17665856	0.13578745	0.21752967
0.61601394	0.52530541	0.70672247
0.56115858	0.44639638	0.67592078
0.13349608	0.08401915	0.18297300
0.26228785	0.20524746	0.31932824
0.58669991	0.50562675	0.66777306
0.60917693	0.50462958	0.71372427
0.14014759	0.09054101	0.18975416
0.20624143	0.16724327	0.24523959
0.48796788	0.39864371	0.57729205
0.51845705	0.41210263	0.62481147
