# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
10.14114694	6.73143621	13.55085767
17.10739402	12.59904698	21.61574107
16.24046375	11.48613090	20.99479660
1.57585533	0.01337032	3.13834035
10.27964853	6.30659391	14.25270314
15.52469104	11.32014337	19.72923872
17.19600515	12.04034488	22.35166541
1.56792630	0.01114129	3.12471131
28.50919521	20.03719163	36.98119879
35.21768916	26.44957437	43.98580395
24.88270445	20.37453347	29.39087543
4.79485734	1.22952131	8.36019338
40.22120273	24.75789236	55.68451309
90.73997124	74.65541379	106.82452870
61.32048116	48.95175868	73.68920365
5.74210425	2.92189643	8.56231207
44.11639465	31.22281316	57.00997614
98.92494077	83.45559708	114.39428446
78.69244951	63.69653526	93.68836377
15.82079612	8.49594233	23.14564991
44.96908074	32.67389380	57.26426767
107.50791105	90.54761007	124.46821203
96.17867169	77.48836838	114.86897500
25.72950090	14.66266442	36.79633738
52.26914470	37.95762772	66.58066169
109.56721516	90.37948986	128.75494047
78.98027916	64.45501141	93.50554690
23.30411115	14.96591371	31.64230859
57.40503164	41.58676658	73.22329670
132.76245925	115.09067251	150.43424599
103.37957302	90.39806954	116.36107650
47.20645630	33.95507969	60.45783290
50.68844860	37.61165076	63.76524645
131.03840312	106.93012987	155.14667637
111.69838319	94.10151053	129.29525585
41.93714673	30.33600492	53.53828854
48.50607860	35.16131623	61.85084097
100.21413191	81.09765794	119.33060587
96.56335069	81.43830928	111.68839209
52.58040524	38.51779620	66.64301428
22.74247302	13.84819491	31.63675113
79.14170423	63.18731240	95.09609607
82.76993553	67.98090515	97.55896592
37.36175669	24.19202309	50.53149029
41.63894318	26.62199519	56.65589117
90.21681987	73.63173849	106.80190124
78.25238502	61.67522576	94.82954428
25.72473736	14.89531080	36.55416393
44.25321577	32.30841620	56.19801534
74.31552316	60.54588179	88.08516453
75.17697425	62.18020012	88.17374837
7.53774187	2.25937907	12.81610466
34.96858326	24.11350326	45.82366325
72.16603306	55.14638987	89.18567626
57.13820403	45.21217175	69.06423631
10.35545858	3.90240824	16.80850892
38.54230715	26.40862925	50.67598505
58.26724125	46.32389931	70.21058320
41.29170041	32.75174070	49.83166012
7.86153662	3.10992446	12.61314879
39.35990938	25.63004716	53.08977161
63.28521749	50.17032351	76.40011147
37.56736136	28.79236570	46.34235702
3.27577779	0.39863614	6.15291944
45.12714637	31.66690218	58.58739055
92.68460571	77.53601039	107.83320102
61.85224548	47.86422251	75.84026845
8.26293692	3.41405822	13.11181562
51.41063805	37.28967483	65.53160127
126.43615658	106.72400892	146.14830424
79.62503354	65.83487524	93.41519184
17.73989152	10.73359498	24.74618806
58.92488197	40.37998427	77.46977968
120.46405675	103.79349416	137.13461935
107.33525604	90.84810884	123.82240325
35.92902551	23.93720434	47.92084668
55.83665456	38.04931409	73.62399502
130.58690818	109.49254402	151.68127234
97.04009179	79.73779075	114.34239284
29.05698475	18.81066153	39.30330796
56.90493525	42.67707542	71.13279508
116.26526012	100.59750949	131.93301076
108.48560786	93.00258300	123.96863272
42.91941981	30.68532582	55.15351379
47.25737850	33.43013247	61.08462454
114.09881764	97.58880329	130.60883199
100.29930599	86.42505800	114.17355399
41.18957523	28.79326416	53.58588630
64.70236156	47.23615668	82.16856644
115.05343325	99.64563927	130.46122723
122.18047216	102.29649493	142.06444939
38.13017924	28.24089863	48.01945984
52.13929158	38.44964811	65.82893504
106.16525237	86.11449267	126.21601207
98.98641532	81.75064680	116.22218385
