# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.06203366	-0.02682762	0.15089494
0.00000000	0.00000000	0.00000000
0.06402002	-0.06145922	0.18949927
59.03480601	47.00813954	71.06147248
25.27678991	13.97995860	36.57362122
2.00022547	0.29976681	3.70068412
0.33672053	-0.02699962	0.70044068
80.44554214	64.97360588	95.91747841
98.54038672	75.23264113	121.84813231
25.75645815	12.26493139	39.24798491
5.78858978	-0.84174222	12.41892177
40.21900625	29.36376365	51.07424886
272.42632178	236.73547731	308.11716625
167.80411932	138.97328657	196.63495207
67.01668952	44.79926685	89.23411219
39.07673761	27.22657135	50.92690388
296.71612505	256.04523557	337.38701453
229.87133164	196.80743903	262.93522426
103.90431658	77.73947458	130.06915859
54.60140973	31.45623310	77.74658635
308.48966278	275.10322819	341.87609736
277.91627305	241.80154545	314.03100065
142.08371588	113.60164859	170.56578316
74.55456207	51.53459662	97.57452752
305.32298886	268.17443400	342.47154372
225.21376000	194.14247656	256.28504345
117.98017212	90.11678136	145.84356287
75.38753177	51.16825070	99.60681285
369.71664289	328.04293469	411.39035110
310.55762570	282.60609656	338.50915485
225.32179625	187.65588665	262.98770584
165.66735722	123.39791160	207.93680284
417.18808931	367.74208387	466.63409475
367.02429344	328.21720715	405.83137974
238.89392902	207.03080012	270.75705791
187.38564708	136.48389383	238.28740034
405.78899616	357.15963626	454.41835606
393.73046530	346.33707854	441.12385206
324.56580258	285.88568672	363.24591843
259.29405300	209.41419311	309.17391290
475.75896738	415.02718872	536.49074604
414.17816653	357.29343320	471.06289986
285.25941061	242.06195180	328.45686942
254.19743676	192.56767477	315.82719875
418.55124615	366.40992399	470.69256830
273.95663774	237.69405702	310.21921846
157.32013037	121.48896898	193.15129175
108.72961618	66.20819048	151.25104187
346.17474609	300.24519318	392.10429900
242.73433960	201.17324383	284.29543536
102.96433615	78.70888353	127.21978877
73.12930569	47.90392075	98.35469064
294.90285429	253.18020782	336.62550076
213.78483023	179.28148402	248.28817645
111.34354947	82.59901657	140.08808237
95.95370999	55.65617703	136.25124295
301.27777097	255.29146124	347.26408069
163.78891315	132.78117425	194.79665205
39.51061735	26.85122288	52.17001182
65.79329996	50.94448022	80.64211971
218.78877226	186.18791503	251.38962949
108.55615286	82.70758167	134.40472405
30.76543441	17.82464280	43.70622601
55.26309147	40.00886260	70.51732034
312.17503304	259.73698826	364.61307782
158.97735609	131.93406462	186.02064755
50.51384195	35.37015601	65.65752790
35.57875048	23.07388789	48.08361308
286.75075761	255.47485122	318.02666400
226.63780750	198.64258602	254.63302898
103.14121371	80.68398297	125.59844445
60.81583747	39.59627597	82.03539896
340.57007414	300.02420959	381.11593870
302.96079890	269.21062629	336.71097151
169.54568744	140.30428793	198.78708695
87.98737643	64.15208975	111.82266310
381.46291879	333.92060418	429.00523340
300.09823288	267.08925528	333.10721047
182.42952823	156.19458933	208.66446713
169.94776686	126.76199213	213.13354158
401.41480875	347.99247617	454.83714134
336.59433653	296.52050390	376.66816917
245.94051258	213.86793139	278.01309377
209.28758970	164.58770841	253.98747098
435.16643581	377.36074344	492.97212819
379.47362917	330.29072984	428.65652849
297.93506040	259.36889788	336.50122292
299.20637214	239.14558354	359.26716075
551.30345108	477.15228773	625.45461444
363.63333206	308.93441272	418.33225140
324.22063243	273.40115752	375.04010734
262.03081267	201.97814766	322.08347768
487.41360246	419.22019205	555.60701286
419.76769716	372.76481860	466.77057571
352.73363628	297.53270622	407.93456634
