# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
10.14114694	6.73143621	13.55085767
17.10739402	12.59904698	21.61574107
16.24046375	11.48613090	20.99479660
166.68435598	146.63804999	186.73066197
80.62037962	61.72828928	99.51246995
17.62100342	12.56085680	22.68115004
17.19600515	12.04034488	22.35166541
214.64887603	189.31554025	239.98221180
192.55282962	159.02251272	226.08314653
67.25246429	48.25360000	86.25132858
32.26033916	22.07659242	42.44408590
162.64055652	141.07989981	184.20121322
437.78991482	389.85816327	485.72166637
262.39128630	224.93194715	299.85062545
125.86745973	96.44668154	155.28823792
145.33171626	123.16680380	167.49662872
469.06786029	415.28940318	522.84631740
328.67121708	288.84839981	368.49403436
174.25178120	139.53933865	208.96422374
163.50907390	131.37370722	195.64444058
488.39506454	444.60223368	532.18789539
390.87410402	346.68500329	435.06320476
241.31991298	203.16313991	279.47668606
183.74733757	151.67567417	215.81900096
487.39515606	437.80295752	536.98735459
321.53597307	283.74401301	359.32793314
188.54965108	152.55804573	224.54125644
191.08320061	156.18139055	225.98501067
557.94935731	503.06311426	612.83560037
410.76248762	377.85068339	443.67429185
316.53222618	269.94787184	363.11658052
293.03509517	239.78673551	346.28345483
608.84260220	547.67228619	670.01291820
478.90880426	432.58718932	525.23041919
328.70684797	291.03098220	366.38271375
312.71586970	251.55734724	373.87439217
582.17358811	521.64215888	642.70501735
510.85866392	451.56950920	570.14781863
437.48179009	389.30017550	485.66340468
399.99090545	341.97306343	458.00874747
672.27008504	601.24794843	743.29222164
548.71327743	481.09167546	616.33487940
399.13144568	348.59227381	449.67061756
402.18841324	327.81724637	476.55958012
604.34792154	543.31610507	665.37973802
383.64762084	339.81280792	427.48243375
246.59359321	203.03453461	290.15265180
219.27020515	167.28514931	271.25526099
534.23226248	475.61543000	592.84909496
352.90955473	300.87898664	404.94012283
180.65242421	148.40577985	212.89906857
201.02759973	164.17173413	237.88346534
477.25289908	422.11885024	532.38694792
320.12738245	277.65512005	362.59964484
184.24301738	146.76463863	221.72139613
209.78485728	160.22855830	259.34115627
472.48652089	414.37178136	530.60126042
261.97687839	221.03845142	302.91530536
98.25786536	78.96802694	117.54770378
175.67657205	150.31173693	201.04140717
381.25328598	335.50581119	427.00076078
191.86401822	159.05605367	224.67198277
77.49058640	58.10259776	96.87857504
159.09223468	134.15357637	184.03089298
493.77272457	426.79904281	560.74640633
245.28194711	210.97932179	279.58457244
115.09882653	94.24966614	135.94798692
132.80498001	110.44692089	155.16303914
456.90524729	413.07480634	500.73568823
321.33428678	288.78681056	353.88176301
181.86841992	151.71395365	212.02288619
162.94136228	134.19165674	191.69106781
535.94373725	482.27097159	589.61650292
412.48538602	369.84191133	455.12886071
252.18804234	215.18665547	289.18942920
190.81318268	159.09557106	222.53079431
572.14953030	509.71944089	634.57961972
399.56919523	359.22419782	439.91419264
261.11442441	228.26915886	293.95968996
300.93738112	248.48475520	353.39000704
568.81646647	504.64085879	632.99207415
439.22598356	389.48198860	488.96997853
332.17067006	294.31121844	370.03012169
324.24179501	271.28149086	377.20209915
620.06409145	552.15379411	687.97438879
480.97375035	422.39624507	539.55125563
393.56218929	348.38703543	438.73734314
431.84645035	361.12886375	502.56403696
736.13994451	648.86749272	823.41239631
454.93219967	390.46586517	519.39853417
423.38641758	362.96667075	483.80616441
398.60312287	326.22182873	470.98441701
657.26931191	577.36654249	737.17208134
530.41181966	473.12070862	587.70293069
460.79207085	394.30175142	527.28239029
