# mean	lower_ci	upper_ci
8.62154124	3.47198221	13.77110027
6.82285592	2.86331819	10.78239365
8.05443046	3.43529331	12.67356760
11.05841118	5.20571973	16.91110263
11.62552100	5.60127162	17.64977038
5.54259867	1.67687122	9.40832612
7.53633841	3.34124866	11.73142816
8.27247550	3.88910957	12.65584143
12.65645597	7.18782481	18.12508713
15.50228213	9.85990799	21.14465628
10.73008715	5.28714805	16.17302626
12.32953857	7.36030463	17.29877251
21.88206717	13.49883864	30.26529571
26.79423082	14.95760864	38.63085299
19.08404283	12.28691674	25.88116892
20.76177306	14.06137090	27.46217523
18.62846074	12.13140587	25.12551561
19.15628590	12.18851872	26.12405308
22.64916543	15.80632046	29.49201040
22.71628510	14.70047185	30.73209835
15.57648719	9.27195080	21.88102359
18.51608863	13.04976015	23.98241711
15.25152117	8.82988995	21.67315240
17.93916317	10.38517534	25.49315100
22.09554636	13.62020357	30.57088915
24.37677211	17.40668107	31.34686315
20.22556234	11.49204622	28.95907846
22.97412794	13.38739395	32.56086193
22.50767817	12.71335091	32.30200544
21.01716770	13.28388776	28.75044764
22.91204524	15.28693725	30.53715323
26.04199320	18.37858947	33.70539694
34.15770308	24.25710749	44.05829868
19.13737331	12.88283441	25.39191221
26.25355357	18.69607702	33.81103012
20.17763632	14.16089665	26.19437600
21.76194273	14.29045248	29.23343297
18.42525809	12.08632802	24.76418816
15.30538237	9.71496475	20.89579999
17.84621790	10.84222824	24.85020756
20.54008506	12.79795288	28.28221724
12.65279463	5.50820125	19.79738801
17.07429090	10.59621644	23.55236536
13.44740239	7.87705247	19.01775232
10.88572396	6.59217730	15.17927062
14.83643832	10.11389122	19.55898541
17.25205743	10.89313236	23.61098249
18.03061518	11.82863611	24.23259425
15.81635926	9.47500308	22.15771543
14.78925973	9.34364066	20.23487880
20.45247729	13.16570392	27.73925066
16.33494259	9.69420180	22.97568338
18.10424041	11.83581993	24.37266088
20.71202011	12.27702266	29.14701757
16.98719592	9.09415945	24.88023239
14.09621786	8.57361190	19.61882382
10.27023349	4.15036371	16.39010327
10.17068159	4.86409943	15.47726376
12.68812745	7.63129965	17.74495525
15.48091982	9.95284841	21.00899123
10.05736859	5.68305544	14.43168174
12.86527744	7.06151983	18.66903504
13.29605625	8.42969818	18.16241432
15.68718754	9.78469400	21.58968108
19.48730681	12.65621646	26.31839716
17.24875878	11.01424297	23.48327459
9.66842527	5.86229092	13.47455962
13.32234486	7.51748969	19.12720002
14.45473599	8.56441992	20.34505206
18.17473539	11.31506964	25.03440114
22.82897494	15.66330030	29.99464958
17.64677742	11.23633864	24.05721620
24.07750610	15.52128308	32.63372912
22.52372546	13.53535405	31.51209687
22.30612789	14.46437451	30.14788127
24.45048579	15.61081880	33.29015279
24.05471895	15.68594878	32.42348911
26.35157207	17.89122623	34.81191792
23.24158644	15.90010181	30.58307107
26.81768260	18.39630777	35.23905744
26.85390441	19.86319124	33.84461757
22.25112823	15.79809772	28.70415874
21.10281751	13.48921759	28.71641744
26.79838201	17.19812212	36.39864190
24.49701874	16.35504923	32.63898824
18.90776459	13.09221292	24.72331625
19.69106441	14.36814717	25.01398166
20.13688276	12.92152098	27.35224455
18.94626145	12.99074971	24.90177320
24.38378049	17.07897076	31.68859022
20.33352749	13.65957460	27.00748038
23.38138562	16.05028224	30.71248900
19.18519439	13.12418399	25.24620479
21.92617266	13.79400202	30.05834330
19.54264876	11.98681035	27.09848717
23.47045207	16.02680165	30.91410249
