# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.04466490	-0.04287830	0.13220809
0.02937273	-0.02819783	0.08694329
0.01950079	-0.01872076	0.05772235
0.04081368	-0.01727252	0.09889987
0.10229621	-0.04186122	0.24645365
0.04168273	-0.04001542	0.12338087
0.00000000	0.00000000	0.00000000
0.25104267	-0.01096124	0.51304658
0.86527722	0.34371392	1.38684052
0.90395428	0.28375784	1.52415072
3.74379742	0.54163780	6.94595703
4.32136657	0.83148410	7.81124904
3.12536505	1.20841114	5.04231897
2.89342533	1.15321156	4.63363910
2.33267567	0.86714837	3.79820297
3.57321043	1.75671181	5.38970905
6.56808501	3.21913365	9.91703638
5.84270169	3.01808308	8.66732029
2.99354740	1.43795685	4.54913794
3.05354011	0.64644260	5.46063762
1.79615660	0.45256463	3.13974857
2.44369669	0.57303614	4.31435723
0.81839650	0.38074931	1.25604370
5.38283517	1.73629020	9.02938013
6.44819567	3.80930974	9.08708160
14.86848575	8.51300485	21.22396666
11.96104271	6.57067987	17.35140555
14.35896164	9.54676937	19.17115391
14.24411782	9.10071520	19.38752045
15.35023736	9.47990978	21.22056494
18.85825333	11.72200507	25.99450160
11.59269032	7.63607839	15.54930226
17.05860252	10.35986809	23.75733695
14.45384321	7.54218235	21.36550408
12.79006498	7.11370169	18.46642828
10.52638264	5.57326332	15.47950196
8.05643430	3.24375652	12.86911209
4.36084148	2.56450476	6.15717820
6.72506284	2.92063207	10.52949361
2.63075405	1.13130279	4.13020530
0.19864978	0.01019353	0.38710603
1.07508716	-0.80332524	2.95349956
0.32822931	0.06316109	0.59329752
2.49011801	0.72215370	4.25808233
0.84346298	0.21574582	1.47118015
0.98088456	0.19590255	1.76586658
0.82140681	0.26030971	1.38250390
1.19836941	0.27352936	2.12320946
1.62126526	0.53229842	2.71023210
1.36775215	0.51818722	2.21731708
1.25373002	0.50828444	1.99917559
0.41206061	0.18359505	0.64052617
0.69742240	0.25352444	1.14132035
0.78659259	0.27999983	1.29318535
1.26984151	0.23985955	2.29982347
0.31969314	0.01440989	0.62497638
0.25956570	-0.14165622	0.66078761
0.49623859	-0.13060709	1.12308427
1.17489666	-0.35281636	2.70260967
1.14113275	0.09258652	2.18967899
1.65018598	0.53288177	2.76749020
0.62569466	0.21685306	1.03453626
0.58215611	0.15070589	1.01360633
2.05749714	0.61579268	3.49920159
3.45310576	1.51484008	5.39137144
2.15709178	0.82975349	3.48443007
3.15108970	0.96385105	5.33832836
6.97512459	3.89950497	10.05074420
11.44613871	6.09319749	16.79907993
7.16621060	3.76737229	10.56504890
7.91540994	4.39498334	11.43583654
6.15620301	3.37268995	8.93971608
14.09417430	8.53779976	19.65054885
16.88665467	7.55101963	26.22228970
17.38220039	4.56002506	30.20437572
14.87743950	7.97984201	21.77503699
16.57273071	9.17587330	23.96958811
16.68166353	9.70869984	23.65462722
27.96013059	19.16618476	36.75407642
23.25580192	13.12488205	33.38672179
23.27025079	13.17712699	33.36337458
19.90166006	11.99273598	27.81058414
19.95563634	11.61148480	28.29978788
17.38323744	11.13501140	23.63146347
17.47101960	10.28611912	24.65592007
14.04214921	8.78040782	19.30389059
13.73849038	8.34748626	19.12949449
19.63900589	13.45459408	25.82341771
13.95479658	8.79307706	19.11651610
15.78995776	9.49463319	22.08528233
20.38241704	11.37248398	29.39235010
15.67262697	4.27575251	27.06950143
5.61585156	2.69766326	8.53403987
4.92387533	2.96996053	6.87779013
7.35046658	3.98571812	10.71521505
