# mean	lower_ci	upper_ci
0.50176996	0.43621102	0.56732889
0.70038365	0.60521068	0.79555661
0.72690952	0.62979665	0.82402239
0.78237863	0.68871910	0.87603815
0.82837909	0.71219766	0.94456052
0.97836077	0.86510176	1.09161977
0.92184159	0.80358657	1.04009662
0.90937304	0.78124748	1.03749860
1.18986670	1.05839194	1.32134145
1.79585138	1.63662115	1.95508162
1.90851464	1.75477524	2.06225405
1.86901214	1.66448640	2.07353788
2.08806140	1.89080836	2.28531443
2.27112449	2.07162134	2.47062764
2.32696737	2.13896439	2.51497036
2.03279885	1.86078662	2.20481108
2.38716434	2.18592745	2.58840123
2.45954780	2.24967366	2.66942193
2.49515310	2.26857973	2.72172647
2.31110787	2.14647155	2.47574419
2.05881585	1.86085259	2.25677911
1.91327882	1.73456741	2.09199023
1.83568216	1.64352863	2.02783569
1.88338623	1.74400226	2.02277020
2.52358328	2.29106418	2.75610237
2.68096659	2.46980213	2.89213104
3.13404308	2.81573743	3.45234873
3.13552757	2.86643046	3.40462468
3.49488605	3.22861346	3.76115864
3.48558639	3.19912452	3.77204826
3.34857494	3.05188385	3.64526602
3.66013444	3.27242569	4.04784320
3.28104493	3.01071007	3.55137980
3.43676652	3.13759147	3.73594156
3.18297253	2.87992861	3.48601645
3.27880517	2.96980725	3.58780308
2.95585983	2.67960738	3.23211229
2.66823715	2.39252699	2.94394730
2.60029567	2.38486810	2.81572323
2.61573955	2.38495871	2.84652040
1.94910853	1.77372907	2.12448798
1.42965492	1.29524691	1.56406293
1.40825428	1.26647149	1.55003707
1.40876637	1.26304699	1.55448575
1.69169627	1.50876813	1.87462441
1.71789910	1.55733952	1.87845869
1.72752529	1.56881045	1.88624012
1.88474999	1.73766815	2.03183183
1.91196365	1.74418160	2.07974571
1.90940974	1.75609814	2.06272134
1.85594602	1.68438031	2.02751173
1.91016018	1.76136443	2.05895593
1.62272125	1.46836554	1.77707695
1.52117141	1.36630903	1.67603378
1.54370232	1.39551126	1.69189339
1.52040460	1.36462587	1.67618333
1.39381365	1.24545721	1.54217008
1.34414960	1.21743412	1.47086508
1.26284944	1.12986175	1.39583713
1.36715870	1.21928734	1.51503006
1.51410880	1.36357760	1.66464001
1.76142818	1.60199632	1.92086003
1.59857192	1.45773995	1.73940388
1.58949092	1.44578609	1.73319575
1.92808646	1.75061262	2.10556031
2.20476478	2.02618955	2.38334000
2.07644387	1.90432406	2.24856368
2.14649786	1.94779157	2.34520416
2.58921537	2.37600187	2.80242887
2.83507892	2.54229302	3.12786482
2.66596484	2.40755683	2.92437284
2.78957465	2.56469187	3.01445742
2.78597086	2.55245304	3.01948869
3.23082125	2.95823413	3.50340837
3.20818501	2.87774268	3.53862734
3.15861101	2.79543061	3.52179141
3.27740771	2.92744049	3.62737494
3.52517169	3.16849025	3.88185313
3.52116060	3.19782872	3.84449247
4.10936660	3.71868073	4.50005248
3.74929059	3.32909928	4.16948190
3.85138349	3.41769601	4.28507096
3.67514897	3.27540315	4.07489478
3.66111168	3.30652813	4.01569524
3.52620339	3.17905108	3.87335571
3.47424109	3.12742005	3.82106213
3.42473933	3.10233737	3.74714129
3.42620484	3.14392213	3.70848755
3.69489286	3.40036247	3.98942325
3.40949068	3.11817588	3.70080549
3.42963978	3.12768526	3.73159430
3.60677112	3.23875227	3.97478996
2.83654580	2.45734970	3.21574191
2.44490812	2.17975688	2.71005937
2.47113285	2.24534173	2.69692397
2.54540880	2.30574320	2.78507440
