# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00099255	-0.00095285	0.00293796
0.00032636	-0.00031331	0.00096604
0.00039002	-0.00037442	0.00115445
0.00068269	-0.00042994	0.00179531
0.00168180	-0.00066246	0.00402606
0.00083365	-0.00080031	0.00246762
0.00000000	0.00000000	0.00000000
0.00492870	-0.00070779	0.01056519
0.01831243	0.00701713	0.02960773
0.01601141	0.00492233	0.02710048
0.06942734	0.01489307	0.12396162
0.07667285	0.02116456	0.13218113
0.07331624	0.02871283	0.11791965
0.07437221	0.02391822	0.12482619
0.03982223	0.01331357	0.06633090
0.09305179	0.03893214	0.14717143
0.14207744	0.07255120	0.21160368
0.14669407	0.07124557	0.22214256
0.05995913	0.03291826	0.08700001
0.06356088	0.02065688	0.10646488
0.04444146	0.00585160	0.08303133
0.04633526	0.01622905	0.07644148
0.01889032	0.00858379	0.02919685
0.12777420	0.03879956	0.21674885
0.15112790	0.09085746	0.21139833
0.38453820	0.21664806	0.55242835
0.30224551	0.16797199	0.43651903
0.38149385	0.25488239	0.50810531
0.40734401	0.26555848	0.54912953
0.39411140	0.23536399	0.55285882
0.57410856	0.33641924	0.81179787
0.33644754	0.20824493	0.46465015
0.41393457	0.25011864	0.57775050
0.38831789	0.23483165	0.54180412
0.34810333	0.16812347	0.52808320
0.28716960	0.16100599	0.41333322
0.22055940	0.07753109	0.36358770
0.11054822	0.06183750	0.15925894
0.15041866	0.05677614	0.24406118
0.06179024	0.02682155	0.09675893
0.00291914	0.00025596	0.00558232
0.01295051	-0.00802208	0.03392310
0.00662625	0.00091553	0.01233697
0.04411190	0.00945197	0.07877183
0.01997173	0.00325274	0.03669073
0.02181168	0.00472880	0.03889457
0.01843094	0.00415504	0.03270684
0.02877118	0.00588301	0.05165936
0.02998889	0.00851374	0.05146404
0.03181044	0.01136211	0.05225877
0.02804512	0.01058880	0.04550144
0.00894874	0.00389434	0.01400314
0.01211592	0.00462906	0.01960279
0.01481960	0.00513685	0.02450234
0.02076809	0.00598533	0.03555086
0.00766407	0.00002806	0.01530008
0.00243742	-0.00086340	0.00573825
0.00749567	-0.00212428	0.01711562
0.01401639	-0.00050593	0.02853870
0.01618535	0.00402423	0.02834646
0.02737313	0.00937968	0.04536657
0.01417917	0.00462465	0.02373369
0.01214389	0.00162365	0.02266413
0.03807608	0.00796437	0.06818778
0.07382913	0.03225452	0.11540373
0.04518324	0.01938731	0.07097918
0.07469261	0.02210085	0.12728437
0.15734276	0.09059158	0.22409394
0.28776966	0.14995630	0.42558302
0.21636399	0.09955692	0.33317106
0.19183701	0.11093378	0.27274024
0.17946940	0.09105921	0.26787958
0.31910029	0.21130602	0.42689457
0.42149685	0.23824355	0.60475015
0.39702365	0.16013024	0.63391706
0.42369733	0.20098151	0.64641314
0.50162257	0.27655649	0.72668865
0.44537127	0.26186047	0.62888207
0.77280746	0.51866839	1.02694652
0.65576819	0.36786439	0.94367198
0.67847550	0.36515566	0.99179533
0.60529351	0.33944198	0.87114504
0.55611346	0.32973141	0.78249550
0.51712214	0.32564552	0.70859877
0.47278042	0.26650602	0.67905482
0.42887854	0.25545553	0.60230155
0.37427080	0.23116806	0.51737354
0.50256902	0.35447947	0.65065857
0.39637417	0.23627658	0.55647175
0.39352927	0.22724641	0.55981212
0.55573883	0.33050790	0.78096977
0.38526115	0.12609870	0.64442360
0.18001334	0.05956023	0.30046645
0.11810631	0.06699491	0.16921772
0.17039578	0.08576907	0.25502248
