# mean	lower_ci	upper_ci
0.17771928	0.14119658	0.21424199
0.38005477	0.32326391	0.43684563
0.40763181	0.34646889	0.46879473
0.37395754	0.31859435	0.42932072
0.38024087	0.33427678	0.42620495
0.48773832	0.42751298	0.54796366
0.45652429	0.40328372	0.50976486
0.49320210	0.43375588	0.55264832
0.57555369	0.49914525	0.65196213
0.87452549	0.77203182	0.97701917
1.02734768	0.89814859	1.15654677
1.12843502	0.97231533	1.28455471
1.04891795	0.86660363	1.23123226
1.11153164	0.96591214	1.25715114
1.26724265	1.12691962	1.40756568
1.42881533	1.26821656	1.58941409
1.29939624	1.12433791	1.47445457
1.29379268	1.07623836	1.51134700
1.44837074	1.27268993	1.62405156
1.64092106	1.41997968	1.86186244
1.32949581	1.15165562	1.50733600
1.03533930	0.91386618	1.15681241
1.05438326	0.92708704	1.18167948
1.29242715	1.11137006	1.47348423
1.24943108	1.09606981	1.40279235
1.39452620	1.21275772	1.57629468
1.77243505	1.57028126	1.97458883
1.95732425	1.70765964	2.20698885
1.96627077	1.66762401	2.26491754
1.97793897	1.70468834	2.25118960
2.41504163	2.12765856	2.70242470
2.91776392	2.51892465	3.31660318
2.69376572	2.32643443	3.06109702
2.11687682	1.81046036	2.42329328
2.63427616	2.27517981	2.99337251
2.54616465	2.17525314	2.91707616
2.91219660	2.51201825	3.31237496
2.21761279	1.84910437	2.58612120
2.23226770	1.87671386	2.58782155
2.20072110	1.86801672	2.53342547
1.85114283	1.60376107	2.09852460
1.22483884	1.04047800	1.40919967
1.00544717	0.85889069	1.15200365
1.02168275	0.80154343	1.24182206
0.87087140	0.75325839	0.98848440
0.93304389	0.81190135	1.05418643
1.01385670	0.87883568	1.14887771
1.01513949	0.89221547	1.13806352
1.07162811	0.93899245	1.20426377
0.99198355	0.83081418	1.15315292
1.14839331	1.02990859	1.26687803
1.12042929	0.97507330	1.26578528
1.06283793	0.92118888	1.20448697
0.80742689	0.70424495	0.91060883
0.89084667	0.78368517	0.99800818
0.89152954	0.78865966	0.99439943
0.79537257	0.69242576	0.89831937
0.75724237	0.65496919	0.85951555
0.72618551	0.61511395	0.83725706
0.70330414	0.62810621	0.77850207
0.75650301	0.65410997	0.85889606
0.93546379	0.81873649	1.05219109
0.94476768	0.81680601	1.07272935
0.97217678	0.86919371	1.07515986
0.96047730	0.82912551	1.09182908
1.15717607	0.98594355	1.32840860
1.62643334	1.33550571	1.91736097
1.41613956	1.21820890	1.61407022
1.26831596	1.13948703	1.39714490
1.28443028	1.13054860	1.43831196
1.93187335	1.67468149	2.18906522
2.03943986	1.75587461	2.32300511
1.69003010	1.43077978	1.94928041
1.84017918	1.54236920	2.13798915
2.28743564	1.86701131	2.70785997
2.62350528	2.23031979	3.01669078
2.41908869	2.06511545	2.77306193
2.01112466	1.74413703	2.27811229
2.61688219	2.28574805	2.94801633
2.78474864	2.39542724	3.17407004
2.74408255	2.31412489	3.17404021
2.27713261	1.92116738	2.63309785
2.89363079	2.51159948	3.27566210
3.09263147	2.69735919	3.48790374
2.81270468	2.34335246	3.28205691
2.27273756	1.90272656	2.64274857
2.47991204	2.13190116	2.82792292
2.78220462	2.36589064	3.19851860
2.72694942	2.35061088	3.10328796
2.21531986	1.93202531	2.49861441
2.67665548	2.36189428	2.99141669
2.85176048	2.47881257	3.22470839
2.70054969	2.35808865	3.04301073
1.98604480	1.69370355	2.27838605
2.18758957	1.85403419	2.52114496
2.46524616	2.03223574	2.89825659
