# mean	lower_ci	upper_ci
0.00515864	-0.00060443	0.01092171
0.01510087	0.00583926	0.02436249
0.01520394	-0.00009086	0.03049874
0.01359799	0.00225042	0.02494556
0.00883821	0.00395744	0.01371899
0.02381745	0.01158146	0.03605344
0.01279554	0.00534915	0.02024193
0.01668560	0.00814093	0.02523027
0.04672495	0.02093709	0.07251281
0.12907913	0.08555793	0.17260034
0.17896780	0.10448373	0.25345188
0.25040875	0.15480337	0.34601414
0.21656441	0.08176539	0.35136344
0.22089715	0.12310864	0.31868566
0.28108825	0.20513856	0.35703793
0.35354279	0.25279643	0.45428916
0.34619956	0.23552461	0.45687451
0.32311673	0.14491527	0.50131820
0.37601365	0.25081213	0.50121516
0.51111923	0.34648551	0.67575295
0.32206847	0.19512202	0.44901493
0.17458271	0.10635217	0.24281325
0.21469020	0.14826195	0.28111845
0.35108189	0.22922939	0.47293438
0.29207710	0.20347158	0.38068262
0.36338697	0.23406795	0.49270600
0.57688734	0.43757422	0.71620045
0.73171525	0.54020758	0.92322293
0.76594625	0.52058711	1.01130539
0.73598519	0.51510684	0.95686355
1.05569650	0.82066315	1.29072984
1.51302896	1.17276271	1.85329521
1.33867354	1.02970121	1.64764588
0.85226870	0.59185513	1.11268227
1.25083002	0.94362695	1.55803310
1.20841944	0.88643915	1.53039974
1.51243020	1.17006208	1.85479832
0.96469893	0.64790542	1.28149244
0.99694026	0.69849166	1.29538886
0.95273015	0.67687350	1.22858680
0.68715584	0.49746914	0.87684254
0.31266473	0.19406680	0.43126267
0.19873666	0.10852517	0.28894815
0.24115423	0.06772241	0.41458606
0.14033415	0.08639470	0.19427359
0.14438077	0.07665145	0.21211009
0.19139069	0.11160166	0.27117971
0.19009600	0.12625626	0.25393574
0.20670278	0.11822818	0.29517738
0.18550694	0.07435743	0.29665646
0.22004763	0.15673493	0.28336033
0.24559077	0.15533458	0.33584696
0.21567042	0.12695263	0.30438820
0.10999657	0.06681632	0.15317682
0.13280763	0.08263936	0.18297591
0.12516901	0.08296845	0.16736958
0.10260967	0.06043984	0.14477949
0.09391772	0.05304517	0.13479026
0.09752750	0.03057926	0.16447573
0.06031026	0.03475623	0.08586430
0.09491843	0.04619739	0.14363947
0.14708388	0.09291938	0.20124837
0.16721286	0.09820269	0.23622304
0.14725252	0.09475553	0.19974951
0.17068655	0.09434760	0.24702550
0.25010703	0.12589839	0.37431566
0.58186055	0.34496633	0.81875477
0.39758001	0.25411557	0.54104444
0.25920682	0.19117091	0.32724272
0.28274761	0.18519003	0.38030519
0.72170774	0.52256644	0.92084903
0.81819357	0.58642349	1.04996364
0.57876425	0.37618574	0.78134275
0.68646786	0.44382120	0.92911453
1.04177420	0.66865937	1.41488902
1.29474178	0.96068540	1.62879816
1.11030772	0.81348868	1.40712676
0.75319078	0.54263239	0.96374918
1.24273426	0.96985600	1.51561253
1.40212706	1.06627651	1.73797762
1.42757337	1.05475014	1.80039661
1.01702869	0.71399211	1.32006527
1.46422350	1.13277265	1.79567436
1.63417370	1.28937298	1.97897442
1.45874611	1.04069583	1.87679639
0.99360251	0.67019781	1.31700722
1.13443863	0.84086962	1.42800764
1.40239935	1.03631776	1.76848095
1.35425515	1.03521424	1.67329607
0.89875138	0.67181086	1.12569189
1.24607079	0.98185764	1.51028394
1.42462033	1.09874391	1.75049674
1.30094375	1.01511915	1.58676836
0.78949910	0.56296899	1.01602920
0.95010571	0.67608646	1.22412496
1.18239165	0.80476512	1.56001819
