# mean	lower_ci	upper_ci
39.86783467	33.06905721	46.66661213
53.29326579	46.85368216	59.73284942
54.42879337	48.74721162	60.11037511
54.67724183	48.68865842	60.66582524
55.35977685	48.91152261	61.80803110
55.20796986	49.32458411	61.09135560
60.23491480	50.98073533	69.48909427
65.39034829	55.22017337	75.56052320
55.47215114	49.86332874	61.08097354
68.34412510	61.33896342	75.34928679
67.48917785	59.18307063	75.79528507
71.26402527	63.43378941	79.09426113
71.35659548	60.24409704	82.46909393
66.18513896	60.35143868	72.01883924
74.19988073	66.98059601	81.41916545
79.78764593	71.92890320	87.64638866
74.20450403	65.06594955	83.34305850
75.24351456	63.84552725	86.64150187
78.50189031	70.50030116	86.50347945
80.10635759	68.60221737	91.61049780
69.11776731	62.78624669	75.44928792
66.24150190	59.94721777	72.53578603
69.36515553	61.94406012	76.78625094
80.88114114	71.20053616	90.56174612
74.43975388	67.32537134	81.55413643
75.54518505	63.83506626	87.25530383
85.63814021	76.63311318	94.64316723
89.91038639	79.81025232	100.01052046
98.62127788	80.20320055	117.03935521
90.68744526	79.77272208	101.60216844
110.36427205	93.69991414	127.02862996
123.70937440	105.31674638	142.10200241
109.66003631	95.98454019	123.33553243
98.00354696	83.43191070	112.57518321
108.77923656	94.84755885	122.71091427
106.02371998	92.25610450	119.79133546
122.00647026	105.78128100	138.23165952
102.74334467	85.27563491	120.21105443
96.49901945	83.58983305	109.40820585
100.26033569	87.77147748	112.74919389
86.89088470	77.90664393	95.87512548
73.23202665	65.83306936	80.63098395
71.51126230	62.23799129	80.78453331
72.00208358	62.85462662	81.14954054
62.70690284	56.66222157	68.75158412
67.74435535	60.25630572	75.23240497
65.05107286	58.01502769	72.08711803
69.93734341	61.94594467	77.92874215
69.06068818	60.72547053	77.39590583
65.68325538	57.84507695	73.52143380
74.46118169	65.03600837	83.88635501
68.33477291	60.10627631	76.56326952
74.98859215	62.14995589	87.82722841
61.93312104	56.32166448	67.54457760
68.76921918	60.93423562	76.60420275
66.58266583	59.68713027	73.47820139
64.99585462	58.56665958	71.42504966
63.34482994	55.67184135	71.01781853
64.31549146	55.59137329	73.03960963
62.63692689	57.10341210	68.17044168
67.47221792	60.16493534	74.77950049
64.39549484	58.36315041	70.42783927
67.85732131	58.97514946	76.73949317
69.55944897	63.99661093	75.12228702
73.09709785	58.36847506	87.82572064
80.41264545	65.12381791	95.70147298
85.45860477	74.47085321	96.44635634
76.94152981	68.37805785	85.50500178
76.84707070	69.04345169	84.65068970
72.62680932	65.35960046	79.89401818
97.74547916	84.42240094	111.06855737
95.65274982	83.68926405	107.61623559
82.55379717	71.45323327	93.65436107
96.91246949	77.98891293	115.83602606
100.20521994	84.76640804	115.64403183
113.31730770	95.77340250	130.86121290
105.02498251	92.07599586	117.97396917
92.28428123	79.21905470	105.34950776
112.71731527	98.17146731	127.26316324
117.45221741	101.90919394	132.99524088
116.28784600	98.61081080	133.96488120
97.78826874	85.86341777	109.71311971
121.79440538	104.99834818	138.59046257
122.97799968	107.89977361	138.05622575
119.78721514	99.36606861	140.20836167
100.26341358	87.21078882	113.31603833
107.23588085	84.31968032	130.15208138
123.96124033	102.63725618	145.28522449
116.67348303	102.05251400	131.29445205
100.76201071	88.81401958	112.71000184
110.98865614	97.86210540	124.11520687
118.94561006	104.03258033	133.85863979
108.35783167	96.34446238	120.37120096
97.53184541	84.18994025	110.87375057
109.83818694	90.58201038	129.09436349
109.71826351	94.04916866	125.38735836
