# mean	lower_ci	upper_ci
0.01561987	0.01317512	0.01806462
0.02038020	0.01738215	0.02337826
0.02083096	0.01802387	0.02363805
0.02270165	0.01974095	0.02566236
0.02191209	0.01907074	0.02475344
0.02875428	0.02486460	0.03264395
0.02653849	0.02325891	0.02981808
0.02633456	0.02298034	0.02968879
0.04167330	0.03684845	0.04649815
0.04301466	0.03831114	0.04771819
0.05326944	0.04831182	0.05822705
0.04679198	0.04245461	0.05112936
0.05421304	0.04945858	0.05896749
0.05816256	0.05312280	0.06320232
0.05873650	0.05399476	0.06347825
0.05727962	0.05185464	0.06270459
0.06031181	0.05449850	0.06612513
0.06020665	0.05507810	0.06533519
0.06305382	0.05797987	0.06812778
0.05763745	0.05222553	0.06304936
0.05391340	0.04930058	0.05852622
0.05378713	0.04742007	0.06015418
0.05176084	0.04663877	0.05688291
0.05362139	0.04846158	0.05878121
0.06648583	0.05996725	0.07300440
0.07174752	0.06521488	0.07828016
0.07091549	0.06545555	0.07637543
0.07575412	0.06920459	0.08230365
0.08543893	0.07828774	0.09259012
0.08830038	0.08061956	0.09598121
0.07641823	0.07088779	0.08194867
0.08589344	0.07798734	0.09379953
0.08427163	0.07761660	0.09092665
0.08163562	0.07529574	0.08797550
0.08038729	0.07431720	0.08645738
0.08007265	0.07354061	0.08660470
0.07274334	0.06654763	0.07893906
0.06181590	0.05577546	0.06785634
0.06455071	0.05894804	0.07015339
0.06152759	0.05642467	0.06663052
0.05737300	0.05213818	0.06260781
0.03690565	0.03301290	0.04079840
0.04232828	0.03767415	0.04698241
0.03664445	0.03259424	0.04069466
0.04292435	0.03872770	0.04712099
0.04929757	0.04492045	0.05367468
0.04440584	0.04013911	0.04867257
0.05673954	0.05054454	0.06293453
0.05261554	0.04753245	0.05769863
0.05270243	0.04764468	0.05776017
0.04862449	0.04389498	0.05335401
0.05159705	0.04694307	0.05625103
0.04584593	0.04126862	0.05042323
0.04314348	0.03853431	0.04775265
0.04297941	0.03859798	0.04736084
0.03883647	0.03483885	0.04283409
0.04231701	0.03797101	0.04666302
0.03416190	0.03030055	0.03802326
0.03654486	0.03262365	0.04046607
0.03644727	0.03249523	0.04039930
0.04183569	0.03790298	0.04576840
0.05223742	0.04696921	0.05750564
0.04538154	0.04086620	0.04989689
0.04282792	0.03817363	0.04748220
0.05066901	0.04629571	0.05504232
0.05398486	0.04933613	0.05863358
0.05300546	0.04813792	0.05787300
0.05714537	0.05199337	0.06229738
0.06339745	0.05754556	0.06924935
0.07063154	0.06524121	0.07602187
0.07155826	0.06496416	0.07815235
0.06771384	0.06258985	0.07283783
0.07178079	0.06562044	0.07794113
0.07328110	0.06751167	0.07905052
0.07938736	0.07220543	0.08656928
0.07847746	0.07157753	0.08537740
0.07672184	0.07001780	0.08342588
0.08456263	0.07809904	0.09102622
0.08247206	0.07495460	0.08998952
0.08487333	0.07838114	0.09136551
0.08055242	0.07441109	0.08669376
0.08964871	0.08263135	0.09666607
0.08430830	0.07769803	0.09091856
0.08779235	0.08043151	0.09515319
0.08675697	0.08008722	0.09342671
0.07757978	0.07159309	0.08356647
0.08515217	0.07733536	0.09296897
0.07656344	0.07075321	0.08237366
0.08696852	0.08029581	0.09364123
0.07942807	0.07254747	0.08630868
0.07452574	0.06907468	0.07997681
0.08339928	0.07696485	0.08983371
0.07109673	0.06474453	0.07744894
0.06141752	0.05567261	0.06716243
0.06010665	0.05377963	0.06643367
0.06707880	0.06083666	0.07332094
