# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
52.33614945	39.26551565	65.40678325
0.02659875	-0.02553480	0.07873231
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
145.01342304	115.46797602	174.55887006
3.52165047	0.46155212	6.58174882
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
440.13316760	390.22729560	490.03903959
64.00005765	46.15705796	81.84305734
2.26029604	0.15550086	4.36509122
0.00000000	0.00000000	0.00000000
565.36903119	501.73237555	629.00568684
110.93159510	85.85919202	136.00399818
7.45174376	3.20250951	11.70097802
0.00000000	0.00000000	0.00000000
579.59758478	519.54140766	639.65376190
129.96434156	106.75857801	153.17010511
7.22793826	2.94702986	11.50884665
0.00000000	0.00000000	0.00000000
533.84654146	476.55553682	591.13754609
115.94256050	91.08062793	140.80449308
8.62633777	3.67164878	13.58102675
0.00000000	0.00000000	0.00000000
805.13506690	723.05546499	887.21466880
208.39173376	175.52744556	241.25602196
29.19905847	19.26300749	39.13510944
0.00000000	0.00000000	0.00000000
821.07364057	739.38064213	902.76663900
238.70423782	196.50351093	280.90496470
48.05460608	29.97251535	66.13669680
2.47630601	0.24100342	4.71160860
1003.18682323	893.38685525	1112.98679120
291.26042609	248.62956624	333.89128594
76.87588605	54.42815537	99.32361673
2.39724544	0.35281283	4.44167806
737.16732092	657.64079741	816.69384442
215.27091482	173.87309823	256.66873141
49.30888694	28.29050243	70.32727145
7.12847855	-2.65428172	16.91123882
517.34995450	443.22690412	591.47300487
118.71637480	85.36063955	152.07211004
11.91856746	4.68249483	19.15464008
0.34500264	-0.33120254	1.02120782
520.80810691	446.75434996	594.86186387
89.59664097	68.46158285	110.73169909
5.20582407	1.11197012	9.29967803
0.00000000	0.00000000	0.00000000
535.38992235	464.52792677	606.25191794
134.73865013	96.09453231	173.38276795
20.37949571	5.75268708	35.00630435
1.07267955	-0.68493096	2.83029005
364.24335013	317.57043642	410.91626384
55.56268834	38.99472575	72.13065094
1.24794468	-0.11539351	2.61128287
0.00000000	0.00000000	0.00000000
339.17676863	292.38075159	385.97278567
38.67847453	24.71799618	52.63895287
1.24963963	-0.38560401	2.88488328
0.00000000	0.00000000	0.00000000
428.93342048	381.26697188	476.59986908
58.67432566	42.90246709	74.44618424
1.12379043	-0.06482432	2.31240517
0.00000000	0.00000000	0.00000000
573.02160606	513.37556239	632.66764972
98.49789591	78.62822956	118.36756225
5.52357196	2.29051444	8.75662948
0.00000000	0.00000000	0.00000000
704.36666054	642.70569511	766.02762596
176.67660811	148.41542295	204.93779327
13.40263162	7.69468452	19.11057872
0.00000000	0.00000000	0.00000000
815.37801020	723.53737123	907.21864918
212.62128623	175.22703404	250.01553842
43.04435704	27.43758686	58.65112722
2.38156153	-0.12925754	4.89238060
879.65370557	777.91873277	981.38867836
263.86098685	219.24598978	308.47598393
66.53017364	45.39726223	87.66308504
3.72577749	-0.75807735	8.20963234
974.66412146	863.03401440	1086.29422853
301.16756447	251.98089120	350.35423774
100.38658036	71.25486076	129.51829997
11.97374376	3.91280167	20.03468585
782.76981071	685.83889907	879.70072235
242.50372584	192.56820693	292.43924474
51.44119927	32.74314828	70.13925025
3.88772350	0.97606008	6.79938692
906.95569607	811.53789340	1002.37349874
305.69416286	234.49328997	376.89503574
79.62247670	52.73703779	106.50791561
13.35632549	1.94966941	24.76298157
