# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
1.26918463	1.11411808	1.42425119
0.02584043	0.00316744	0.04851341
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
2.36376459	2.15701977	2.57050941
0.22539875	0.13113333	0.31966418
0.00349422	-0.00335445	0.01034288
0.00000000	0.00000000	0.00000000
4.29782040	4.03626276	4.55937804
1.39787858	1.19320110	1.60255605
0.12153207	0.05734877	0.18571538
0.00000000	0.00000000	0.00000000
4.65194512	4.36312583	4.94076441
1.92919659	1.68350596	2.17488721
0.30206654	0.20289365	0.40123942
0.01143374	-0.00045714	0.02332462
4.81498331	4.52437396	5.10559267
2.17611933	1.94274773	2.40949093
0.34854667	0.24440866	0.45268469
0.01337837	0.00082942	0.02592732
4.57416923	4.25879116	4.88954730
1.91347889	1.65315257	2.17380520
0.35283929	0.23956843	0.46611016
0.01127659	-0.00093894	0.02349212
5.61906832	5.28898115	5.94915549
2.86987778	2.59353861	3.14621695
0.79783957	0.62354331	0.97213583
0.03310743	0.01446864	0.05174622
5.71282527	5.38094131	6.04470923
2.97378655	2.67023380	3.27733930
0.94643090	0.72822091	1.16464089
0.11221658	0.04780904	0.17662412
5.79691514	5.43463105	6.15919923
3.39404928	3.05853697	3.72956159
1.32046748	1.08844270	1.55249226
0.19294564	0.11270801	0.27318327
4.98031677	4.64897742	5.31165613
2.56226204	2.26316600	2.86135809
0.83866407	0.63504937	1.04227877
0.14560441	0.04785735	0.24335148
4.43599450	4.09513237	4.77685664
1.76822776	1.49247677	2.04397874
0.36816441	0.23771388	0.49861495
0.03244362	-0.00178056	0.06666780
4.29196057	3.99964101	4.58428012
1.66085778	1.43669937	1.88501618
0.26997848	0.16670881	0.37324815
0.00958285	-0.00074287	0.01990857
4.46621410	4.10367640	4.82875180
1.98244648	1.68562101	2.27927195
0.39997333	0.24864879	0.55129787
0.05348517	0.00271139	0.10425894
3.74441247	3.46903418	4.01979076
1.22737688	1.01874831	1.43600545
0.11161640	0.05949726	0.16373554
0.00000000	0.00000000	0.00000000
3.51428133	3.28267536	3.74588731
0.94932225	0.76518076	1.13346374
0.08049105	0.03435991	0.12662218
0.00289570	-0.00277987	0.00857126
4.08813511	3.81499847	4.36127176
1.33117546	1.13871618	1.52363474
0.09789314	0.05382799	0.14195829
0.00068024	-0.00065303	0.00201352
4.73901135	4.49337343	4.98464926
1.89574661	1.67525435	2.11623887
0.23920425	0.15751015	0.32089835
0.00459657	-0.00108061	0.01027375
5.28614681	5.01780493	5.55448868
2.64392034	2.39790279	2.88993790
0.51375830	0.40001251	0.62750409
0.01239926	0.00334575	0.02145278
5.53857815	5.17538061	5.90177569
2.75716015	2.44109617	3.07322414
0.89166956	0.68263959	1.10069953
0.12496564	0.05751917	0.19241211
5.77769502	5.39096550	6.16442454
2.90439648	2.56888836	3.23990460
1.18576199	0.95617105	1.41535293
0.17505400	0.09726266	0.25284534
5.73289226	5.31031696	6.15546756
3.24512707	2.89015165	3.60010250
1.29709323	1.02873749	1.56544897
0.37616242	0.23704975	0.51527509
5.29752418	4.91815527	5.67689309
2.69956884	2.38079751	3.01834018
0.90729648	0.69220228	1.12239068
0.15701919	0.07540844	0.23862995
5.69770431	5.34322218	6.05218644
3.20144496	2.86239281	3.54049710
1.23633132	0.97517849	1.49748416
0.25098120	0.13427078	0.36769162
