# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
199.59198856	175.18335518	224.00062193
6.18018127	1.29142822	11.06893432
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
335.02683946	294.57157758	375.48210133
44.68711127	31.12431694	58.24990561
1.57239754	-1.50950164	4.65429672
0.00000000	0.00000000	0.00000000
711.62835336	647.86828487	775.38842184
214.63023666	184.53592092	244.72455240
26.73862057	15.67386456	37.80337657
0.00000000	0.00000000	0.00000000
858.49480775	781.90041743	935.08919806
278.60650247	244.84648519	312.36651975
58.77035911	42.26981402	75.27090420
5.14518317	-0.20571082	10.49607716
869.75934633	796.41963267	943.09905999
314.44501367	283.06012230	345.82990505
68.97699870	53.12214470	84.83185269
6.02026616	0.37323878	11.66729355
831.04985559	764.18774518	897.91196600
283.71384183	248.16922086	319.25846280
65.84576238	48.15226336	83.53926140
5.07446672	-0.42252077	10.57145422
1125.03612904	1025.70620284	1224.36605524
404.61351009	364.14260241	445.08441778
127.99869629	104.05442510	151.94296748
12.41486776	5.28363069	19.54610482
1146.92239134	1051.87105087	1241.97373181
447.72241601	397.74865325	497.69617878
152.67089954	120.26342194	185.07837714
23.81584235	12.26114902	35.37053567
1360.96117251	1233.18500641	1488.73733861
496.65087344	444.37612171	548.92562517
217.41010841	180.60812926	254.21208756
39.04513601	25.85843652	52.23183550
1067.26187346	975.36060563	1159.16314129
413.69533900	362.59942967	464.79124833
156.91481652	122.52085009	191.30878295
29.16305046	10.16829220	48.15780872
813.39912102	723.52038019	903.27786186
291.66380695	246.53175239	336.79586151
65.86086889	46.50894534	85.21279244
7.59041910	0.49902029	14.68181791
811.67486855	719.73034175	903.61939535
254.14818830	221.89372254	286.40265407
58.47272320	41.16313364	75.78231275
4.31228382	-0.33429047	8.95885810
816.53942671	731.78021653	901.29863688
295.61871169	244.10727436	347.13014902
70.91870001	45.62354220	96.21385782
12.72799333	3.89969521	21.55629144
618.52800924	564.79732598	672.25869249
197.15731174	168.76151635	225.55310713
25.25158696	15.05746417	35.44570974
0.00000000	0.00000000	0.00000000
598.81381869	536.93830447	660.68933290
157.27941861	130.53054867	184.02828856
19.49487094	9.64614489	29.34359700
1.30306355	-1.25094101	3.85706811
698.06752277	638.02948998	758.10555556
201.43227635	173.26626994	229.59828276
25.81185524	15.32594645	36.29776403
0.30610939	-0.29386501	0.90608380
868.95927686	796.04084965	941.87770407
267.59999608	239.11741159	296.08258056
48.77950622	34.91959646	62.63941598
2.06845690	-0.48627537	4.62318916
1011.08697860	938.16424608	1084.00971111
378.27486519	338.17959582	418.37013457
99.27126413	79.67917647	118.86335180
5.57966807	1.50558643	9.65374971
1140.31464874	1034.60067840	1246.02861909
402.25425575	357.74444535	446.76406614
139.73173807	111.52926778	167.93420836
27.64262858	15.56377049	39.72148668
1219.39985738	1099.26880230	1339.53091246
457.57981657	402.39590721	512.76372593
193.60041603	156.29813544	230.90269661
38.22347301	22.52455512	53.92239089
1327.06129384	1198.28263075	1455.83995693
500.22344291	442.55636851	557.89051731
216.27768794	172.63280350	259.92257237
69.55010969	47.26095272	91.83926667
1117.62714714	1005.38462146	1229.86967281
449.28299501	385.41280799	513.15318203
148.47123499	115.11212622	181.83034377
29.57552603	16.35125751	42.79979455
1250.40555973	1139.01373381	1361.79738565
525.97060230	442.37785594	609.56334867
213.69281226	170.82188094	256.56374359
55.71759503	32.79569035	78.63949972
