# mean	lower_ci	upper_ci
138.63598518	124.37179843	152.90017194
151.14448325	137.36390603	164.92506046
143.53327582	130.83819065	156.22836098
166.12737779	148.14954639	184.10520919
168.83651258	149.03475099	188.63827417
168.73409172	154.37020330	183.09798013
161.28953330	146.46200612	176.11706047
152.54671976	138.34597757	166.74746194
170.20672776	155.10812747	185.30532804
231.21534013	211.61244587	250.81823439
209.02668430	189.79682076	228.25654784
188.25189530	174.82595705	201.67783356
213.97443167	199.13252466	228.81633868
256.21442982	233.43571513	278.99314450
264.51707556	245.09871574	283.93543538
237.31898955	211.39120899	263.24677011
247.55783968	229.74788090	265.36779847
292.04714679	265.32378102	318.77051255
303.68821765	277.55973292	329.81670238
254.79120801	237.81829221	271.76412381
241.97578870	221.89099384	262.06058357
258.53163539	237.07356420	279.98970658
271.66790325	252.30504808	291.03075842
245.05604515	227.93221961	262.17987068
255.42969218	236.80216087	274.05722348
320.96211614	289.36166930	352.56256298
341.23491697	310.57974715	371.89008678
327.05491686	297.98074059	356.12909313
364.12865462	329.27167473	398.98563450
458.70423268	412.05769743	505.35076793
450.90997467	417.20312077	484.61682857
422.22347999	386.37292518	458.07403481
449.67368707	406.35004081	492.99733333
509.09944934	458.98964666	559.20925201
491.18006145	445.48863530	536.87148760
458.56996030	416.02893847	501.11098212
461.87245063	409.90817257	513.83672870
446.70510311	397.15335197	496.25685424
416.05147510	371.23080391	460.87214629
383.81467194	337.64373751	429.98560636
328.96131905	288.90468876	369.01794934
277.08870287	230.64263247	323.53477328
264.37671866	237.48740895	291.26602836
247.88653525	226.71764937	269.05542113
240.68300530	207.11754196	274.24846865
242.13383761	220.13357129	264.13410394
260.43265065	238.79410754	282.07119376
235.79927941	221.32588103	250.27267779
224.26291676	203.30927119	245.21656232
247.76218723	226.53615071	268.98822374
251.36611829	232.72293910	270.00929748
227.00418993	211.30519070	242.70318916
195.80980445	182.71093539	208.90867352
224.29001887	204.44610273	244.13393500
228.01487333	211.38905034	244.64069633
205.23761458	190.62546914	219.84976002
200.70200460	184.74212389	216.66188530
209.34125562	195.29593469	223.38657655
213.43559328	196.04993172	230.82125484
187.49678665	174.37991382	200.61365949
209.92742087	192.46911235	227.38572940
219.18937615	203.08767971	235.29107260
218.86740551	203.65005363	234.08475739
192.71911178	179.26878278	206.16944078
227.63128605	208.08369747	247.17887463
252.72003856	235.62851565	269.81156147
239.36017349	223.94096969	254.77937728
222.77675167	208.71989380	236.83360955
246.11802178	230.11137631	262.12466726
330.15398748	296.66325009	363.64472487
315.73261115	288.99522290	342.46999939
288.92098335	263.49352646	314.34844024
330.13598281	296.30352903	363.96843659
404.32982025	361.99368499	446.66595550
398.90768439	362.53003380	435.28533499
365.49256703	328.81866442	402.16646963
395.19133681	350.31426219	440.06841144
478.93540148	415.92237529	541.94842767
463.74785299	421.33084354	506.16486243
445.35198628	402.01164952	488.69232303
534.37055233	470.37883325	598.36227142
549.13552663	489.16311143	609.10794183
502.76776603	452.30405121	553.23148085
497.37736543	437.10648002	557.64825084
572.02760481	501.29815684	642.75705278
634.21590414	560.51388001	707.91792828
593.23109279	528.87492481	657.58726076
597.31101935	522.04309665	672.57894205
626.90032579	546.64739659	707.15325498
725.00852179	631.46926997	818.54777362
645.52224985	555.51406503	735.53043468
631.68519110	556.75321486	706.61716733
662.39554862	565.13041521	759.66068203
621.39855543	535.20568625	707.59142461
553.52719412	486.93239850	620.12198975
487.06283103	416.68844882	557.43721323
