# s=40 S=55 h=0.0103 p=6.0000 c=2.5000
# time_s	level	cum_oos	holding_eur	shortage_eur	order_eur
0.000	55	0	0.0000	0.0000	0.0000
934.456	54	0	0.0123	0.0000	0.0000
934.456	53	0	0.0123	0.0000	0.0000
1646.113	52	0	0.0212	0.0000	0.0000
1837.479	51	0	0.0236	0.0000	0.0000
1905.538	50	0	0.0244	0.0000	0.0000
2239.874	49	0	0.0284	0.0000	0.0000
2547.236	48	0	0.0320	0.0000	0.0000
2547.236	47	0	0.0320	0.0000	0.0000
2547.236	46	0	0.0320	0.0000	0.0000
3164.308	45	0	0.0388	0.0000	0.0000
3164.308	44	0	0.0388	0.0000	0.0000
3950.936	43	0	0.0470	0.0000	0.0000
3964.524	42	0	0.0472	0.0000	0.0000
4182.514	41	0	0.0494	0.0000	0.0000
4878.308	40	0	0.0562	0.0000	0.0000
5181.306	39	0	0.0591	0.0000	0.0000
5212.603	38	0	0.0593	0.0000	0.0000
5289.547	37	0	0.0600	0.0000	0.0000
5395.939	36	0	0.0610	0.0000	0.0000
5395.939	35	0	0.0610	0.0000	0.0000
5561.387	34	0	0.0624	0.0000	2.5000
6056.569	33	0	0.0664	0.0000	2.5000
6395.611	32	0	0.0690	0.0000	2.5000
6457.366	31	0	0.0695	0.0000	2.5000
6567.996	30	0	0.0703	0.0000	2.5000
6785.684	29	0	0.0719	0.0000	2.5000
7016.605	30	0	0.0735	0.0000	2.5000
7028.599	29	0	0.0736	0.0000	2.5000
7029.802	30	0	0.0736	0.0000	2.5000
7043.000	31	0	0.0737	0.0000	2.5000
7056.197	32	0	0.0738	0.0000	2.5000
7069.395	33	0	0.0739	0.0000	2.5000
7082.592	34	0	0.0740	0.0000	2.5000
7095.790	35	0	0.0741	0.0000	2.5000
7108.988	36	0	0.0742	0.0000	2.5000
7122.185	37	0	0.0743	0.0000	2.5000
7135.383	38	0	0.0744	0.0000	2.5000
7148.580	39	0	0.0745	0.0000	2.5000
7161.778	40	0	0.0747	0.0000	2.5000
7174.975	41	0	0.0748	0.0000	2.5000
7178.618	40	0	0.0748	0.0000	2.5000
7188.173	41	0	0.0749	0.0000	2.5000
7201.370	42	0	0.0751	0.0000	2.5000
7214.568	43	0	0.0752	0.0000	2.5000
7227.765	44	0	0.0753	0.0000	2.5000
7240.963	45	0	0.0755	0.0000	2.5000
7254.160	46	0	0.0756	0.0000	2.5000
7267.358	47	0	0.0757	0.0000	2.5000
7336.673	46	0	0.0765	0.0000	2.5000
7370.229	45	0	0.0769	0.0000	2.5000
7446.825	44	0	0.0777	0.0000	2.5000
7528.135	43	0	0.0786	0.0000	2.5000
8337.794	42	0	0.0869	0.0000	2.5000
8400.057	41	0	0.0875	0.0000	2.5000
8586.992	40	0	0.0893	0.0000	2.5000
8607.852	39	0	0.0895	0.0000	2.5000
8607.852	38	0	0.0895	0.0000	2.5000
8607.852	37	0	0.0895	0.0000	2.5000
8655.519	36	0	0.0899	0.0000	2.5000
8668.866	35	0	0.0900	0.0000	2.5000
8693.675	34	0	0.0903	0.0000	2.5000
8693.675	33	0	0.0903	0.0000	2.5000
8701.925	32	0	0.0903	0.0000	2.5000
9312.626	31	0	0.0950	0.0000	5.0000
9482.285	30	0	0.0962	0.0000	5.0000
9930.544	29	0	0.0994	0.0000	5.0000
9954.528	28	0	0.0996	0.0000	5.0000
10368.604	27	0	0.1024	0.0000	5.0000
10759.286	26	0	0.1049	0.0000	5.0000
10825.134	25	0	0.1053	0.0000	5.0000
10825.134	24	0	0.1053	0.0000	5.0000
