# mean	lower_ci	upper_ci
0.80458939	0.70290906	0.90626971
1.20780842	1.06837874	1.34723810
1.32730025	1.15282202	1.50177849
1.47652417	1.26691093	1.68613742
1.87374502	1.67378733	2.07370272
2.16405084	1.91905431	2.40904738
1.76556757	1.55203757	1.97909757
1.84562456	1.58734378	2.10390533
2.79448344	2.46529317	3.12367370
4.16335738	3.79384560	4.53286916
3.73643553	3.42683722	4.04603385
3.59188269	3.22764546	3.95611992
4.21434993	3.79115724	4.63754262
6.02214307	5.45764029	6.58664585
6.56572642	5.93580424	7.19564860
5.95969647	5.32743632	6.59195662
6.12595234	5.53737138	6.71453330
7.60043151	6.90544930	8.29541372
7.92047386	7.24791695	8.59303077
7.61379171	6.89233932	8.33524411
6.56067103	5.86587341	7.25546866
6.49202132	5.77073387	7.21330878
5.97767064	5.35857906	6.59676221
5.58554858	4.99771964	6.17337752
6.41775367	5.84882845	6.98667889
9.39063908	8.68276224	10.09851593
10.20304992	9.31123757	11.09486226
9.35560970	8.50246102	10.20875838
10.31454411	9.46355727	11.16553095
13.48999642	12.55663701	14.42335582
13.95951556	12.97288464	14.94614648
13.01619874	12.02106663	14.01133086
12.73651001	11.74236748	13.73065253
14.98944808	13.83960093	16.13929524
15.28777615	14.09304980	16.48250251
14.06604003	12.89814306	15.23393700
12.73685021	11.55030008	13.92340033
13.16432821	11.95352429	14.37513214
12.55276243	11.34136428	13.76416059
11.13592603	10.06200959	12.20984247
8.30110366	7.36851631	9.23369100
6.24537928	5.47567773	7.01508084
5.15125986	4.61894002	5.68357969
4.25510142	3.78462686	4.72557599
4.25090488	3.84946594	4.65234382
5.08333197	4.68183311	5.48483083
4.81127390	4.42600356	5.19654425
4.83307480	4.44549856	5.22065104
4.74240740	4.32430436	5.16051044
5.39894775	4.95948689	5.83840861
5.47507208	4.96843770	5.98170646
5.29249252	4.82070015	5.76428489
4.25214564	3.87833702	4.62595426
4.20687469	3.87458521	4.53916418
4.16392076	3.81083285	4.51700866
4.03014997	3.61833291	4.44196702
3.50912050	3.15915270	3.85908830
3.74208396	3.40958105	4.07458688
3.39391216	3.14295814	3.64486617
3.26331066	2.97678556	3.54983577
3.41072634	3.08466024	3.73679244
4.44064541	4.07751749	4.80377333
4.36249072	4.00043588	4.72454555
3.89676016	3.54748474	4.24603558
4.51906127	4.10308989	4.93503265
7.12752952	6.62286718	7.63219186
6.51095147	5.99781389	7.02408906
5.34892049	4.87329474	5.82454623
6.33859640	5.73232179	6.94487100
9.95193183	9.27433725	10.62952640
10.41576877	9.54878059	11.28275695
9.70719695	8.73011075	10.68428314
10.69268973	9.52623663	11.85914284
13.79442351	12.54041212	15.04843490
13.96354849	12.71894140	15.20815558
12.17827978	10.85999347	13.49656609
11.95490675	10.73597228	13.17384121
14.93632370	13.64299697	16.22965043
15.66015966	14.27777751	17.04254181
15.37840420	13.94143012	16.81537829
15.17730803	13.76586381	16.58875225
17.64831037	16.11376793	19.18285280
18.33674598	16.67119221	20.00229975
17.06279327	15.35116909	18.77441744
16.28176650	14.56379845	17.99973454
18.89248582	17.04023413	20.74473750
20.06591383	18.10588882	22.02593884
19.21040748	17.27341912	21.14739583
18.66621713	16.64815993	20.68427434
21.47493803	19.38174102	23.56813505
21.39187765	19.35150011	23.43225518
20.36661155	18.36154145	22.37168166
18.41487029	16.39738513	20.43235545
18.24589171	16.31058932	20.18119411
17.16351170	15.24700499	19.08001841
14.56640332	12.84374868	16.28905796
