# mean	lower_ci	upper_ci
156.29290497	138.01957124	174.56623870
175.56237004	156.91202499	194.21271508
175.48970710	156.62649078	194.35292342
205.28939272	181.61858392	228.96020153
217.60443779	176.85939293	258.34948266
205.62173413	178.82468995	232.41877830
223.18414516	191.60334014	254.76495018
222.63204392	183.35309603	261.91099182
196.24946242	172.37931316	220.11961169
245.68333485	224.80410656	266.56256314
225.52120849	208.52444220	242.51797478
227.39452660	204.42717641	250.36187679
255.87436910	232.17014277	279.57859543
306.60502139	277.82559299	335.38444979
313.54946571	285.63811512	341.46081629
298.40323165	271.27401502	325.53244828
331.27063326	299.57131056	362.96995596
364.57024141	328.76788008	400.37260274
376.03602821	337.43497509	414.63708132
365.56418638	325.81445434	405.31391842
329.13277707	295.27708141	362.98847273
314.95997625	279.31526318	350.60468932
303.31720346	272.57667724	334.05772968
296.03021631	266.42292979	325.63750283
293.99196121	268.11434028	319.86958215
361.32324791	321.79159551	400.85490030
395.76752648	355.40124342	436.13380955
381.64106402	344.40472934	418.87739869
423.48777734	384.01422544	462.96132924
490.50039773	445.29060015	535.71019531
486.42975330	447.42043260	525.43907400
460.49948848	423.83436418	497.16461278
500.09602006	454.96485628	545.22718384
530.15000090	483.50722655	576.79277525
524.88087366	480.13038515	569.63136217
513.82530721	460.19868601	567.45192841
502.35279433	449.35845636	555.34713230
517.15816776	442.42361001	591.89272552
447.70701345	399.18475067	496.22927623
418.81130416	375.95400841	461.66859992
352.96850539	308.84013166	397.09687912
276.41641309	245.94131187	306.89151431
268.95853621	226.49638822	311.42068419
236.73988655	213.39602927	260.08374383
242.84290182	222.42181953	263.26398411
253.27017919	233.57361652	272.96674187
253.24863600	235.16311212	271.33415988
261.94241683	241.68797105	282.19686261
270.14602306	242.53420228	297.75784385
292.20344234	263.52857870	320.87830597
276.92725002	252.93910233	300.91539771
270.72975155	247.94410025	293.51540286
245.53583746	222.07054235	269.00113257
249.67093130	229.74242308	269.59943951
243.78280539	219.53386328	268.03174749
239.11875683	217.46515663	260.77235704
224.27816534	202.99817397	245.55815671
222.75415724	205.49418152	240.01413295
224.05721043	206.84009259	241.27432828
226.26300222	207.52611746	244.99988697
235.83345716	214.02698417	257.63993015
254.46403799	227.61268641	281.31538956
252.03834882	231.15163566	272.92506199
228.57489056	212.08363436	245.06614677
258.42797521	233.27864305	283.57730736
319.97916219	288.99319070	350.96513367
303.11397350	275.12732853	331.10061847
307.28059310	268.67772626	345.88345994
359.15613828	319.52291244	398.78936411
442.05166502	397.73449931	486.36883072
523.11363878	419.14452250	627.08275507
441.67389921	398.96052174	484.38727668
460.80218566	404.56756250	517.03680883
506.31433061	456.56012086	556.06854036
509.98525959	459.76801583	560.20250335
453.90032313	407.44560394	500.35504231
500.47091337	442.47056325	558.47126348
565.21296308	496.83545759	633.59046857
530.99607085	483.75705354	578.23508816
596.18967127	531.67459928	660.70474326
610.96822868	543.23164135	678.70481601
677.52353616	604.10895562	750.93811669
596.20293748	532.83183639	659.57403856
572.81886993	508.03936211	637.59837775
632.36057736	561.47390605	703.24724867
768.64047316	661.32950262	875.95144370
704.95677283	623.85108705	786.06245862
677.36256924	599.24897102	755.47616746
778.17637834	664.79813455	891.55462212
825.55086344	721.09716557	930.00456131
749.03926632	656.24343351	841.83509912
721.37931473	639.07416805	803.68446141
737.51654929	647.15606375	827.87703484
724.71417248	622.79950633	826.62883863
598.87866584	534.98884572	662.76848596
538.62732287	465.79764493	611.45700081
