# mean	lower_ci	upper_ci
3.10156250	2.79423228	3.40889272
3.25781250	2.93517241	3.58045259
3.32812500	2.99977593	3.65647407
3.36718750	3.07724164	3.65713336
3.72656250	3.37891253	4.07421247
3.78906250	3.46248659	4.11563841
3.87500000	3.52851768	4.22148232
3.85937500	3.51512721	4.20362279
6.24218750	5.72829595	6.75607905
7.16406250	6.68737230	7.64075270
7.05468750	6.60371067	7.50566433
6.86718750	6.41880546	7.31556954
8.08593750	7.60912338	8.56275162
8.45312500	7.94010182	8.96614818
8.51562500	8.00903351	9.02221649
7.89062500	7.40147727	8.37977273
9.14062500	8.62673884	9.65451116
8.75781250	8.27915884	9.23646616
9.10937500	8.55033622	9.66841378
8.72656250	8.25639262	9.19673238
7.38281250	6.87336635	7.89225865
7.46875000	7.01379306	7.92370694
7.34375000	6.86722831	7.82027169
7.11718750	6.67450748	7.55986752
9.94531250	9.43717267	10.45345233
10.78906250	10.16022745	11.41789755
10.23437500	9.72708426	10.74166574
10.73437500	10.17777219	11.29097781
11.67187500	11.05233196	12.29141804
11.47656250	10.86243845	12.09068655
11.22656250	10.62125610	11.83186890
11.52343750	10.87451250	12.17236250
11.41406250	10.84484713	11.98327787
11.33593750	10.80819254	11.86368246
11.00000000	10.44317831	11.55682169
11.64843750	11.10991568	12.18695932
9.42968750	8.88112508	9.97824992
9.17968750	8.64079555	9.71857945
9.25781250	8.70771751	9.80790749
9.06250000	8.51175931	9.61324069
6.46093750	6.07027671	6.85159829
5.64843750	5.21767910	6.07919590
6.10937500	5.64654058	6.57220942
5.69531250	5.25749711	6.13312789
6.67968750	6.20690183	7.15247317
6.96875000	6.49746429	7.44003571
6.94531250	6.50763207	7.38299293
7.39843750	6.94639751	7.85047749
7.29687500	6.82487685	7.76887315
7.33593750	6.89237419	7.77950081
7.47656250	6.90758071	8.04554429
7.42968750	6.95552925	7.90384575
6.06250000	5.63440503	6.49059497
6.27343750	5.81652270	6.73035230
6.25000000	5.75044744	6.74955256
6.10156250	5.67953317	6.52359183
5.62500000	5.18105185	6.06894815
5.28125000	4.86480249	5.69769751
5.27343750	4.88168183	5.66519317
5.57031250	5.16030090	5.98032410
6.45312500	5.96804031	6.93820969
6.59375000	6.12321704	7.06428296
6.61718750	6.18613775	7.04823725
6.75781250	6.29778888	7.21783612
7.69531250	7.15592743	8.23469757
8.01562500	7.52274729	8.50850271
7.87500000	7.38500000	8.36500000
7.95312500	7.48037643	8.42587357
9.64843750	9.10207386	10.19480114
9.82031250	9.17523406	10.46539094
9.64062500	9.11897969	10.16227031
9.75000000	9.26290230	10.23709770
10.64062500	10.10777439	11.17347561
11.07031250	10.49586672	11.64475828
10.20312500	9.63522639	10.77102361
10.64062500	10.06842534	11.21282466
11.40625000	10.74310603	12.06939397
11.65625000	11.05792434	12.25457566
11.70312500	11.15427153	12.25197847
11.78906250	11.18436643	12.39375857
11.17968750	10.62865357	11.73072143
11.76562500	11.18982293	12.34142707
11.41406250	10.78640294	12.04172206
12.17187500	11.62528669	12.71846331
11.16406250	10.55581078	11.77231422
11.56250000	10.94500462	12.17999538
11.03125000	10.45731707	11.60518293
11.22656250	10.63748043	11.81564457
11.96093750	11.38557968	12.53629532
11.17968750	10.64255252	11.71682248
11.54687500	11.01219809	12.08155191
11.57031250	10.95475912	12.18586588
8.60937500	8.12022727	9.09852273
8.78906250	8.27200479	9.30612021
8.56250000	8.00155561	9.12344439
9.11718750	8.59108232	9.64329268
