# mean	lower_ci	upper_ci
0.03269617	0.01607741	0.04931492
0.07243164	0.04470258	0.10016071
0.06352547	0.03688976	0.09016119
0.09961000	0.05303945	0.14618056
0.10878856	0.06936184	0.14821527
0.12797283	0.07492683	0.18101882
0.08277631	0.04996298	0.11558964
0.08997942	0.05894806	0.12101078
0.32523116	0.22823322	0.42222911
0.67112376	0.49608231	0.84616520
0.49868669	0.35674790	0.64062548
0.43785502	0.31779766	0.55791239
0.67479899	0.51992154	0.82967644
0.92334747	0.70732381	1.13937113
0.89162608	0.67839601	1.10485614
0.94158597	0.67172491	1.21144703
1.19291876	0.95485826	1.43097926
1.58478156	1.25981358	1.90974954
1.44172200	1.12012375	1.76332025
1.32964880	1.03530790	1.62398970
1.41699627	1.10620950	1.72778303
1.33163552	0.99466005	1.66861100
1.01314735	0.72608549	1.30020921
0.70969872	0.49102212	0.92837532
1.28074044	1.05358933	1.50789154
2.57611768	2.14544566	3.00678971
2.38585797	1.85002982	2.92168611
2.62376631	2.02775763	3.21977499
3.76360782	3.11232197	4.41489367
5.23744151	4.44755138	6.02733164
5.02391248	4.25179742	5.79602753
4.25095502	3.50628672	4.99562333
4.98233130	4.19200580	5.77265680
5.96328845	5.04210872	6.88446818
5.83820876	4.80266220	6.87375531
5.36760298	4.30766042	6.42754554
5.69665567	4.64415304	6.74915830
5.78868844	4.71879273	6.85858414
4.39765968	3.42902769	5.36629166
3.50637936	2.65803390	4.35472482
2.93076170	2.17098055	3.69054284
1.82140064	1.18743678	2.45536451
0.92867716	0.49461839	1.36273594
0.57848138	0.30256547	0.85439729
0.57972154	0.37514915	0.78429393
0.89736759	0.67517649	1.11955869
0.53086621	0.38624396	0.67548845
0.47096497	0.35064924	0.59128070
0.65002532	0.50848510	0.79156555
0.91932601	0.67664987	1.16200214
0.70061688	0.47365166	0.92758210
0.65969728	0.48776838	0.83162618
0.76338194	0.56903095	0.95773293
0.64078753	0.49019373	0.79138134
0.43357975	0.30353991	0.56361959
0.34603187	0.22352327	0.46854048
0.45824987	0.33054344	0.58595629
0.47841860	0.34115137	0.61568583
0.33001017	0.23176581	0.42825453
0.22894344	0.14398791	0.31389898
0.39692749	0.29597535	0.49787962
0.63237450	0.45552762	0.80922138
0.43708301	0.29064439	0.58352163
0.45740214	0.32272545	0.59207883
0.72986275	0.54011124	0.91961426
0.91758222	0.68057331	1.15459112
0.67909476	0.52510455	0.83308496
0.73400514	0.55091296	0.91709732
1.17932711	0.93883910	1.41981511
1.73910494	1.37799530	2.10021458
1.57277279	1.20658530	1.93896028
1.70300128	1.27796439	2.12803818
3.17671734	2.55285421	3.80058048
4.98628820	4.11083129	5.86174510
4.82955594	3.88203415	5.77707773
4.71008145	3.74911553	5.67104738
5.47962748	4.50591198	6.45334298
6.54196018	5.50856737	7.57535299
6.63679700	5.59994444	7.67364956
5.93263464	4.90538448	6.95988479
7.03995803	5.94959002	8.13032604
7.89536217	6.75780601	9.03291833
7.62188503	6.40924121	8.83452885
7.13345921	5.93058018	8.33633824
8.13263316	6.80969715	9.45556916
9.35557514	7.83584797	10.87530231
9.20412814	7.69904827	10.70920802
8.61279925	7.06073969	10.16485881
9.26927940	7.66642627	10.87213253
10.99413928	9.28587895	12.70239960
10.25770073	8.57101649	11.94438497
10.18528135	8.49954623	11.87101647
10.61984663	8.92912233	12.31057094
10.02382531	8.27159990	11.77605072
8.43907305	6.79732734	10.08081875
6.84289821	5.31464293	8.37115350
