# mean	lower_ci	upper_ci
39.89398724	30.28728497	49.50068950
49.43373207	42.93508742	55.93237673
48.39013331	40.07648371	56.70378291
49.97582132	41.92278061	58.02886203
56.21462144	47.39518604	65.03405683
43.28839241	37.43386017	49.14292464
47.73566735	36.90525463	58.56608006
47.92132201	41.20288834	54.63975567
68.78725938	56.98875092	80.58576785
97.92367983	78.51908777	117.32827189
69.45593935	60.08126955	78.83060914
70.27148633	61.08805794	79.45491471
83.55301590	71.52408427	95.58194754
97.42685457	82.47929411	112.37441502
100.86352717	85.22141290	116.50564143
96.01370483	79.10876889	112.91864078
118.16705204	100.57794320	135.75616089
124.70926818	107.17561765	142.24291872
142.76114403	115.19288169	170.32940636
119.67628903	100.79628503	138.55629303
120.72539080	102.33797295	139.11280864
119.83720534	96.95709560	142.71731508
106.79872845	88.13696830	125.46048860
89.22380513	74.00258466	104.44502560
122.50823089	105.09153975	139.92492204
187.97886747	153.97120554	221.98652940
193.51556575	139.89354332	247.13758817
198.10942327	154.49173539	241.72711114
237.29192519	197.55273505	277.03111532
309.02415814	265.21642947	352.83188681
272.21264729	237.08500166	307.34029293
276.16846163	226.37198614	325.96493712
292.55204598	247.79641176	337.30768019
336.54157150	286.13898100	386.94416200
324.65083491	273.01416171	376.28750811
318.99984337	256.22049906	381.77918768
322.54132005	263.29457832	381.78806178
323.45604602	263.88360343	383.02848861
258.54452067	208.63008156	308.45895979
222.45224885	176.34976448	268.55473322
191.14561883	147.21109003	235.08014764
125.93305877	98.64890720	153.21721034
99.17906835	61.52512163	136.83301506
78.35948064	62.54238009	94.17658119
91.04315239	71.63240804	110.45389675
99.83448060	86.68848470	112.98047651
73.08412068	62.87526765	83.29297371
74.34205388	63.57158724	85.11252052
87.95712340	75.20392532	100.71032148
103.39642594	82.71557455	124.07727733
85.22821729	67.91364684	102.54278774
86.14717905	71.12828841	101.16606968
84.02258648	73.64374863	94.40142434
90.40220563	76.37737593	104.42703533
71.62961300	61.20278640	82.05643959
66.41189423	57.25324376	75.57054470
78.00471980	67.43475442	88.57468518
76.69151678	64.65904686	88.72398670
71.83219026	60.42514053	83.23923999
59.62004182	48.60368270	70.63640095
73.18266489	64.16274334	82.20258645
82.65299934	70.49859219	94.80740649
75.81210641	64.71047234	86.91374048
76.03692206	61.30446837	90.76937576
87.81773776	74.53918111	101.09629442
100.37188121	83.58094055	117.16282186
83.08825765	72.59461849	93.58189681
94.04854631	78.93219314	109.16489948
114.55901840	95.74177862	133.37625817
150.86772275	124.10246927	177.63297622
138.27605636	111.00235810	165.54975461
148.03873977	118.13434852	177.94313102
259.91229875	191.56712851	328.25746899
295.90276077	244.23937566	347.56614587
294.17331624	233.00480852	355.34182397
291.82077359	233.19930817	350.44223900
329.93076394	273.33429807	386.52722980
363.34475399	303.90963524	422.77987275
363.97845772	310.31072709	417.64618835
358.90811391	292.35662619	425.45960164
398.04528084	334.65391648	461.43664521
455.25930434	385.09845223	525.42015645
378.13084985	316.42264070	439.83905901
381.94284975	318.67155203	445.21414747
452.42853424	382.23365488	522.62341360
546.43914733	443.99472477	648.88356990
502.39145714	418.07037013	586.71254415
494.84151778	399.37412349	590.30891207
528.29738209	430.62304518	625.97171901
577.21808338	481.60405287	672.83211389
596.99652893	474.69243275	719.30062511
549.14126379	460.45038999	637.83213758
568.70349363	473.14055155	664.26643572
565.82024969	460.91653724	670.72396213
418.98604080	348.11147820	489.86060340
432.31948600	321.22554898	543.41342303
