# mean	lower_ci	upper_ci
0.15720540	0.13190797	0.18250282
0.24646639	0.21516482	0.27776796
0.23098637	0.20011836	0.26185437
0.24042589	0.20884126	0.27201051
0.30546906	0.27069557	0.34024255
0.27810299	0.24186315	0.31434283
0.24557712	0.21590092	0.27525331
0.27840256	0.24237697	0.31442815
0.43174371	0.39323634	0.47025107
0.52572457	0.48145445	0.56999468
0.49003280	0.44664137	0.53342423
0.49502230	0.45504679	0.53499780
0.58609527	0.54526651	0.62692403
0.61254302	0.57125676	0.65382928
0.60609722	0.56293069	0.64926375
0.58193502	0.53840833	0.62546172
0.65137639	0.61327294	0.68947984
0.69479066	0.65263856	0.73694276
0.68188991	0.64301450	0.72076532
0.65444879	0.61115435	0.69774322
0.71715689	0.68179952	0.75251425
0.64792865	0.60443667	0.69142062
0.57356922	0.52666773	0.62047070
0.54673093	0.50410284	0.58935901
0.70979205	0.67280209	0.74678201
0.80229475	0.76836541	0.83622410
0.72817944	0.68875934	0.76759954
0.75550255	0.71790206	0.79310304
0.83203112	0.80254989	0.86151236
0.88664234	0.86088825	0.91239643
0.86919948	0.84009779	0.89830118
0.83438385	0.80313630	0.86563140
0.89038060	0.86716246	0.91359875
0.88540130	0.86341529	0.90738732
0.86279586	0.83228006	0.89331166
0.84607699	0.81623767	0.87591632
0.83749113	0.80695610	0.86802616
0.83376631	0.79948127	0.86805136
0.77315819	0.73333063	0.81298575
0.73019798	0.68740068	0.77299528
0.74835897	0.70863854	0.78807940
0.59578846	0.54798583	0.64359108
0.47621566	0.43129793	0.52113340
0.45589407	0.41240751	0.49938064
0.51968263	0.47826686	0.56109839
0.60053072	0.55846813	0.64259331
0.51842034	0.47473131	0.56210937
0.49610916	0.45339426	0.53882406
0.58173386	0.54476712	0.61870060
0.57958360	0.53522541	0.62394179
0.50392991	0.46059428	0.54726553
0.55918023	0.51712341	0.60123705
0.58276689	0.53964145	0.62589234
0.53567067	0.49062559	0.58071575
0.47473218	0.43329505	0.51616930
0.43221340	0.39031710	0.47410969
0.50671857	0.46680826	0.54662888
0.46183639	0.41619389	0.50747890
0.41878627	0.37807365	0.45949888
0.37838390	0.34103975	0.41572804
0.49500795	0.45748990	0.53252600
0.53131685	0.48755926	0.57507444
0.48987834	0.44938829	0.53036839
0.44955011	0.40866023	0.49044000
0.57600637	0.53261613	0.61939662
0.61105748	0.56871026	0.65340470
0.56286206	0.52250536	0.60321877
0.56045881	0.51998696	0.60093066
0.66922662	0.63035222	0.70810103
0.71184038	0.67112321	0.75255755
0.68169212	0.64085893	0.72252530
0.70393966	0.66768314	0.74019618
0.81076954	0.77836265	0.84317643
0.83861271	0.80709428	0.87013115
0.79784342	0.75739784	0.83828901
0.80933557	0.77411639	0.84455475
0.86539688	0.83617785	0.89461592
0.87614384	0.85052195	0.90176574
0.86365216	0.83304454	0.89425979
0.84239804	0.80992310	0.87487299
0.90085075	0.88037424	0.92132725
0.89577657	0.87078167	0.92077147
0.87602030	0.84677127	0.90526932
0.86231666	0.83264377	0.89198955
0.89049630	0.86743426	0.91355835
0.89348649	0.86816300	0.91880998
0.88620313	0.85782072	0.91458555
0.86078748	0.82916148	0.89241349
0.89380534	0.86821083	0.91939985
0.91362367	0.89189969	0.93534764
0.88069533	0.85513531	0.90625536
0.89512107	0.87235412	0.91788801
0.88431467	0.85758276	0.91104657
0.86549145	0.83821234	0.89277056
0.82045836	0.78065123	0.86026549
0.78629406	0.74522351	0.82736461
