# mean	lower_ci	upper_ci
6.81654254	1.54219785	12.09088724
8.91122678	5.47373751	12.34871605
8.42964489	4.64666716	12.21262262
11.33421012	6.48437009	16.18405015
12.18270182	7.00338695	17.36201669
11.04592057	7.24946399	14.84237716
11.56736246	4.98964770	18.14507722
9.83634038	6.50990122	13.16277954
28.07768982	19.17304848	36.98233116
53.42698610	37.58739367	69.26657852
30.50577722	23.23063735	37.78091708
30.80988049	23.41877459	38.20098640
43.14456025	33.11460012	53.17452038
55.95048033	42.66715918	69.23380148
56.62281216	43.23221610	70.01340822
55.31594588	40.19789785	70.43399391
74.74765070	59.61144456	89.88385684
82.78250866	66.67026243	98.89475490
96.96957253	72.51049517	121.42864990
76.78790368	59.65410398	93.92170338
77.98601396	60.77089606	95.20113185
78.99076947	57.94101400	100.04052494
62.19516138	44.82206541	79.56825735
47.92403216	34.52159593	61.32646838
77.88024082	62.46075033	93.29973132
143.81682815	111.95159068	175.68206561
149.78043748	98.88926568	200.67160929
150.83297993	109.82704255	191.83891732
194.26851890	155.89995049	232.63708731
262.76474803	220.01785423	305.51164183
229.57044548	195.33353403	263.80735692
231.43220284	183.88770460	278.97670108
248.08544178	204.69051921	291.48036435
293.19174147	243.93927474	342.44420820
280.76311479	230.14871405	331.37751553
275.16232682	214.11498345	336.20967019
281.01729480	223.05068833	338.98390127
280.31369732	221.86857409	338.75882056
216.05100105	167.21938137	264.88262073
179.29780258	134.27153597	224.32406920
149.64439711	106.64498675	192.64380746
86.33662584	59.58608107	113.08717061
57.90892116	22.03773599	93.78010634
36.77678277	21.93683574	51.61672980
45.07348466	29.90201058	60.24495875
54.62189045	43.10296141	66.14081950
33.21549161	24.59229685	41.83868637
34.05142601	25.57425451	42.52859750
44.48528666	34.15193488	54.81863845
61.57443558	43.26412457	79.88474660
45.60275180	30.00106166	61.20444194
43.76199780	31.30685303	56.21714257
42.61094793	33.55077213	51.67112373
43.81055721	32.78643979	54.83467462
30.57416948	21.97706964	39.17126931
24.45854529	17.00130066	31.91578993
32.69916234	24.88161483	40.51670986
34.87505880	25.28392686	44.46619074
28.27478135	19.81526890	36.73429380
20.05844976	11.86188228	28.25501724
29.67395517	22.46078866	36.88712167
40.85572372	30.31089943	51.40054801
31.47535466	22.88209551	40.06861381
35.45333266	24.44276236	46.46390296
46.14270125	34.73806172	57.54734077
57.54181900	42.87678182	72.20685617
41.84838118	33.11585552	50.58090685
50.15608620	37.78104251	62.53112989
71.71898575	55.17496034	88.26301116
106.03988511	81.60977080	130.46999943
94.32185260	68.83930566	119.80439954
103.00753822	74.93104739	131.08402906
212.35638886	147.56631137	277.14646635
251.30384728	200.93947281	301.66822175
251.56791286	192.07697273	311.05885299
245.63106356	189.49968342	301.76244370
284.34283221	229.26584777	339.41981664
320.34743429	262.22149625	378.47337232
320.06070656	267.64799581	372.47341731
313.69818534	249.00866059	378.38771009
353.11048060	291.18154516	415.03941605
409.48375348	341.43368282	477.53382414
337.32591973	276.76878952	397.88304994
339.56875058	277.35519527	401.78230590
406.40676730	337.63587597	475.17765864
500.74182684	400.12340286	601.36025082
457.30981624	374.65805235	539.96158014
449.34826093	355.54943780	543.14708406
481.72459872	385.46796394	577.98123351
531.38147636	436.81974309	625.94320963
551.71542753	431.97052802	671.46032704
502.14945798	414.33955687	589.95935909
524.46694737	430.18687408	618.74702066
519.53999573	415.73446994	623.34552151
375.50779073	305.04924029	445.96634117
386.62034623	277.57198870	495.66870376
