# mean	lower_ci	upper_ci
108.60770089	92.95691818	124.25848360
123.73046875	109.77432229	137.68661521
111.54157366	97.01494632	126.06820100
132.60184152	118.38401759	146.81966544
120.70870536	107.98279490	133.43461582
112.20703125	100.34419475	124.06986775
116.46344866	103.01950905	129.90738827
107.17215402	94.27972728	120.06458076
85.32496800	77.22061611	93.42931989
86.78190950	79.13529214	94.42852685
89.01950588	81.66313561	96.37587616
94.41431615	86.23433234	102.59429997
68.41711999	63.75431967	73.07992031
76.15086086	69.81817069	82.48355103
77.68736147	70.99424833	84.38047460
81.20268403	74.21840847	88.18695960
60.65749680	55.87362900	65.44136460
69.60142196	63.74257009	75.46027382
68.75879004	64.08575645	73.43182363
73.36389197	67.55636762	79.17141631
60.13219203	56.54200318	63.72238087
75.14660145	69.54879455	80.74440834
92.20030946	84.20194355	100.19867536
81.20831317	73.95911715	88.45750919
55.27911197	50.79119082	59.76703313
55.92015894	52.32114360	59.51917428
66.32960301	61.00579949	71.65340654
62.06617257	57.53600994	66.59633520
42.88950608	40.46050998	45.31850218
48.87079193	45.92684530	51.81473856
56.50295993	51.97698943	61.02893043
58.53081001	54.00533665	63.05628337
44.33790905	41.02345153	47.65236656
50.59432194	46.62708471	54.56155918
56.74979949	52.99385110	60.50574788
55.04521845	51.48141551	58.60902140
48.33982797	44.34647645	52.33317949
63.42224326	58.12503936	68.71944715
71.79309948	65.56062797	78.02557099
72.87548389	66.68038995	79.07057784
67.33975497	60.94686070	73.73264924
98.62735897	89.53477150	107.71994644
96.96301745	88.18782946	105.73820545
104.86898843	95.38565109	114.35232578
81.31886668	74.99453656	87.64319680
83.91500101	76.34494295	91.48505908
90.90777387	83.85973939	97.95580834
91.38548951	82.23121022	100.53976880
75.42617539	69.03960482	81.81274595
83.70599127	76.45140736	90.96057519
90.39062500	81.53305598	99.24819402
82.45668882	75.79694946	89.11642818
79.36207835	72.52586010	86.19829660
98.25347504	89.67492918	106.83202090
98.68582589	90.03811520	107.33353658
104.47975852	94.34291353	114.61660351
89.20644785	81.42761265	96.98528305
101.65318080	91.82983551	111.47652610
117.13867188	107.75716025	126.52018350
111.04771205	101.30235166	120.79307244
89.90098768	81.69096775	98.11100762
85.32940692	78.22741786	92.43139598
96.09958401	87.65669328	104.54247474
84.73505986	76.77170089	92.69841883
75.65729193	69.87073813	81.44384572
79.25590035	73.09201224	85.41978846
80.00215605	73.75498368	86.24932841
84.62243811	77.76248083	91.48239539
64.09121296	58.85462215	69.32780377
65.73989487	60.72454290	70.75524684
69.36417099	64.50966599	74.21867598
68.36243346	62.14957929	74.57528764
42.41058303	40.03439979	44.78676626
54.97883608	51.03698519	58.92068696
62.32981374	56.26507070	68.39455678
58.16484297	53.79783226	62.53185368
47.68662741	43.41437140	51.95888341
48.61062220	45.52746029	51.69378412
55.54930421	51.70885760	59.38975083
58.03494845	53.37616899	62.69372791
43.00924690	39.31730525	46.70118854
52.73596341	49.22887609	56.24305073
49.79376380	46.69086227	52.89666532
53.89473951	49.92041952	57.86905950
43.53991962	40.63035229	46.44948695
51.92082619	47.94901746	55.89263491
57.73683455	53.30299530	62.17067381
58.74753177	54.23667251	63.25839102
43.65652915	40.92890565	46.38415266
50.26283717	46.40578559	54.11988876
56.51994002	52.54770664	60.49217340
52.71288425	49.43772436	55.98804415
50.99719974	47.53057566	54.46382383
67.61289004	61.66243747	73.56334261
77.51314116	69.93744289	85.08883942
69.89909992	63.04783750	76.75036235
