# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.03642726	0.02015171	0.05270281
0.08451026	0.05104113	0.11797939
0.02056994	0.00281907	0.03832080
0.00000000	0.00000000	0.00000000
0.03278007	0.02043417	0.04512598
0.15133842	0.11027040	0.19240643
0.12125459	0.06585767	0.17665150
0.04670824	0.00880274	0.08461375
0.03126682	0.00795979	0.05457386
0.28248396	0.22910053	0.33586738
0.37400113	0.30311290	0.44488935
0.35992070	0.28387347	0.43596794
0.11545979	0.06893489	0.16198468
0.38469097	0.32040115	0.44898079
0.39179682	0.31931740	0.46427625
0.28819695	0.21655060	0.35984330
0.13014166	0.08447046	0.17581286
0.33507852	0.27555273	0.39460432
0.31405382	0.25916192	0.36894572
0.28103025	0.21749172	0.34456879
0.44133580	0.35174262	0.53092897
1.45813534	1.33111162	1.58515905
1.55848066	1.37939906	1.73756226
0.84271976	0.65797485	1.02746468
0.54827907	0.38772656	0.70883158
1.73702078	1.55390664	1.92013492
2.30508230	2.11748016	2.49268444
1.71476688	1.49051128	1.93902248
1.02829731	0.81847821	1.23811641
2.08803662	1.87839356	2.29767968
2.56465091	2.37109280	2.75820901
1.79155325	1.57143718	2.01166932
1.02269183	0.79290402	1.25247964
2.08709805	1.82448538	2.34971073
2.74720206	2.53870180	2.95570233
2.33728236	2.11544935	2.55911537
1.58126753	1.34179272	1.82074234
2.47927795	2.22243392	2.73612198
2.63298849	2.43704904	2.82892794
1.87951013	1.67712824	2.08189202
1.20332514	0.97933745	1.42731282
2.02891512	1.81547470	2.24235555
1.86940615	1.65242817	2.08638412
0.96903085	0.77171425	1.16634746
0.32373331	0.20397513	0.44349149
0.45350916	0.35458452	0.55243380
0.41169710	0.32436951	0.49902469
0.33274378	0.24250742	0.42298014
0.17520012	0.11965503	0.23074521
0.31368847	0.25085902	0.37651793
0.34733366	0.27478083	0.41988649
0.31782093	0.25212958	0.38351229
0.13667696	0.09453307	0.17882085
0.23166259	0.18361960	0.27970557
0.24094234	0.18895244	0.29293223
0.24472065	0.18777939	0.30166190
0.11000389	0.07320553	0.14680226
0.27411849	0.22011179	0.32812519
0.26020222	0.20388292	0.31652152
0.21998071	0.15984367	0.28011775
0.25993824	0.18977559	0.33010090
1.19117940	1.06481624	1.31754257
0.90079503	0.71503540	1.08655466
0.29115793	0.17753021	0.40478566
0.19369023	0.12452979	0.26285066
1.40265021	1.28524903	1.52005139
1.37174769	1.17944897	1.56404640
0.59572951	0.44648074	0.74497829
0.26185861	0.17150861	0.35220861
1.42723084	1.30908478	1.54537690
1.79000559	1.59492624	1.98508493
1.01535994	0.83006457	1.20065532
0.48905664	0.34595081	0.63216246
1.58741315	1.44519035	1.72963594
2.06056557	1.87979618	2.24133495
1.49499457	1.27071368	1.71927546
0.80288297	0.61220300	0.99356294
1.83224900	1.65986913	2.00462887
2.40108768	2.21247801	2.58969734
1.87119676	1.61576271	2.12663081
1.15377882	0.91330656	1.39425108
2.19055481	1.96520414	2.41590548
2.84982791	2.63896791	3.06068791
2.58005678	2.33268777	2.82742578
1.83884747	1.57434157	2.10335336
2.75173560	2.49140259	3.01206862
3.03241554	2.82821662	3.23661445
2.25699252	2.04827302	2.46571201
1.33088814	1.12767047	1.53410582
2.43134859	2.20882594	2.65387125
2.83137117	2.61357665	3.04916569
2.58159792	2.31986060	2.84333523
