# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
105.91377001	92.07804010	119.74949992
78.01002449	62.61219453	93.40785445
17.59645827	7.56117775	27.63173879
0.06588498	-0.06324958	0.19501953
98.92122573	83.67835943	114.16409203
141.19091360	123.06023419	159.32159302
92.58838501	67.65007902	117.52669099
28.84814110	8.88901370	48.80726850
64.16559348	47.34099302	80.99019394
243.88175464	213.17977580	274.58373349
260.41747576	229.29556891	291.53938262
198.62282158	164.22028501	233.02535815
90.58141535	65.99013845	115.17269225
273.54853542	248.24931370	298.84775714
243.04145239	213.28860049	272.79430430
169.04060562	138.55604998	199.52516127
102.73495617	80.14482743	125.32508490
253.26344681	230.96164527	275.56524835
235.86193462	207.35351978	264.37034947
204.15112101	175.42640619	232.87583582
261.44779263	226.87729724	296.01828802
548.14641778	496.24324715	600.04958841
552.01472010	483.48997849	620.53946171
353.63097276	284.80948843	422.45245709
253.00379597	201.50080387	304.50678808
668.73865393	603.72018089	733.75712697
747.33729574	665.90736683	828.76722466
601.32303742	518.47529471	684.17078012
394.31509923	319.99110444	468.63909402
718.19006063	656.84308246	779.53703880
774.22902975	684.71105455	863.74700496
522.12275342	461.18124100	583.06426583
421.00763093	334.90135866	507.11390320
761.29387397	678.59953131	843.98821662
827.24738594	744.56746751	909.92730436
715.56439409	634.63677852	796.49200965
554.96294440	475.86499593	634.06089287
798.62436819	716.81089406	880.43784231
797.86465379	718.66613722	877.06317035
600.23530031	536.58591883	663.88468179
439.78958091	374.46428760	505.11487422
714.42381769	635.93342897	792.91420642
655.92794257	579.66505671	732.19082843
376.73299711	314.64521154	438.82078269
189.62221753	141.72317487	237.52126020
292.92359416	249.55831385	336.28887448
267.14099584	228.08428099	306.19771070
220.73708136	180.40393888	261.07022384
143.43947695	111.64164340	175.23731049
244.64554999	221.97309770	267.31800228
250.83040649	218.27871739	283.38209559
210.25302539	181.25399053	239.25206025
122.88159561	99.65960655	146.10358468
203.82299852	180.75676513	226.88923192
218.01924528	191.65325065	244.38523990
189.93491217	158.64284642	221.22697793
114.31703343	93.30029639	135.33377047
223.75813623	202.71278736	244.80348510
208.64195521	181.92822233	235.35568808
132.96357375	104.06174957	161.86539793
179.19776580	153.45752495	204.93800666
477.97614375	424.41531046	531.53697704
311.89947296	266.09174925	357.70719667
154.25214073	105.46973098	203.03455049
163.62842148	132.24205114	195.01479181
565.82812104	510.66353006	620.99271201
518.16225684	450.05097178	586.27354189
257.15321271	201.82979809	312.47662734
182.99344155	147.83229247	218.15459063
594.15275521	534.65191813	653.65359229
634.32692096	556.02126773	712.63257419
395.46812998	325.53246120	465.40379876
256.12169191	209.22797807	303.01540576
631.24273453	573.53757447	688.94789459
682.56830908	606.47823163	758.65838653
501.83580674	427.35731463	576.31429886
328.83253216	271.16842503	386.49663930
648.94074758	590.82370330	707.05779187
772.73454607	688.87900701	856.59008513
526.63700306	453.22260934	600.05139678
438.80687773	366.61059294	511.00316252
772.55969577	690.91123146	854.20816008
867.58127293	771.96101634	963.20152951
713.23456376	632.73977429	793.72935323
632.34538765	535.43250883	729.25826648
873.17801857	783.36283744	962.99319970
824.50372031	749.37643661	899.63100401
746.96375998	650.81830893	843.10921102
507.57088369	426.01114488	589.13062250
759.85060976	684.78526810	834.91595141
888.95872244	789.71576333	988.20168155
768.25161993	678.61178096	857.89145889
