# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.31795211	0.28586545	0.35003878
0.27000242	0.21989866	0.32010619
0.04547874	0.01942283	0.07153465
0.00014641	-0.00014055	0.00043338
0.29782615	0.26280828	0.33284402
0.47550334	0.42910361	0.52190307
0.21325754	0.16434373	0.26217135
0.05682156	0.02854504	0.08509808
0.17535965	0.13893448	0.21178481
0.61853309	0.57998848	0.65707770
0.56958756	0.52955142	0.60962369
0.42571113	0.36886305	0.48255920
0.25755029	0.20866785	0.30643273
0.67763013	0.64487446	0.71038581
0.55886695	0.51686574	0.60086816
0.40080020	0.34604948	0.45555093
0.29697369	0.24464344	0.34930393
0.66244269	0.62636466	0.69852071
0.59317261	0.55334078	0.63300444
0.50686027	0.45385756	0.55986298
0.56784516	0.52095059	0.61473974
0.80590855	0.78065441	0.83116270
0.65488069	0.61324823	0.69651315
0.44033047	0.38416623	0.49649471
0.46132516	0.41465115	0.50799916
0.82239685	0.79810897	0.84668472
0.70663576	0.67201496	0.74125655
0.60768624	0.56087150	0.65450097
0.60542714	0.55673816	0.65411612
0.83805933	0.81711712	0.85900153
0.70273295	0.67016348	0.73530241
0.63507670	0.59555853	0.67459486
0.60490961	0.55900434	0.65081487
0.83802358	0.81770166	0.85834551
0.71265413	0.68343343	0.74187483
0.68550903	0.65101817	0.71999990
0.70481766	0.66263724	0.74699808
0.84039772	0.81809841	0.86269704
0.72076752	0.68625940	0.75527563
0.65930262	0.61803383	0.70057141
0.66559822	0.61712375	0.71407269
0.80906898	0.78509614	0.83304183
0.68082027	0.64399920	0.71764134
0.49433216	0.43901986	0.54964445
0.32278834	0.26716187	0.37841480
0.65478643	0.61251854	0.69705432
0.57242859	0.52904810	0.61580908
0.46073526	0.40459283	0.51687769
0.35205609	0.29358981	0.41052237
0.66246346	0.62923901	0.69568791
0.58059889	0.53614066	0.62505712
0.49912313	0.44997716	0.54826909
0.34034303	0.28755671	0.39312934
0.56569046	0.52280252	0.60857839
0.54334801	0.50096404	0.58573199
0.45312562	0.39593040	0.51032085
0.32471608	0.27667975	0.37275242
0.63877294	0.60524091	0.67230496
0.49622057	0.45040759	0.54203354
0.31964381	0.26397854	0.37530909
0.41649059	0.37343485	0.45954633
0.76929534	0.73596225	0.80262843
0.52552365	0.46896388	0.58208341
0.22695431	0.17341365	0.28049497
0.35515617	0.31753045	0.39278190
0.83730159	0.81335991	0.86124327
0.58718510	0.54532307	0.62904713
0.39100787	0.32746113	0.45455460
0.40174654	0.35570117	0.44779192
0.82281061	0.79798162	0.84763961
0.65948940	0.61984784	0.69913096
0.47587915	0.42001807	0.53174024
0.51169861	0.46075814	0.56263909
0.82309955	0.80066501	0.84553409
0.67716390	0.64316716	0.71116064
0.57322802	0.52201977	0.62443627
0.55317628	0.50432839	0.60202418
0.83249126	0.81116441	0.85381812
0.72043075	0.69127792	0.74958359
0.60784584	0.56424862	0.65144307
0.60280089	0.55263833	0.65296345
0.84117494	0.82065175	0.86169814
0.69269600	0.65827967	0.72711232
0.64953644	0.61099909	0.68807379
0.70880515	0.66807912	0.74953118
0.83332634	0.81074435	0.85590832
0.71198130	0.67866169	0.74530091
0.68751774	0.65392720	0.72110827
0.67409610	0.62952401	0.71866818
0.84790069	0.82789562	0.86790576
0.69669054	0.66703593	0.72634516
0.67672290	0.64017785	0.71326796
