# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.02570413	0.01640567	0.03500258
0.04176813	0.02927282	0.05426344
0.04730905	0.03349164	0.06112646
0.00235892	-0.00005794	0.00477577
0.02188025	0.01303383	0.03072666
0.06172669	0.04299198	0.08046139
0.05222422	0.03583566	0.06861278
0.00412356	0.00034843	0.00789869
0.10192222	0.07228228	0.13156216
0.18099957	0.13003949	0.23195966
0.13382876	0.08568032	0.18197720
0.00327957	0.00057683	0.00598230
0.13747874	0.10279161	0.17216586
0.42411295	0.34535041	0.50287549
0.41712523	0.33818358	0.49606688
0.05052688	0.02362022	0.07743353
0.16212495	0.12319856	0.20105134
0.41834959	0.34019882	0.49650035
0.37354096	0.30014080	0.44694113
0.06399951	0.02926796	0.09873106
0.13406171	0.09351109	0.17461233
0.36706789	0.29744528	0.43669050
0.31945284	0.23525408	0.40365160
0.10186122	0.04713260	0.15658983
0.25865688	0.20021968	0.31709408
0.50817954	0.42880465	0.58755443
0.51473549	0.38498180	0.64448919
0.14344435	0.07097670	0.21591200
0.31226928	0.25122319	0.37331538
0.85539445	0.72133734	0.98945157
0.74603004	0.62013667	0.87192342
0.18104608	0.12513267	0.23695949
0.30238128	0.23897108	0.36579147
0.80375750	0.67592641	0.93158860
0.72816619	0.60858679	0.84774559
0.16949120	0.11831501	0.22066740
0.24078006	0.19022844	0.29133167
0.63660376	0.55027603	0.72293149
0.58892220	0.50797523	0.66986917
0.17813421	0.12807110	0.22819732
0.17898538	0.13272203	0.22524873
0.40535804	0.32778872	0.48292736
0.30824387	0.23787158	0.37861617
0.07219321	0.04217401	0.10221242
0.18030167	0.14043344	0.22016990
0.39861758	0.32093053	0.47630463
0.40571029	0.31654366	0.49487691
0.08154425	0.04975823	0.11333028
0.13907225	0.10508144	0.17306307
0.42638338	0.33114317	0.52162359
0.36449030	0.26773978	0.46124081
0.07491166	0.04417270	0.10565062
0.11031433	0.07757530	0.14305336
0.33604817	0.26295152	0.40914482
0.33623489	0.26685537	0.40561441
0.07853648	0.02333067	0.13374230
0.10076779	0.06828519	0.13325040
0.25041065	0.19276120	0.30806010
0.24698989	0.18849536	0.30548443
0.04031151	0.02191073	0.05871228
0.16421065	0.12038413	0.20803718
0.31715100	0.25499455	0.37930745
0.28640844	0.21502667	0.35779021
0.03129711	0.01427872	0.04831551
0.13782107	0.10301838	0.17262377
0.36071679	0.28390790	0.43752567
0.25342174	0.19363742	0.31320606
0.03141024	0.01159759	0.05122289
0.22461071	0.17102319	0.27819824
0.52819964	0.45431539	0.60208390
0.40427310	0.31493669	0.49360951
0.04626258	0.02239584	0.07012932
0.27770001	0.21731645	0.33808358
0.70511346	0.59336636	0.81686056
0.59557756	0.48727903	0.70387609
0.08537061	0.05350209	0.11723913
0.20762604	0.16158510	0.25366698
0.64519662	0.55893632	0.73145691
0.66396923	0.55465556	0.77328291
0.18338096	0.12228458	0.24447733
0.29299461	0.23379978	0.35218943
0.70852097	0.60247183	0.81457012
0.79438538	0.64927234	0.93949842
0.19831766	0.14388181	0.25275350
0.28775517	0.23033297	0.34517737
0.78909068	0.67053820	0.90764316
0.74028386	0.64205841	0.83850931
0.21264625	0.14953719	0.27575531
0.29171069	0.24050486	0.34291652
0.75845437	0.63393663	0.88297211
0.78886940	0.67909043	0.89864838
0.22687254	0.17037471	0.28337038
0.28011648	0.22029804	0.33993491
0.57632104	0.48927422	0.66336787
0.58277447	0.48708069	0.67846825
