# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
9.91422912	6.33142221	13.49703604
13.28554305	9.78763537	16.78345073
16.03834185	10.99844472	21.07823899
1.06151317	-0.02607086	2.14909720
8.64594891	4.91273695	12.37916086
19.76653858	13.65926525	25.87381191
15.47064621	11.01257008	19.92872234
1.85560163	0.15679178	3.55441148
31.74993033	21.11239249	42.38746817
45.83459880	34.74674511	56.92245249
26.85430643	19.89725700	33.81135585
1.47580510	0.25957423	2.69203597
32.83620217	23.19825354	42.47415079
93.60645080	74.49406106	112.71884054
78.57607996	66.35711822	90.79504171
14.83352034	6.89911318	22.76792751
47.66939403	36.28584578	59.05294229
107.56300283	81.63474639	133.49125927
81.04900613	60.94644080	101.15157146
15.38220901	8.14097598	22.62344204
33.23943573	24.80079599	41.67807547
86.68031239	71.41667406	101.94395072
65.28012999	51.56478710	78.99547287
27.30381118	16.48606240	38.12155995
48.99857681	34.80699101	63.19016261
91.73490112	79.20986471	104.25993753
98.13281894	76.08039482	120.18524307
30.67782056	19.79690741	41.55873372
69.87014841	51.73984225	88.00045456
139.99226592	117.20825359	162.77627824
121.01318561	101.73653563	140.28983559
41.49731225	30.22159121	52.77303330
63.64100037	45.70036418	81.58163656
134.90285912	113.58664171	156.21907652
116.81058910	96.38809714	137.23308106
44.02897667	31.72281476	56.33513859
36.60504666	24.82700166	48.38309167
118.10529253	101.44002437	134.77056069
119.68018025	102.24226888	137.11809162
51.80610689	38.74551762	64.86669615
44.61990043	30.46854700	58.77125386
91.43290313	72.41162762	110.45417864
76.44204599	59.08745888	93.79663310
21.86291738	13.18399628	30.54183848
42.82765709	29.63156592	56.02374826
84.75516661	68.92525170	100.58508151
79.44730555	63.53278070	95.36183041
27.84036220	16.49421383	39.18651056
33.83344298	23.82013354	43.84675242
107.61512792	82.51470078	132.71555505
71.71820135	54.99686775	88.43953495
24.46229504	14.60037158	34.32421849
25.98063072	17.38233926	34.57892217
80.25795850	65.14181162	95.37410538
79.65975844	63.88145777	95.43805910
22.07769169	11.65010389	32.50527950
27.88149752	19.29546358	36.46753147
73.20689213	56.69500373	89.71878053
62.54492667	47.79461355	77.29523980
15.80852150	8.55358971	23.06345330
40.57061464	27.08368742	54.05754186
76.26021822	61.96351147	90.55692497
63.08521943	49.18874772	76.98169114
12.62449930	5.53885503	19.71014356
35.29556409	23.95237394	46.63875425
75.28529206	59.24847213	91.32211199
50.94253940	40.91601384	60.96906496
10.77803352	4.28904095	17.26702608
49.04773177	33.02885826	65.06660528
102.47092118	89.79270582	115.14913654
72.37815950	56.60553050	88.15078849
15.88422846	7.08237048	24.68608644
63.75406773	46.56261504	80.94552042
130.91400685	109.39395059	152.43406311
93.52306911	78.96756488	108.07857335
27.66204931	17.69040503	37.63369360
51.29770888	36.18536107	66.41005669
110.78764758	93.09367718	128.48161797
117.60020397	94.67565214	140.52475580
37.96839527	27.50880330	48.42798724
46.53856688	34.42216898	58.65496478
110.95437694	93.99174778	127.91700610
109.43270517	92.19215361	126.67325673
48.59195032	36.02706602	61.15683461
56.62736257	40.64438388	72.61034127
128.56294464	103.73485513	153.39103415
108.47998450	90.96708619	125.99288280
42.72025018	30.70592289	54.73457747
54.96782255	42.32237851	67.61326660
112.56473406	95.95603384	129.17343429
132.24249873	111.36310272	153.12189474
50.76301406	37.93448701	63.59154112
51.81877410	38.37731094	65.26023725
105.78346728	85.14635322	126.42058135
98.84861908	83.96363219	113.73360598
