# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.02427989	0.01573206	0.03282772
0.04167319	0.02919155	0.05415483
0.04633296	0.03287113	0.05979479
0.00235892	-0.00005794	0.00477577
0.01714388	0.01076666	0.02352111
0.04835177	0.03660903	0.06009450
0.05088796	0.03522465	0.06655127
0.00412356	0.00034843	0.00789869
0.04557407	0.03226079	0.05888735
0.09263900	0.07499664	0.11028137
0.09271993	0.07133500	0.11410485
0.00327957	0.00057683	0.00598230
0.03582675	0.02526340	0.04639010
0.11632679	0.09839953	0.13425405
0.14217176	0.11613462	0.16820890
0.02026115	0.01011499	0.03040732
0.04834765	0.03563169	0.06106361
0.10432292	0.08359797	0.12504786
0.11993294	0.09975354	0.14011235
0.02274613	0.01097753	0.03451473
0.04229846	0.03050939	0.05408753
0.10582367	0.08638243	0.12526491
0.08376798	0.06905692	0.09847905
0.02679635	0.01280581	0.04078689
0.03958440	0.02705010	0.05211870
0.12724406	0.10591180	0.14857632
0.12793303	0.10522198	0.15064409
0.04158701	0.02605850	0.05711552
0.04289208	0.03108860	0.05469556
0.15690619	0.12940987	0.18440251
0.16519305	0.13579130	0.19459480
0.05841375	0.03994444	0.07688305
0.04642334	0.03302511	0.05982157
0.17479133	0.14783233	0.20175033
0.16241115	0.13728782	0.18753447
0.05741318	0.03961748	0.07520888
0.02901998	0.01839376	0.03964620
0.13341886	0.11265601	0.15418172
0.12561905	0.10189509	0.14934302
0.05372362	0.03893349	0.06851374
0.02444017	0.01515997	0.03372037
0.08979232	0.07129006	0.10829457
0.07590532	0.05934422	0.09246641
0.02596414	0.01397811	0.03795017
0.03222285	0.02163360	0.04281209
0.09295188	0.07347617	0.11242758
0.12523745	0.10122992	0.14924499
0.02823765	0.01814280	0.03833250
0.03731305	0.02551165	0.04911445
0.10045758	0.08299363	0.11792152
0.10305109	0.08096080	0.12514137
0.02073817	0.01122450	0.03025184
0.02691782	0.01834470	0.03549094
0.07940762	0.06218461	0.09663063
0.09422823	0.07687374	0.11158271
0.02102822	0.01160900	0.03044745
0.02900018	0.01939823	0.03860213
0.06709868	0.05155312	0.08264425
0.07501120	0.05981391	0.09020848
0.01893698	0.01050141	0.02737255
0.03673600	0.02579809	0.04767390
0.10212447	0.08227080	0.12197815
0.09664380	0.07617883	0.11710878
0.01172288	0.00543507	0.01801069
0.02217341	0.01385539	0.03049144
0.09849852	0.07868869	0.11830835
0.11869400	0.09875449	0.13863351
0.01378710	0.00527901	0.02229519
0.02858085	0.02044642	0.03671527
0.14268963	0.11930477	0.16607448
0.11929427	0.09806536	0.14052318
0.02016779	0.01135357	0.02898200
0.04011223	0.02679218	0.05343228
0.14992972	0.12660428	0.17325516
0.15372790	0.13005427	0.17740153
0.03413517	0.02246487	0.04580547
0.03155330	0.02345901	0.03964760
0.13680375	0.11411126	0.15949624
0.14696777	0.12276012	0.17117543
0.06414672	0.04462848	0.08366496
0.03959620	0.02817596	0.05101645
0.13917984	0.11597510	0.16238457
0.16475439	0.14130132	0.18820747
0.06085427	0.04535642	0.07635213
0.05058084	0.03683299	0.06432869
0.14347862	0.11732935	0.16962790
0.16056994	0.13428925	0.18685063
0.06408381	0.04620456	0.08196306
0.03986149	0.02874281	0.05098017
0.13838451	0.10948406	0.16728495
0.14640257	0.12385073	0.16895440
0.06573730	0.05008159	0.08139301
0.04278050	0.03121544	0.05434555
0.11333336	0.09159442	0.13507230
0.12102041	0.10017434	0.14186649
