# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00142424	-0.00073733	0.00358581
0.00009494	-0.00009115	0.00028103
0.00097609	-0.00022956	0.00218174
0.03642726	0.02015171	0.05270281
0.08924662	0.05429905	0.12419420
0.03394485	0.01038092	0.05750879
0.00133626	-0.00101119	0.00368372
0.03278007	0.02043417	0.04512598
0.20768656	0.15410489	0.26126824
0.20961516	0.11967978	0.29955053
0.08781707	0.01887050	0.15676365
0.03126682	0.00795979	0.05457386
0.38413594	0.31331830	0.45495359
0.68178728	0.56880599	0.79476857
0.63487417	0.51502410	0.75472424
0.14572551	0.08459175	0.20685927
0.49846827	0.42250770	0.57442883
0.70582349	0.59740154	0.81424544
0.54180497	0.42665398	0.65695597
0.17139504	0.11092863	0.23186144
0.42684178	0.34848218	0.50520137
0.57529804	0.48855465	0.66204142
0.51671511	0.40311381	0.63031640
0.51640066	0.39962951	0.63317182
1.67720782	1.53632417	1.81809146
1.93941614	1.73659485	2.14223743
1.22952222	0.97171935	1.48732509
0.65013642	0.46728531	0.83298753
2.00639799	1.81150057	2.20129541
3.00357056	2.75089071	3.25625041
2.29560388	2.01582206	2.57538570
1.15092965	0.93219086	1.36966843
2.34399455	2.12040093	2.56758818
3.19361708	2.95644345	3.43079071
2.35730829	2.08482654	2.62979004
1.13476986	0.89320313	1.37633658
2.29885813	2.03505507	2.56266119
3.25038696	3.01530249	3.48547143
2.80058551	2.55256373	3.04860729
1.70567813	1.45852629	1.95282997
2.63382316	2.36365951	2.90398680
2.94855421	2.73950115	3.15760727
2.11184869	1.88760240	2.33609498
1.24955421	1.02056840	1.47854001
2.17699395	1.96190565	2.39208224
2.17507185	1.94174812	2.40839559
1.24950368	1.02033930	1.47866806
0.37703992	0.24605438	0.50802545
0.55526836	0.44849834	0.66203838
0.73762290	0.60097851	0.87426729
0.59418299	0.45061605	0.73774993
0.22937361	0.15907394	0.29967328
0.39708498	0.32569730	0.46847267
0.60397421	0.49123764	0.71671079
0.55982760	0.45510999	0.66454520
0.19418522	0.12054645	0.26782400
0.30343020	0.24448407	0.36237633
0.42425431	0.33736868	0.51113993
0.41669934	0.32619025	0.50720844
0.13137841	0.09025929	0.17249754
0.40159315	0.33236223	0.47082407
0.47522875	0.38580115	0.56465635
0.40974535	0.30068269	0.51880800
0.27951247	0.20478149	0.35424346
1.30682706	1.16966301	1.44399111
1.16301329	0.94764046	1.37838612
0.42588567	0.29232427	0.55944707
0.21131336	0.13827441	0.28435231
1.59868008	1.46192962	1.73543054
1.75725770	1.54054410	1.97397131
0.88070834	0.67964967	1.08176702
0.28795340	0.19096548	0.38494132
1.66481863	1.52623570	1.80340155
2.34518933	2.10188041	2.58849825
1.45720960	1.21561052	1.69880868
0.54029207	0.39039793	0.69018622
1.76348588	1.60917073	1.91780104
2.56895844	2.35380537	2.78411151
2.01199602	1.75108757	2.27290448
0.92211720	0.71571483	1.12851958
2.08564741	1.91367655	2.25761827
2.97042881	2.73694680	3.20391083
2.50082774	2.17206667	2.82958881
1.29124220	1.04720856	1.53527585
2.42772914	2.19161564	2.66384264
3.49543997	3.23576440	3.75511554
3.15977070	2.88778203	3.43175936
1.98740992	1.71070988	2.26410996
3.00358480	2.73598470	3.27118490
3.65248540	3.41141448	3.89355632
2.89945936	2.66287615	3.13604256
1.49202339	1.27368649	1.71036029
2.66868457	2.43638736	2.90098179
3.29435885	3.03826395	3.55045375
3.04335197	2.74421826	3.34248568
