# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
9.91422912	6.33142221	13.49703604
13.28554305	9.78763537	16.78345073
16.03834185	10.99844472	21.07823899
104.80796366	90.93992064	118.67600669
74.78361696	60.81656762	88.75066631
28.16735213	19.42473289	36.90997136
15.38580302	10.93308098	19.83852507
95.27579787	80.92725410	109.62434165
126.86205089	110.63794116	143.08616062
78.52379084	62.72275286	94.32482882
39.50668770	26.99735202	52.01602339
63.60378571	47.08774697	80.11982444
206.82951010	183.68774529	229.97127492
190.14954261	167.91697244	212.38211277
149.77635585	128.45121611	171.10149559
80.98093382	61.16365827	100.79820938
225.80167528	206.80669386	244.79665671
195.23716152	171.41426361	219.06005943
144.33638788	119.52037525	169.15240050
92.60294742	73.65125293	111.55464192
217.36596161	197.45822020	237.27370302
184.69067063	163.02665309	206.35468817
163.28384185	140.92498812	185.64269557
231.52150432	202.79910895	260.24389970
469.30247602	422.65953938	515.94541266
333.56855066	301.91058397	365.22651736
242.50980066	196.88958470	288.13001661
207.29242958	167.90007011	246.68478905
548.04978154	490.42066275	605.67890032
441.84581123	399.41935887	484.27226359
351.85871647	306.45083601	397.26659692
317.27276183	256.19220953	378.35331414
564.58449624	514.65464437	614.51434812
460.94648423	403.73586861	518.15709985
330.41330679	291.62064978	369.20596380
339.49095869	273.84983547	405.13208190
691.30212670	609.99997893	772.60427447
479.02502799	431.01093075	527.03912523
452.16936107	399.07983277	505.25888937
433.52097606	376.84651864	490.19543347
738.61814354	654.57754642	822.65874066
569.16933394	508.54225978	629.79640810
438.64388225	392.16234416	485.12542033
389.32130635	328.96638751	449.67622519
632.34494697	558.94940216	705.74049179
463.35742624	405.69910546	521.01574701
283.73057956	235.64768787	331.81347125
169.33508477	129.18526030	209.48490924
257.82710426	219.46041048	296.19379804
203.87225448	176.73842620	231.00608276
179.22091983	151.36104892	207.08079073
130.84376481	102.37584087	159.31168874
221.32421968	200.40806740	242.24037196
191.56407538	170.62066499	212.50748576
172.00865616	148.89518633	195.12212600
112.45181635	91.14370976	133.75992293
177.89202724	158.20628456	197.57776993
178.35678321	158.10955267	198.60401376
158.83648686	136.14067227	181.53230145
108.14165914	89.00630671	127.27701157
201.73590075	182.64479229	220.82700921
165.67339722	146.62671869	184.72007575
115.33890423	94.04920908	136.62859938
170.97508811	145.95124130	195.99893493
429.62343894	381.00383924	478.24303863
239.62293980	204.64519662	274.60068299
119.79322954	90.64025119	148.94620789
142.49569690	119.48497607	165.50641773
505.75799693	450.70154559	560.81444827
314.55704974	277.46236051	351.65173898
178.66814416	148.98469723	208.35159108
163.76036625	137.58369024	189.93704225
491.74559688	442.00703965	541.48415411
373.03502296	334.11375798	411.95628793
234.50002345	196.63330066	272.36674623
220.93564415	177.46751511	264.40377319
534.51069626	482.29413680	586.72725571
428.28749163	372.77002017	483.80496309
320.70865424	268.73227003	372.68503846
266.67396424	218.59652618	314.75140229
561.96766540	508.46385108	615.47147973
434.97844224	391.79331061	478.16357387
326.62507996	279.51665706	373.73350287
343.03821517	286.93162988	399.14480046
655.76324839	574.60269040	736.92380638
519.04810186	452.88266646	585.21353725
447.01476431	388.35977362	505.66975499
519.04404002	436.80153402	601.28654602
725.43541769	636.32511181	814.54572357
501.95320637	452.58897559	551.31743716
446.57871007	383.69234826	509.46507187
401.93112268	331.04526844	472.81697692
666.39768133	587.63837949	745.15698316
590.59644458	505.19754928	675.99533987
489.39784303	424.00190110	554.79378496
