# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.02427989	0.01573206	0.03282772
0.04167319	0.02919155	0.05415483
0.04633296	0.03287113	0.05979479
0.32031103	0.28818515	0.35243692
0.28714631	0.23682105	0.33747157
0.09383050	0.06306994	0.12459107
0.05103437	0.03536918	0.06669956
0.30194971	0.26705831	0.33684111
0.52107741	0.47281371	0.56934111
0.30589654	0.25420793	0.35758516
0.14954149	0.11324725	0.18583572
0.17863921	0.14227037	0.21500806
0.65435984	0.61604177	0.69267791
0.68591435	0.64676650	0.72506220
0.56788289	0.50983174	0.62593404
0.27781144	0.22581211	0.32981078
0.72597778	0.69228444	0.75967113
0.66318987	0.61914958	0.70723015
0.52073314	0.46662603	0.57484025
0.31971982	0.26483041	0.37460923
0.70474114	0.66915127	0.74033102
0.69899628	0.65803252	0.73996004
0.59062825	0.53554640	0.64571011
0.59464151	0.54685617	0.64242685
0.84549295	0.82133968	0.86964623
0.78212475	0.74754913	0.81670037
0.56826350	0.51072202	0.62580498
0.50291217	0.45163247	0.55419187
0.86528892	0.84234392	0.88823393
0.86354195	0.84109068	0.88599322
0.77287929	0.73040135	0.81535722
0.66384089	0.61423175	0.71345003
0.88448267	0.86584007	0.90312527
0.87752428	0.85439739	0.90065116
0.79748785	0.76235043	0.83262527
0.66232278	0.61635884	0.70828673
0.86704356	0.84773253	0.88635460
0.84607299	0.82236361	0.86978238
0.81112809	0.78216054	0.84009563
0.75854128	0.71879748	0.79828508
0.86483789	0.84305943	0.88661635
0.81055983	0.78101018	0.84010948
0.73520794	0.69646689	0.77394898
0.69156236	0.64214603	0.74097869
0.84129183	0.81777690	0.86480676
0.77377214	0.73758398	0.80996030
0.61956961	0.56500414	0.67413508
0.35102598	0.29398581	0.40806616
0.69209948	0.64901531	0.73518364
0.67288617	0.63110060	0.71467174
0.56378634	0.50933139	0.61824130
0.37279426	0.31222754	0.43336098
0.68938128	0.65579694	0.72296561
0.66000650	0.61334383	0.70666918
0.59335135	0.54280577	0.64389693
0.36137125	0.30598008	0.41676242
0.59469064	0.55008825	0.63929303
0.61044669	0.56673981	0.65415358
0.52813682	0.46956610	0.58670754
0.34365307	0.29388510	0.39342103
0.67550893	0.64004264	0.71097523
0.59834504	0.55221233	0.64447775
0.41628762	0.35747310	0.47510213
0.42821348	0.38318793	0.47323902
0.79146876	0.75755409	0.82538342
0.62402217	0.56799991	0.68004443
0.34564831	0.29050239	0.40079422
0.36894328	0.32861060	0.40927596
0.86588244	0.84243688	0.88932799
0.72987473	0.68925963	0.77048982
0.51030214	0.44799092	0.57261335
0.42191433	0.37502176	0.46880690
0.86292284	0.83961069	0.88623500
0.80941912	0.77650167	0.84233657
0.62960705	0.57327405	0.68594006
0.54583378	0.49285962	0.59880794
0.85465285	0.83337999	0.87592571
0.81396765	0.78437851	0.84355678
0.72019579	0.67141296	0.76897863
0.61732300	0.56603636	0.66860964
0.87208747	0.85189393	0.89228101
0.85961059	0.83595049	0.88327069
0.77260024	0.73325918	0.81194130
0.66365516	0.61285989	0.71445044
0.89175579	0.87497726	0.90853432
0.83617462	0.81043306	0.86191618
0.81010638	0.77759849	0.84261427
0.77288896	0.73317228	0.81260563
0.87318783	0.85234842	0.89402724
0.85036581	0.82773192	0.87299969
0.83392030	0.80687498	0.86096563
0.73983340	0.69644301	0.78322378
0.89068119	0.87254329	0.90881909
0.81002390	0.78320580	0.83684201
0.79774332	0.76773169	0.82775494
