# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.55330673	-0.37415626	1.48076971
0.01424145	-0.01367179	0.04215470
0.18806125	-0.06857763	0.44470013
10.56541008	4.48025995	16.65056021
15.39438545	9.77383448	21.01493642
5.20300466	1.55043557	8.85557375
0.16680074	-0.10289552	0.43649699
9.64610700	5.40945813	13.88275586
29.94020347	21.95164186	37.92876507
25.67126971	16.11967593	35.22286349
10.57614268	2.30600858	18.84627678
8.10681981	2.22311267	13.99052694
64.74902520	51.74478795	77.75326244
88.73216387	73.20657226	104.25775548
72.42165084	58.76154884	86.08175284
22.36607697	11.84874914	32.88340480
80.28582849	68.33340303	92.23825396
97.37269402	78.68520245	116.06018560
68.03338413	50.79634557	85.27042269
25.37533593	17.14954183	33.60113003
70.32807318	58.25729824	82.39884812
78.00930094	64.29484022	91.72376165
64.29113488	50.97454566	77.60772409
92.81792159	75.24143647	110.39440671
303.53098960	266.83945972	340.22251948
230.17072848	204.52208943	255.81936754
160.11604166	123.04325692	197.18882640
97.60497048	66.44448732	128.76545365
372.60791968	325.63400373	419.58183563
332.20854371	298.89019944	365.52688797
256.71648765	219.27843279	294.15454251
190.80736022	140.15405493	241.46066550
393.48645675	353.27647606	433.69643745
359.08276569	310.55727668	407.60825470
235.26406893	203.60791683	266.92022104
206.50164284	150.08084773	262.92243794
488.71822125	419.18800282	558.24843968
374.61845650	335.59025320	413.64665980
342.10017876	298.41971166	385.78064586
291.31659297	243.20078024	339.43240570
548.09553509	474.98161511	621.20945507
441.14609860	391.20004877	491.09214844
315.00679122	275.53085570	354.48272673
241.61664795	191.64900353	291.58429237
448.50472207	386.80560555	510.20383858
338.89292241	290.12674580	387.65909902
181.18711928	142.42133537	219.95290318
77.15329961	48.83468504	105.47191418
105.80405774	77.05149797	134.55661752
103.07889676	81.30992898	124.84786455
80.01186490	60.22266163	99.80106817
45.00686550	29.09998849	60.91374251
69.51562546	57.04991906	81.98133187
80.64267642	65.71265023	95.57270261
75.74385226	60.68090823	90.80679629
30.05300211	20.40060391	39.70540030
53.98678621	43.25497161	64.71860081
62.54656883	49.73075621	75.36238146
61.26777905	48.38233489	74.15322321
26.77401983	18.22228302	35.32575664
60.02460870	48.30377241	71.74544499
63.28315310	51.60611182	74.96019438
49.69631546	36.18601722	63.20661370
60.60089120	45.64393090	75.55785150
262.73148315	226.59502975	298.86793654
147.31735138	120.41240871	174.22229405
61.13262118	40.42354656	81.84169580
42.83114817	28.79193900	56.87035733
316.39197804	276.13531857	356.64863751
214.04694987	184.36058412	243.73331563
104.84164634	82.02037259	127.66292009
53.47459240	35.11390844	71.83527635
313.45469443	277.77610339	349.13328547
270.91380986	238.46348074	303.36413898
158.26159614	128.06770719	188.45548509
100.61264240	67.88190557	133.34337923
349.30820384	309.21726621	389.39914146
320.36138810	275.38711623	365.33565998
227.69163461	184.56147995	270.82178927
147.73830736	110.36367020	185.11294452
381.02479154	339.14673113	422.90285195
330.56220580	295.72399224	365.40041935
237.29321322	199.09863694	275.48778951
213.87670831	169.00849596	258.74492065
464.13121297	395.17365680	533.08876915
413.72795865	358.31473475	469.14118255
350.33852404	302.01841358	398.65863451
367.08775739	298.46440658	435.71110821
552.61291833	474.79201704	630.43381961
401.12809213	360.06124687	442.19493740
343.85036744	291.69676410	396.00397078
263.00627092	204.76870796	321.24383389
488.88111934	423.27468324	554.48755544
467.31307676	395.26477725	539.36137627
379.15176045	324.81378941	433.48973148
