# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
16.99218750	6.78159999	27.20277501
28.71093750	15.85969750	41.56217750
28.41796875	15.95367509	40.88226241
133.88671875	116.69493083	151.07850667
71.19140625	54.09350613	88.28930637
39.84375000	25.47228438	54.21521562
39.55078125	25.02844765	54.07311485
138.28125000	121.12687986	155.43562014
131.77734375	116.59190743	146.96278007
91.46484375	74.64199596	108.28769154
75.70312500	59.07389389	92.33235611
74.41406250	56.59017872	92.23794628
143.49609375	131.13383340	155.85835410
121.24302455	109.47486340	133.01118571
102.51953125	88.18915674	116.84990576
95.50781250	76.51281841	114.50280659
144.90652902	133.41350425	156.39955379
130.23716518	118.23757828	142.23675207
109.76283482	96.50703897	123.01863067
99.60937500	80.44754128	118.77120872
158.41238839	146.16472915	170.66004764
123.05106027	110.69255946	135.40956108
123.90066964	109.80703522	137.99430407
149.41406250	139.12162204	159.70650296
114.58844866	105.50939499	123.66750233
115.85658482	103.15938088	128.55378876
82.16238839	66.61020072	97.71457607
173.61328125	163.95862073	183.26794177
112.92829241	104.64090242	121.21568240
106.02691254	95.10763955	116.94618553
116.14118304	100.83037839	131.45198768
160.31250000	147.29386108	173.33113892
104.93024554	97.40573201	112.45475906
112.28794643	100.94845715	123.62743571
115.91099330	100.45597697	131.36600964
167.05078125	153.75159888	180.34996362
113.50027902	106.33333770	120.66722034
112.78459821	101.21455736	124.35463907
105.43945313	90.25644907	120.62245718
166.69921875	154.12707715	179.27136035
124.56194196	115.39503849	133.72884544
107.79575893	94.17502076	121.41649710
66.65457589	50.31822286	82.99092893
167.63671875	156.72370725	178.54973025
117.50697545	106.35671885	128.65723204
85.60546875	69.91049628	101.30044122
91.75781250	74.96151506	108.55410994
61.52343750	44.08119759	78.96567741
140.33203125	127.46627383	153.19778867
131.13281250	117.66945159	144.59617341
114.55915179	99.69145777	129.42684580
87.30468750	68.51638796	106.09298704
148.54352679	134.83728437	162.24976921
128.97321429	115.17478503	142.77164354
121.70340402	106.99624794	136.41056010
99.02343750	80.15350927	117.89336573
151.52343750	137.71847052	165.32840448
124.21875000	109.82879720	138.60870280
97.38281250	81.56008269	113.20554231
102.24609375	83.32374848	121.16843902
136.02539063	122.74900322	149.30177803
133.04129464	119.23948204	146.84310724
105.15066964	88.97012680	121.33121248
155.09765625	146.20433204	163.99098046
115.06975446	103.14153721	126.99797172
92.40386567	76.00745321	108.80027812
87.24609375	70.56145170	103.93073580
154.57031250	144.22039823	164.92022677
112.83063616	103.26397109	122.39730124
102.10937500	87.40270116	116.81604884
100.19531250	83.33877725	117.05184775
150.17578125	137.50332887	162.84823363
109.76004464	100.66782675	118.85226254
114.59402902	103.33588158	125.85217645
100.78962054	85.51505601	116.06418507
172.38281250	161.01355071	183.75207429
114.62053571	106.17792189	123.06314954
107.62555804	95.21068128	120.04043479
113.18219866	97.86841602	128.49598130
160.37109375	147.77053540	172.97165210
110.13113839	100.92027040	119.34200638
105.86077009	94.27476818	117.44677200
106.59458705	93.30168201	119.88749209
170.50781250	157.26495346	183.75067154
108.76255580	101.41144431	116.11366729
108.82127638	98.52919115	119.11336161
119.94977679	105.84492242	134.05463116
174.60937500	161.83716793	187.38158207
116.32952009	107.87004732	124.78899286
110.48003754	98.32534783	122.63472725
119.06668527	104.78617535	133.34719518
171.67968750	159.32617953	184.03319547
111.68945312	105.08989905	118.28900720
106.81361607	94.83864902	118.78858312
96.48297991	81.52387151	111.44208831
