# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000690	-0.00000663	0.00002044
0.00000653	-0.00000249	0.00001556
0.00007425	0.00000570	0.00014281
0.00011207	0.00003398	0.00019016
0.00009019	0.00002363	0.00015674
0.00010730	0.00004020	0.00017440
0.00017915	0.00007621	0.00028208
0.00021258	0.00011563	0.00030953
0.00022026	0.00011585	0.00032466
0.00030927	0.00017399	0.00044455
0.00026851	0.00014212	0.00039490
0.00016708	0.00005800	0.00027615
0.00016065	0.00006715	0.00025416
0.00040580	0.00023765	0.00057394
0.00070495	0.00046697	0.00094293
0.00052709	0.00034678	0.00070740
0.00051930	0.00031344	0.00072515
0.00071178	0.00047074	0.00095282
0.00079770	0.00055232	0.00104309
0.00092507	0.00065241	0.00119773
0.00103693	0.00077497	0.00129889
0.00121182	0.00092637	0.00149727
0.00105259	0.00077497	0.00133022
0.00069895	0.00051688	0.00088102
0.00064328	0.00046574	0.00082082
0.00062736	0.00043109	0.00082364
0.00051959	0.00032677	0.00071241
0.00023770	0.00012709	0.00034832
0.00019299	0.00006162	0.00032435
0.00015829	0.00005852	0.00025805
0.00013733	0.00001920	0.00025546
0.00002652	-0.00000235	0.00005540
0.00002962	-0.00001165	0.00007089
0.00002904	-0.00001648	0.00007456
0.00007797	0.00000096	0.00015499
0.00002230	-0.00000330	0.00004790
0.00000636	-0.00000611	0.00001883
0.00004520	0.00000368	0.00008672
0.00003264	0.00000039	0.00006489
0.00000943	-0.00000430	0.00002316
0.00000322	-0.00000309	0.00000953
0.00000322	-0.00000309	0.00000953
0.00000000	0.00000000	0.00000000
0.00001584	-0.00000641	0.00003808
0.00000323	-0.00000310	0.00000956
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000347	-0.00000333	0.00001026
0.00001730	-0.00001065	0.00004524
0.00003091	-0.00000892	0.00007073
0.00000343	-0.00000329	0.00001016
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00001986	-0.00000954	0.00004927
0.00003565	-0.00000221	0.00007351
0.00001639	-0.00000659	0.00003937
0.00001961	-0.00000724	0.00004646
0.00009518	0.00002813	0.00016223
0.00028581	0.00011434	0.00045728
0.00018388	0.00009180	0.00027595
0.00021024	0.00010636	0.00031411
0.00047554	0.00028498	0.00066610
0.00067046	0.00043583	0.00090509
0.00054935	0.00035931	0.00073939
0.00063233	0.00044469	0.00081996
0.00102739	0.00074337	0.00131140
0.00121339	0.00091570	0.00151107
0.00078532	0.00057279	0.00099784
0.00092234	0.00065547	0.00118921
0.00162251	0.00124942	0.00199560
0.00169155	0.00134688	0.00203623
0.00132470	0.00102939	0.00162002
0.00122689	0.00095040	0.00150338
0.00134142	0.00103016	0.00165267
0.00111116	0.00085478	0.00136754
0.00111344	0.00083098	0.00139590
0.00144178	0.00111280	0.00177075
0.00197862	0.00159995	0.00235729
0.00149905	0.00120076	0.00179733
