# mean	lower_ci	upper_ci
0.02176802	0.00989771	0.03363833
0.02760689	0.01185589	0.04335789
0.01979399	0.00680283	0.03278514
0.02842306	0.01276766	0.04407846
0.02617734	0.01275204	0.03960264
0.01418638	0.00402178	0.02435097
0.01957626	0.00946669	0.02968583
0.01931062	0.00825244	0.03036881
0.04349239	0.02531132	0.06167347
0.04283747	0.02638980	0.05928513
0.04021129	0.02378834	0.05663425
0.02845761	0.01521561	0.04169962
0.06556886	0.04224302	0.08889470
0.07654199	0.04755498	0.10552900
0.05103531	0.03243753	0.06963309
0.05720960	0.03918251	0.07523669
0.03728747	0.02348490	0.05109003
0.06159349	0.04100349	0.08218348
0.06420105	0.04256207	0.08584003
0.05932423	0.03893821	0.07971024
0.05363782	0.03138161	0.07589404
0.06522225	0.04316691	0.08727759
0.04817108	0.02987129	0.06647088
0.04263606	0.02591994	0.05935217
0.06997991	0.04684591	0.09311392
0.07739485	0.05286133	0.10192836
0.05856505	0.03484092	0.08228917
0.06930265	0.04809102	0.09051428
0.05405259	0.03606080	0.07204437
0.06068076	0.03978321	0.08157831
0.06763066	0.04656147	0.08869986
0.07464181	0.05125643	0.09802720
0.10100903	0.07178740	0.13023066
0.05945856	0.03859486	0.08032226
0.06737599	0.04757792	0.08717407
0.04949276	0.03437311	0.06461241
0.05429317	0.03502965	0.07355669
0.05139181	0.03270312	0.07008049
0.04211720	0.02669693	0.05753747
0.06050579	0.03717151	0.08384006
0.05763544	0.03479540	0.08047547
0.04309975	0.02318849	0.06301101
0.04112169	0.02571200	0.05653137
0.03004968	0.01674843	0.04335092
0.02956794	0.01874753	0.04038836
0.04202192	0.02539713	0.05864671
0.05224354	0.03451610	0.06997098
0.04781812	0.03084673	0.06478951
0.04647362	0.02679621	0.06615103
0.04597181	0.02329133	0.06865229
0.04597020	0.02967106	0.06226934
0.05484731	0.03259321	0.07710141
0.04208793	0.02714599	0.05702987
0.05818709	0.03682593	0.07954824
0.03817844	0.01941452	0.05694237
0.03318708	0.01666223	0.04971192
0.02741565	0.01205955	0.04277176
0.03951626	0.02152586	0.05750666
0.03415841	0.02016267	0.04815415
0.03242363	0.02012417	0.04472309
0.04070731	0.02353199	0.05788262
0.04142416	0.02424876	0.05859956
0.05243787	0.03250947	0.07236627
0.04949801	0.03036326	0.06863276
0.04370106	0.02762805	0.05977406
0.05030969	0.03185658	0.06876279
0.03175942	0.01733191	0.04618693
0.03952004	0.02359328	0.05544680
0.05042666	0.03131692	0.06953639
0.04723043	0.02911339	0.06534748
0.07060079	0.04914068	0.09206090
0.03807611	0.02445293	0.05169930
0.06303966	0.04178625	0.08429306
0.05834281	0.03730446	0.07938116
0.06190936	0.03719484	0.08662387
0.06699177	0.04204377	0.09193978
0.06327962	0.04418963	0.08236961
0.06788468	0.04616012	0.08960924
0.07064313	0.04723364	0.09405263
0.07474100	0.05175406	0.09772795
0.07983783	0.05715997	0.10251569
0.06441247	0.04488927	0.08393566
0.07189325	0.04618803	0.09759846
0.07794395	0.05084774	0.10504017
0.06752693	0.04549414	0.08955972
0.05958394	0.04071058	0.07845731
0.07720836	0.05498640	0.09943031
0.05567064	0.03061065	0.08073063
0.05711807	0.03750783	0.07672832
0.05902673	0.04189758	0.07615589
0.07793452	0.05460587	0.10126316
0.07003363	0.04801810	0.09204916
0.05376606	0.03611307	0.07141904
0.06311814	0.04023674	0.08599955
0.05517342	0.03593435	0.07441248
0.05460584	0.03771810	0.07149357
