# mean	lower_ci	upper_ci
0.03711546	0.01894603	0.05528489
0.11167396	0.06959624	0.15375168
0.17669323	0.10418653	0.24919994
0.22886141	0.10812509	0.34959774
0.24102897	0.14538151	0.33667644
0.37036819	0.24503796	0.49569843
0.32871991	0.21614439	0.44129543
0.43964495	0.28537679	0.59391310
0.30809315	0.15144033	0.46474597
0.43956315	0.26363114	0.61549516
0.48227776	0.32712758	0.63742794
0.66199916	0.45395764	0.87004069
0.84186935	0.59090533	1.09283336
1.21654301	0.83853931	1.59454671
1.51591853	1.06274403	1.96909303
1.23635699	0.82931782	1.64339616
1.47855919	1.06896875	1.88814963
1.78665318	1.32027593	2.25303042
1.87709562	1.38269478	2.37149645
1.97579089	1.49024249	2.46133928
1.64672363	1.18216918	2.11127809
1.28259225	0.85910230	1.70608220
1.10533906	0.70763480	1.50304332
1.05471067	0.68962098	1.41980035
0.82433080	0.52852298	1.12013862
0.71369403	0.45823273	0.96915534
1.15449397	0.77944341	1.52954453
1.23404829	0.86196269	1.60613389
1.56398613	1.19876558	1.92920667
1.72409943	1.32654001	2.12165884
1.55782340	1.14773155	1.96791525
1.89925557	1.38591806	2.41259309
1.91507691	1.38845951	2.44169431
1.75374019	1.28627354	2.22120684
1.75121539	1.26044604	2.24198474
1.53446921	1.09642390	1.97251453
1.37672912	0.95921999	1.79423825
0.96759784	0.53947164	1.39572404
0.76885038	0.45786916	1.07983160
0.68283954	0.41217620	0.95350289
0.38100194	0.22180977	0.54019411
0.07486527	0.02301070	0.12671983
0.04697066	0.01300201	0.08093930
0.05426165	0.00954155	0.09898175
0.16180284	0.06101064	0.26259503
0.14575533	0.06982878	0.22168187
0.10086099	0.04389106	0.15783093
0.10384568	0.04887603	0.15881532
0.28010391	0.19894083	0.36126699
0.48403620	0.31134838	0.65672401
0.68379866	0.46245710	0.90514022
0.77948502	0.52998011	1.02898992
0.50641700	0.35408877	0.65874523
0.32431044	0.21676646	0.43185443
0.38597889	0.24231124	0.52964654
0.45612055	0.27618727	0.63605383
0.36044806	0.20545575	0.51544037
0.23332003	0.13741469	0.32922537
0.17145840	0.08146277	0.26145403
0.26557650	0.13901745	0.39213555
0.35259196	0.22417694	0.48100699
0.51699889	0.35871641	0.67528137
0.46873973	0.31081826	0.62666119
0.35431158	0.24192908	0.46669407
0.61081896	0.41249568	0.80914224
1.12638479	0.82924238	1.42352720
1.20555587	0.90866455	1.50244720
1.11848840	0.79176128	1.44521552
1.80039844	1.38757172	2.21322516
2.63862966	2.12733587	3.14992346
3.31567960	2.60558796	4.02577124
3.57899130	2.85780526	4.30017734
2.86108547	2.17473596	3.54743498
2.35871990	1.78848488	2.92895491
2.19984826	1.64325117	2.75644534
1.73319671	1.19013757	2.27625584
1.74827534	1.16411359	2.33243710
1.99644534	1.37288112	2.62000955
2.00588601	1.41754079	2.59423123
2.66634079	1.96999093	3.36269065
2.71805455	1.95460917	3.48149993
2.72059432	1.92599552	3.51519312
2.87996196	2.01667121	3.74325271
2.60231086	1.82044650	3.38417522
2.44239602	1.67527561	3.20951643
2.36258710	1.56879608	3.15637812
2.38629014	1.64164038	3.13093990
2.33495415	1.59597279	3.07393551
2.63516977	1.88295375	3.38738579
2.41214179	1.62182098	3.20246259
2.21555652	1.38307126	3.04804178
2.30687970	1.55673440	3.05702501
1.68165977	1.04340398	2.31991556
1.30355497	0.71513485	1.89197508
1.00561577	0.54218491	1.46904663
0.88955332	0.53108697	1.24801968
