# mean	lower_ci	upper_ci
110.49678372	93.97274994	127.02081750
129.42172824	110.42529516	148.41816132
133.05948719	114.83605571	151.28291868
155.57188482	132.90149103	178.24227861
163.38054279	124.07556764	202.68551793
161.74056980	135.05710208	188.42403752
179.27584841	147.56180340	210.98989341
176.79479708	137.54709810	216.04249607
126.56876182	108.74561986	144.39190378
148.01353760	133.90626352	162.12081168
161.51454325	144.73824461	178.29084188
167.69187073	143.84320397	191.54053748
180.97320021	153.68759687	208.25880355
204.92219181	176.89026155	232.95412207
200.28653934	175.44145678	225.13162191
194.55016582	167.83270791	221.26762373
225.22335259	193.46058469	256.98612050
235.52099694	201.22689224	269.81510165
224.60940711	191.84531625	257.37349796
243.93713908	205.94262780	281.93165036
203.59812490	173.63637596	233.55987384
191.11588810	162.23532413	219.99645207
181.86312899	154.72575408	209.00050390
193.33963357	166.00842237	220.67084477
167.20179639	147.67026314	186.73332963
154.18198537	136.50822090	171.85574984
192.30407163	167.45534897	217.15279430
198.99959405	173.93788096	224.06130715
199.54008956	179.20973795	219.87044117
197.54855908	176.58345310	218.51366506
196.91282155	174.46609031	219.35955278
212.48520533	186.42240923	238.54800144
199.23146393	178.23857533	220.22435252
201.75017466	177.47110173	226.02924758
193.90642857	169.53909371	218.27376342
194.03548283	169.10277339	218.96819227
185.56907696	159.14083500	211.99731893
173.90644208	145.74271064	202.07017352
160.19021068	144.03800843	176.34241293
166.49291279	148.34575193	184.64007364
138.21777022	125.34788782	151.08765262
118.70481063	108.82973687	128.57988439
113.70659839	101.05436454	126.35883224
126.00975574	109.76255032	142.25696116
137.09123968	121.70517435	152.47730501
123.70598402	113.78047721	133.63149083
125.51162360	114.87681767	136.14642953
140.08052815	124.39963690	155.76141939
163.52237104	137.67176117	189.37298092
168.06390542	144.00623505	192.12157579
168.05279886	148.67964156	187.42595616
166.60671576	148.44923485	184.76419667
157.32575716	137.55614288	177.09537144
153.49218997	137.87425559	169.11012435
153.49187144	135.16942102	171.81432187
153.24531019	135.48304678	171.00757361
145.49395400	128.07498091	162.91292710
145.58495434	130.37715551	160.79275317
138.71892739	121.20420164	156.23365314
149.32692466	131.35143441	167.30241490
160.87509199	139.32524108	182.42494290
168.16478332	140.04146275	196.28810389
148.00236895	134.33478596	161.66995194
146.14562218	133.29830352	158.99294083
178.91401751	153.54236864	204.28566639
213.20250601	183.99782820	242.40718382
205.57054338	175.82884360	235.31224316
212.99263231	176.39049790	249.59476673
251.20415284	214.88270263	287.52560306
292.19980963	249.21591360	335.18370566
326.32239033	273.93335379	378.71142686
293.46601227	259.24820515	327.68381940
236.12436347	202.66834754	269.58037940
232.61981388	205.35726947	259.88235829
221.59193050	192.27665349	250.90720751
201.21376728	172.37669014	230.05084443
208.34474156	175.23117397	241.45830916
208.65214931	179.90817077	237.39612785
209.07220058	182.71998632	235.42441484
274.49168584	231.96563665	317.01773504
244.05330045	206.32144823	281.78515267
271.01313769	225.69438896	316.33188643
226.69743451	192.72224081	260.67262821
225.65761159	195.38446388	255.93075931
235.92097022	196.13956407	275.70237637
230.25147073	193.69820976	266.80473171
228.43948990	193.30710916	263.57187063
224.16314580	193.79223642	254.53405518
253.09363653	214.56351107	291.62376199
230.08375616	188.59363213	271.57388020
225.57391391	195.00605484	256.14177299
218.42010061	184.30995812	252.53024311
199.34265865	167.37853973	231.30677756
182.89203587	153.06369442	212.72037733
173.13976191	153.68419692	192.59532689
177.49761559	151.47903216	203.51619902
