# mean	lower_ci	upper_ci
0.26510780	0.23162460	0.29859100
0.35779998	0.31662591	0.39897405
0.39313397	0.34775303	0.43851491
0.41239294	0.36958280	0.45520308
0.41348465	0.36791700	0.45905229
0.49162347	0.44382694	0.53942001
0.47766767	0.43084760	0.52448775
0.30876618	0.27473962	0.34279274
0.41693666	0.37862998	0.45524333
0.56733850	0.52492296	0.60975404
0.61368195	0.57372068	0.65364321
0.58132810	0.53709434	0.62556186
0.62819904	0.58687175	0.66952632
0.68304278	0.64070369	0.72538186
0.71882609	0.68008141	0.75757077
0.66085147	0.61757840	0.70412453
0.72828284	0.69056558	0.76600010
0.74128463	0.70396669	0.77860256
0.73524433	0.69844242	0.77204624
0.74530478	0.70744369	0.78316588
0.68013772	0.63852736	0.72174808
0.62790298	0.58313030	0.67267566
0.59530676	0.54887066	0.64174286
0.47515217	0.44473502	0.50556931
0.61163723	0.57128443	0.65199003
0.64206058	0.60327369	0.68084747
0.67486254	0.63546511	0.71425997
0.69472647	0.65849430	0.73095863
0.76827778	0.73309665	0.80345891
0.76153582	0.72745949	0.79561215
0.74070431	0.70614229	0.77526633
0.74253031	0.70510890	0.77995172
0.74656950	0.70922888	0.78391013
0.75686589	0.72220069	0.79153109
0.70388141	0.66430398	0.74345885
0.73848432	0.70451758	0.77245107
0.68191929	0.64129685	0.72254173
0.62709919	0.58567979	0.66851859
0.63369557	0.58989776	0.67749338
0.62349059	0.58520697	0.66177422
0.50201495	0.46166939	0.54236050
0.36616483	0.33046835	0.40186132
0.35198818	0.32011670	0.38385966
0.34982864	0.31542508	0.38423219
0.40643212	0.36886540	0.44399884
0.43301671	0.39438127	0.47165215
0.42738787	0.39189008	0.46288565
0.57181843	0.53254451	0.61109234
0.56935324	0.52950816	0.60919832
0.57748546	0.53860341	0.61636752
0.58203631	0.53685814	0.62721448
0.64467578	0.60462516	0.68472641
0.56370832	0.51930777	0.60810888
0.51868236	0.47490110	0.56246362
0.52954587	0.48692051	0.57217124
0.50892666	0.46426674	0.55358658
0.49073704	0.44550627	0.53596781
0.47369147	0.43159330	0.51578964
0.43153119	0.39348138	0.46958100
0.46251142	0.41995254	0.50507030
0.51491678	0.47031630	0.55951725
0.57173639	0.52937069	0.61410209
0.55700762	0.51598395	0.59803130
0.55478912	0.51254288	0.59703537
0.60577557	0.56105415	0.65049698
0.68272152	0.64464954	0.72079350
0.68769246	0.64814478	0.72724014
0.68308215	0.64401521	0.72214910
0.74090420	0.70356733	0.77824108
0.79064294	0.75451722	0.82676865
0.78642162	0.74798658	0.82485666
0.61262366	0.58721031	0.63803700
0.74711978	0.71109193	0.78314764
0.74561708	0.70543951	0.78579465
0.73341539	0.69384968	0.77298109
0.70178268	0.66236370	0.74120165
0.72327620	0.68366107	0.76289132
0.75054275	0.71540648	0.78567902
0.74659028	0.70863191	0.78454865
0.79414390	0.76041757	0.82787023
0.77415570	0.74027709	0.80803431
0.78699228	0.75179325	0.82219131
0.78490517	0.74941675	0.82039358
0.77157829	0.73790622	0.80525036
0.75377010	0.71877191	0.78876829
0.75354436	0.71868423	0.78840449
0.74274668	0.70431486	0.78117849
0.75659357	0.71950484	0.79368230
0.79586040	0.76308432	0.82863649
0.77238984	0.73839613	0.80638355
0.75990500	0.72370266	0.79610733
0.77025574	0.73393950	0.80657199
0.64381787	0.60214851	0.68548724
0.59358091	0.55083053	0.63633128
0.59322359	0.54984776	0.63659941
0.60147928	0.55920265	0.64375591
