# mean	lower_ci	upper_ci
118.00083705	104.79776305	131.20391106
121.93359375	108.09037562	135.77681188
118.00083705	104.34248188	131.65919223
118.04547991	105.90309066	130.18786916
119.37639509	107.19337137	131.55941881
119.67354911	108.34212081	131.00497741
116.88907772	105.14579623	128.63235921
112.33956473	100.87333919	123.80579028
84.38699628	75.21208540	93.56190715
74.66804680	68.84732350	80.48877010
74.41486248	68.45845526	80.37126971
76.86404416	69.97114347	83.75694485
67.41872694	61.74315739	73.09429648
64.70499227	60.18875504	69.22122951
63.28065489	58.51272919	68.04858059
69.05817815	63.56437323	74.55198307
56.38280177	52.08430100	60.68130254
61.45024897	56.83554958	66.06494836
61.34404658	55.88915050	66.79894266
61.37408978	57.06573318	65.68244637
76.21479595	70.00832833	82.42126356
75.97511863	69.57038964	82.37984762
78.54217072	71.05023885	86.03410259
76.47887269	70.49353260	82.46421278
52.90941624	49.57922934	56.23960313
50.48199445	46.59405537	54.36993354
51.64529950	47.50137644	55.78922255
49.21809234	46.06002667	52.37615801
45.44495815	42.22691070	48.66300561
46.13623264	43.15578654	49.11667874
47.69374288	44.36745016	51.02003560
45.78410430	42.82053762	48.74767098
45.85069715	42.94851745	48.75287686
45.08938234	42.64153654	47.53722814
47.72465414	44.80249023	50.64681804
43.89607570	41.26100814	46.53114326
57.07954786	52.75130728	61.40778845
57.61882792	53.25476904	61.98288680
59.07662937	54.15762722	63.99563151
61.11841284	56.13468266	66.10214302
86.44822950	78.89913084	93.99732817
91.14130986	82.72826026	99.55435947
86.89203375	78.57489007	95.20917743
92.20728490	83.86785736	100.54671244
78.60288149	71.01468200	86.19108099
79.04871496	72.36967690	85.72775301
77.33579897	71.73799731	82.93360062
76.31645698	69.02509014	83.60782382
76.85007863	70.59517911	83.10497815
71.15424614	66.52464800	75.78384429
77.37547121	70.47043125	84.28051117
74.77006392	67.94217760	81.59795024
91.98102679	84.33299336	99.62906021
86.83263026	79.36961096	94.29564956
90.54184097	81.83499075	99.24869119
89.83541849	81.82455373	97.84628325
99.90843141	90.45584904	109.36101378
101.31163758	91.54773003	111.07554513
105.86613582	96.71296878	115.01930285
99.70428009	91.01509758	108.39346261
86.05498018	77.95370261	94.15625774
83.30965909	75.40553806	91.21378012
83.86726555	76.95298252	90.78154857
80.64101914	72.99959693	88.28244134
73.19982895	66.72442394	79.67523396
67.63254812	62.70387168	72.56122455
67.93667901	63.40592321	72.46743482
68.43597808	63.20809155	73.66386462
54.04071622	51.00027794	57.08115449
58.44727194	52.72665334	64.16789053
56.32551473	51.88563805	60.76539141
53.30136804	49.74189069	56.86084539
48.99533859	46.09552499	51.89515219
47.69971978	44.60988311	50.78955646
52.82431436	48.44379261	57.20483610
49.65179947	46.19645587	53.10714307
47.42323464	43.93147915	50.91499014
45.23418440	42.04747620	48.42089259
44.09951807	40.63601295	47.56302319
45.19190101	41.62306847	48.76073355
47.70797956	44.10689756	51.30906156
44.63360112	41.69427629	47.57292594
47.41553619	43.26851967	51.56255271
41.99404018	39.67551458	44.31256578
46.99788738	44.28062935	49.71514542
45.93214998	42.55669831	49.30760165
48.40860620	45.23654624	51.58066615
46.74373930	43.39840052	50.08907807
42.96709365	40.50195628	45.43223101
46.38308268	43.83823626	48.92792910
44.39822270	42.05919019	46.73725520
45.81057330	42.85364668	48.76749991
62.66702048	57.95240105	67.38163990
64.27224774	57.97332257	70.57117291
65.49048120	59.83547835	71.14548405
58.98222383	54.95174925	63.01269841
