# mean	lower_ci	upper_ci
0.16498940	0.13067151	0.19930728
0.38049859	0.31938867	0.44160851
0.38241163	0.32088231	0.44394096
0.38936281	0.33243674	0.44628888
0.38350893	0.33481212	0.43220574
0.47198869	0.41358086	0.53039652
0.48341856	0.42640788	0.54042924
0.46564581	0.40898684	0.52230478
0.58102045	0.51015795	0.65188295
0.85954669	0.74626226	0.97283113
0.99515374	0.86962598	1.12068150
1.09038357	0.93161125	1.24915589
1.06778010	0.87126999	1.26429021
1.09681465	0.92135110	1.27227819
1.20604070	1.06524734	1.34683405
1.45976814	1.27846388	1.64107240
1.24876671	1.06312158	1.43441185
1.29176502	1.09735917	1.48617086
1.49798239	1.26443555	1.73152923
1.54174305	1.34642537	1.73706072
1.31690648	1.15370191	1.48011106
1.17625120	1.03334552	1.31915688
1.05758026	0.94470316	1.17045736
1.24944705	1.08049933	1.41839477
1.31747590	1.16604397	1.46890783
1.42121028	1.24429215	1.59812841
1.86999831	1.62772909	2.11226753
1.75606671	1.54674962	1.96538380
1.75188436	1.49891397	2.00485475
1.90659783	1.62048165	2.19271401
2.56687290	2.27581820	2.85792761
3.07073455	2.64883631	3.49263279
2.76661695	2.38965705	3.14357685
2.21519370	1.90800821	2.52237918
2.56187541	2.18395629	2.93979453
2.78134570	2.40685818	3.15583322
2.61104581	2.24494468	2.97714695
2.09240148	1.76185053	2.42295243
2.21033918	1.90788417	2.51279419
2.08843318	1.80916504	2.36770131
1.98890159	1.67709782	2.30070536
1.29815768	1.09852446	1.49779090
1.05088637	0.87743839	1.22433434
1.04298262	0.81581919	1.27014606
0.86123950	0.73305505	0.98942394
0.93423830	0.81908071	1.04939588
1.04152784	0.90122949	1.18182620
1.00490569	0.88271129	1.12710008
1.05184985	0.87936549	1.22433422
0.92896073	0.81357899	1.04434247
1.08320991	0.95784435	1.20857547
1.11279219	0.97115293	1.25443145
1.07697101	0.91850237	1.23543965
0.86473667	0.74771884	0.98175450
0.86796153	0.76538445	0.97053861
0.84986752	0.74713502	0.95260002
0.80754495	0.69748015	0.91760976
0.77144712	0.66393977	0.87895448
0.71325493	0.61463148	0.81187837
0.73026164	0.64325162	0.81727165
0.75637676	0.66378928	0.84896423
0.87077772	0.74858816	0.99296729
0.93979397	0.81594991	1.06363804
1.07069893	0.92333611	1.21806175
0.95473718	0.84019677	1.06927760
1.02690382	0.87923627	1.17457138
1.39991822	1.15948315	1.64035328
1.44834811	1.25094827	1.64574796
1.19398550	1.05548955	1.33248145
1.23466084	1.10834867	1.36097300
1.50405161	1.32620715	1.68189607
1.82194285	1.59338098	2.05050472
1.59209054	1.38890103	1.79528006
1.66753172	1.45671959	1.87834385
2.12805916	1.85212259	2.40399572
2.72082548	2.24733824	3.19431273
2.56296630	2.14896798	2.97696463
2.21850884	1.90267756	2.53434012
2.59121512	2.24223176	2.94019848
2.85408526	2.42228475	3.28588577
2.80037825	2.35681335	3.24394315
2.22411927	1.86289093	2.58534762
2.82806712	2.46923670	3.18689754
3.27355710	2.84693952	3.70017469
2.93371011	2.48207974	3.38534049
2.28448653	1.95705468	2.61191839
2.44604783	2.07473789	2.81735776
3.01229975	2.59670398	3.42789553
2.81756919	2.40142865	3.23370972
2.22693691	1.89179978	2.56207404
2.65232575	2.31630725	2.98834425
2.89278702	2.54240279	3.24317125
2.81571355	2.42514774	3.20627935
2.03707285	1.72440064	2.34974506
2.32394006	1.96307405	2.68480607
2.62777845	2.19842669	3.05713021
