# mean	lower_ci	upper_ci
0.00333494	-0.00053325	0.00720314
0.01771498	0.00093398	0.03449598
0.02009571	0.00289816	0.03729326
0.01642673	0.00542310	0.02743035
0.01569571	0.00379426	0.02759717
0.01769117	0.00653750	0.02884484
0.02298733	0.01135633	0.03461832
0.01141021	0.00502869	0.01779172
0.03009392	0.01520553	0.04498232
0.12399083	0.07055675	0.17742492
0.15695295	0.08765421	0.22625169
0.22859370	0.12444211	0.33274529
0.24012968	0.09530129	0.38495808
0.21502418	0.08018479	0.34986357
0.25138263	0.17017262	0.33259265
0.39706796	0.28000544	0.51413048
0.31174469	0.18000635	0.44348304
0.30888990	0.15490921	0.46287058
0.44471461	0.26233318	0.62709604
0.44571726	0.31235492	0.57907960
0.32078253	0.21136984	0.43019521
0.23475914	0.14825356	0.32126471
0.19133560	0.13214296	0.25052824
0.30483875	0.19480463	0.41487287
0.32552817	0.23434030	0.41671604
0.37026933	0.24448261	0.49605605
0.67336285	0.49003063	0.85669506
0.56925646	0.41387068	0.72464223
0.58093550	0.37724826	0.78462273
0.71775518	0.48114405	0.95436632
1.16416252	0.91638712	1.41193792
1.65089922	1.28348121	2.01831723
1.41780906	1.10651369	1.72910443
0.93304670	0.67657609	1.18951732
1.17917488	0.84720099	1.51114877
1.39070020	1.07227499	1.70912542
1.24714680	0.93118747	1.56310612
0.87809333	0.60580664	1.15038003
0.93919709	0.69154101	1.18685317
0.86208118	0.64552932	1.07863304
0.77732096	0.51289864	1.04174327
0.34690470	0.21078491	0.48302449
0.23487355	0.11647308	0.35327403
0.26007052	0.08220193	0.43793911
0.13515342	0.06343626	0.20687058
0.14259729	0.07866834	0.20652624
0.19564897	0.11081829	0.28047966
0.18686990	0.12120019	0.25253962
0.22800593	0.10084399	0.35516787
0.13956492	0.08489790	0.19423193
0.20244949	0.13341784	0.27148114
0.23588748	0.14943758	0.32233739
0.22834299	0.12387692	0.33280906
0.12774967	0.07108696	0.18441237
0.11106188	0.06647058	0.15565318
0.11577384	0.07163869	0.15990898
0.10806423	0.05073004	0.16539841
0.09517503	0.04965771	0.14069235
0.08952449	0.03715861	0.14189036
0.08620980	0.05300265	0.11941696
0.08388332	0.04516032	0.12260632
0.12360363	0.05635482	0.19085245
0.15835146	0.09430792	0.22239500
0.22590083	0.13554106	0.31626060
0.15500033	0.09692464	0.21307602
0.20103775	0.10221240	0.29986311
0.39224753	0.19546812	0.58902693
0.42656746	0.28970282	0.56343211
0.24347011	0.15995809	0.32698213
0.23932496	0.17281686	0.30583305
0.43218544	0.30554314	0.55882774
0.64152105	0.47442904	0.80861305
0.48527027	0.34349924	0.62704129
0.51875690	0.36269419	0.67481961
0.85586940	0.63356726	1.07817153
1.39311646	0.96961305	1.81661987
1.26920329	0.90963030	1.62877628
0.92764663	0.66884999	1.18644327
1.22119955	0.92990024	1.51249886
1.49442633	1.12177667	1.86707599
1.44576693	1.05733181	1.83420205
0.98642284	0.67856033	1.29428535
1.40129797	1.09827409	1.70432185
1.78446757	1.40476121	2.16417393
1.56766429	1.17606604	1.95926254
1.00362831	0.72934539	1.27791123
1.12039059	0.80110990	1.43967129
1.60218776	1.24285018	1.96152535
1.44810794	1.08791871	1.80829717
0.92257562	0.63564332	1.20950792
1.25090796	0.96776292	1.53405300
1.46379498	1.16607683	1.76151314
1.42047419	1.08737817	1.75357021
0.80363801	0.54378032	1.06349570
1.05088373	0.74567256	1.35609489
1.34076541	0.96717806	1.71435276
