# mean	lower_ci	upper_ci
39.67091166	32.83786342	46.50395989
54.12014646	46.95234171	61.28795120
54.89619765	47.88028619	61.91210911
52.39816210	47.23741447	57.55890973
57.86570932	51.08473046	64.64668818
57.31273968	50.30014731	64.32533205
57.75801385	51.46191224	64.05411547
59.91288831	51.12382635	68.70195028
56.07667259	50.28503724	61.86830793
64.61720965	57.07047073	72.16394857
64.73832223	57.03005323	72.44659123
73.80370738	65.15799718	82.44941759
73.07671863	57.96080613	88.19263113
65.16777070	59.24021619	71.09532520
73.74614805	66.39318496	81.09911114
79.58848770	69.50689590	89.67007949
76.94683565	65.01255288	88.88111842
75.19659719	62.97686883	87.41632555
77.68959410	70.28116922	85.09801899
77.76977092	68.82411484	86.71542700
70.23088589	63.75558446	76.70618732
69.55218829	62.86731084	76.23706575
69.94249441	62.65634853	77.22864029
79.18150050	68.86306117	89.49993984
77.63483509	69.77243755	85.49723262
74.80404097	63.26116800	86.34691394
90.52860974	80.70128393	100.35593555
83.22420293	74.18059267	92.26781319
92.36928556	74.26597863	110.47259249
91.56239466	79.52416792	103.60062139
112.54219666	97.62831358	127.45607975
126.62479986	109.56573883	143.68386090
109.46515319	96.36160998	122.56869640
104.52829458	85.75000524	123.30658392
106.70067432	92.93242724	120.46892141
109.88452904	95.75444362	124.01461446
122.44878619	100.67984502	144.21772736
93.84246883	81.32194421	106.36299345
93.77292341	82.40664219	105.13920464
98.67071828	86.00687061	111.33456595
93.05504706	81.11454116	104.99555297
73.31177884	65.97851387	80.64504381
72.05516155	62.22200086	81.88832223
77.06119473	64.59946638	89.52292308
62.74515089	56.51125174	68.97905004
67.69620532	60.07448673	75.31792391
63.94994407	58.28865870	69.61122944
67.36673848	60.79440655	73.93907042
67.64092652	60.07102300	75.21083005
65.40828027	58.95562472	71.86093583
70.86917476	63.51723778	78.22111175
65.90886412	58.99399127	72.82373698
70.88581798	62.42132396	79.35031200
62.57605227	56.55975439	68.59235015
62.18629819	56.45527188	67.91732449
65.88798605	59.48321223	72.29275987
64.61324243	57.47790014	71.74858472
61.50647612	54.51697268	68.49597955
63.15519490	56.45397577	69.85641403
63.36857230	57.67381054	69.06333406
68.86693255	60.55603185	77.17783326
64.07134098	57.97654618	70.16613578
63.68229945	57.09560825	70.26899066
72.52490806	66.03305995	79.01675617
69.12115677	61.29299554	76.94931801
75.51722142	62.76507879	88.26936405
79.45474216	68.87561255	90.03387176
80.51030821	70.99965081	90.02096560
74.74140349	67.36683844	82.11596855
73.64901412	66.54794516	80.75008307
84.08862471	73.53065926	94.64659016
89.04368753	78.66216502	99.42521004
79.16368163	70.74635147	87.58101179
85.03258933	74.31951086	95.74566781
101.38651559	82.71087357	120.06215760
119.20507147	99.10963990	139.30050305
109.32457039	95.35467179	123.29446898
96.43926996	85.10401110	107.77452881
108.57663419	93.90560393	123.24766446
120.72201702	102.73706140	138.70697264
114.86048034	98.49864511	131.22231558
94.04923474	80.88177846	107.21669103
123.25738389	105.72240718	140.79236059
127.04003020	111.53941755	142.54064285
119.42065510	101.42899478	137.41231542
103.32081480	89.42301163	117.21861798
111.70635608	85.60404623	137.80866593
122.81522071	107.59788384	138.03255758
117.98253851	102.40986544	133.55521158
97.02761333	84.63210923	109.42311743
111.07954231	97.73275817	124.42632645
119.25219983	106.39232816	132.11207150
116.80743705	101.44988393	132.16499018
93.52148044	80.81046076	106.23250013
110.13100579	94.02006843	126.24194314
120.53394689	101.47573504	139.59215874
