# mean	lower_ci	upper_ci
0.08082723	0.06457733	0.09707713
0.18139180	0.15622305	0.20656056
0.18115796	0.15576554	0.20655038
0.18646804	0.16134881	0.21158727
0.18390661	0.16237409	0.20543913
0.22714876	0.20064701	0.25365051
0.23021562	0.20427733	0.25615390
0.22711780	0.20013172	0.25410389
0.27546327	0.24473601	0.30619052
0.36777793	0.33182988	0.40372598
0.41910039	0.38224460	0.45595619
0.43089493	0.39534528	0.46644459
0.41382521	0.37583271	0.45181770
0.44089523	0.40697157	0.47481889
0.47732903	0.44017774	0.51448032
0.53135009	0.49078475	0.57191543
0.46851101	0.43091625	0.50610578
0.49143756	0.45664689	0.52622823
0.52663389	0.48937460	0.56389318
0.54801289	0.50949509	0.58653069
0.49806198	0.46389448	0.53222948
0.47074603	0.43417657	0.50731549
0.43312233	0.40090780	0.46533686
0.47230415	0.43290898	0.51169931
0.49597386	0.45976275	0.53218498
0.52547047	0.49074223	0.56019872
0.59831773	0.56031815	0.63631732
0.59340513	0.55820997	0.62860028
0.58547443	0.54922827	0.62172059
0.59442132	0.55760086	0.63124178
0.70135519	0.66903057	0.73367981
0.70991766	0.67216326	0.74767207
0.67440394	0.63326354	0.71554435
0.64107350	0.60492480	0.67722219
0.69135026	0.65565517	0.72704536
0.69532275	0.65602113	0.73462437
0.68194951	0.64627554	0.71762348
0.60715407	0.56591292	0.64839522
0.63557104	0.59740318	0.67373891
0.61317600	0.57332060	0.65303140
0.60579032	0.56667306	0.64490757
0.47562649	0.43354888	0.51770410
0.40800641	0.36980739	0.44620542
0.39145605	0.35027097	0.43264114
0.36304304	0.32740726	0.39867882
0.39582050	0.36224471	0.42939630
0.42293944	0.38591542	0.45996345
0.40901789	0.37396268	0.44407310
0.41192196	0.37876571	0.44507821
0.39469791	0.35884030	0.43055552
0.44038021	0.40612297	0.47463745
0.43845235	0.40418487	0.47271984
0.42431401	0.38856565	0.46006237
0.36849350	0.33187009	0.40511691
0.37844982	0.34353180	0.41336785
0.36704684	0.33332822	0.40076546
0.34974036	0.31611013	0.38337060
0.33813605	0.30138990	0.37488219
0.31186522	0.28145538	0.34227506
0.32202592	0.29100359	0.35304824
0.33624672	0.30389247	0.36860097
0.37358705	0.33760465	0.40956944
0.39072126	0.35434133	0.42710118
0.42239905	0.38671612	0.45808199
0.39986843	0.36579782	0.43393903
0.41293304	0.37923983	0.44662624
0.50383535	0.46637268	0.54129801
0.51089032	0.47225706	0.54952359
0.47525769	0.44011951	0.51039588
0.49766794	0.46181896	0.53351692
0.53593308	0.50117910	0.57068707
0.59021090	0.55216627	0.62825552
0.55341014	0.51585669	0.59096358
0.57438741	0.53794905	0.61082577
0.63609488	0.59906602	0.67312374
0.66385451	0.62436017	0.70334886
0.64688151	0.60696556	0.68679746
0.64543111	0.60581345	0.68504876
0.68500779	0.64668464	0.72333093
0.67982947	0.63904372	0.72061521
0.67730566	0.63615505	0.71845627
0.61884822	0.58042675	0.65726969
0.71338458	0.67572464	0.75104451
0.74454477	0.71050076	0.77858877
0.68302291	0.64166508	0.72438074
0.64042911	0.60082814	0.68003009
0.66282862	0.62435697	0.70130027
0.70505599	0.66572347	0.74438852
0.68473062	0.64685958	0.72260167
0.65218064	0.61553085	0.68883043
0.70070890	0.66442011	0.73699768
0.71449602	0.67988454	0.74910749
0.69761968	0.65788220	0.73735716
0.61671742	0.57748991	0.65594493
0.63652817	0.59638388	0.67667246
0.64350652	0.60383330	0.68317974
