# mean	lower_ci	upper_ci
0.47680743	-0.08114562	1.03476048
1.92292026	0.03588172	3.80995880
1.97516656	0.23612182	3.71421129
1.25385115	0.48971612	2.01798618
1.62844392	0.47651199	2.78037585
1.41613155	0.56007462	2.27218848
2.02045194	0.94022272	3.10068116
1.61464899	0.14546280	3.08383518
2.26434160	1.35089963	3.17778357
8.28259740	4.53559290	12.02960190
9.66742363	5.06578160	14.26906566
13.06330663	7.81958790	18.30702536
15.58163180	3.49359052	27.66967307
9.41644043	5.37771884	13.45516201
13.39693409	9.13509437	17.65877380
20.22549348	13.44311554	27.00787142
18.44429828	9.84319788	27.04539868
17.34498488	7.35321467	27.33675509
18.05566493	12.72445726	23.38687260
20.16832939	13.87364219	26.46301659
14.33181899	9.81588765	18.84775032
11.99227962	8.03572763	15.94883161
11.68088876	7.90824108	15.45353645
17.38598970	10.77973953	23.99223987
17.40094151	12.52016813	22.28171489
18.66893865	9.73763278	27.60024453
29.17142058	21.79167479	36.55116636
24.94323338	18.33776120	31.54870556
31.05123363	15.86286531	46.23960194
31.70534906	21.64587103	41.76482709
50.25616407	38.45231659	62.06001156
65.53517092	50.51337080	80.55697104
52.23170862	41.41716028	63.04625695
44.28413069	28.44078794	60.12747344
46.37802972	34.63630316	58.11975628
52.64435580	40.53749135	64.75122025
58.36668518	40.24332466	76.49004569
35.66652083	25.46224168	45.87079997
37.23996851	27.64391589	46.83602113
37.93874807	28.03340104	47.84409509
33.10366049	23.08746797	43.11985301
14.71712423	9.64245745	19.79179101
13.26890918	6.67476024	19.86305811
13.59502306	6.64136672	20.54867940
6.87541431	3.76691962	9.98390900
9.14132447	4.67711119	13.60553776
9.47216959	6.20485059	12.73948859
10.85374546	7.20564157	14.50184935
11.45992388	6.07231214	16.84753562
8.13926561	5.15972393	11.11880729
11.70528598	7.74005186	15.67052010
12.16615737	7.75081679	16.58149794
12.76168511	7.02175967	18.50161054
6.93420598	3.91865747	9.94975449
6.46813665	3.89442522	9.04184808
6.78521413	4.42150014	9.14892813
6.88255002	3.95272687	9.81237317
5.86841128	2.90370434	8.83311821
6.11072033	3.36594908	8.85549158
5.56154576	3.42367005	7.69942146
6.26847021	3.44342094	9.09351947
7.03991086	3.66215564	10.41766609
8.57356671	5.43435107	11.71278235
11.64491213	7.46271168	15.82711258
9.85161269	6.14840208	13.55482331
14.09440312	5.93264059	22.25616566
19.00425608	10.19577018	27.81274197
21.15650860	14.74975930	27.56325790
13.13377988	9.18538019	17.08217956
12.56171902	9.50267362	15.62076443
23.71437931	16.17672074	31.25203787
28.78607544	21.02858806	36.54356281
21.46611897	15.42089980	27.51133814
25.42063865	17.30778381	33.53349348
41.51997797	27.05294606	55.98700989
58.59548574	40.85946410	76.33150738
48.11818375	35.82937818	60.40698932
36.58523873	27.05284614	46.11763131
49.49166125	37.25912201	61.72420050
60.25961207	44.67100988	75.84821426
55.42712515	41.13810801	69.71614229
38.12198242	26.63848291	49.60548193
60.31953529	45.85894509	74.78012549
66.42320741	52.95709886	79.88931595
60.70063847	45.23309403	76.16818290
43.16006730	31.59831303	54.72182157
51.47110834	30.90883303	72.03338365
61.75840767	48.62475955	74.89205579
56.07706993	42.58150782	69.57263204
36.55424892	25.63625871	47.47223913
50.06422886	38.99319058	61.13526715
56.98899358	46.14106387	67.83692330
55.48755359	41.91512949	69.05997769
34.19736952	23.99877536	44.39596367
46.99972827	33.89556026	60.10389628
58.31499366	41.58936796	75.04061936
