# mean	lower_ci	upper_ci
91.40625000	74.81518272	107.99731728
119.57310268	106.49327378	132.65293158
127.39536830	114.16788670	140.62284991
125.34040179	112.63754546	138.04325811
118.68303571	105.22208709	132.14398434
111.90569196	100.99380771	122.81757622
113.18917411	101.96210009	124.41624812
109.80887277	98.42943558	121.18830996
94.05552455	85.73482964	102.37621947
87.89396151	80.44396434	95.34395867
74.62104302	67.98554055	81.25654549
78.26272360	72.07841009	84.44703711
77.32459923	71.79266940	82.85652906
72.13515976	66.40314475	77.86717477
66.74430550	60.81488870	72.67372230
65.66899897	59.57183440	71.76616354
74.78139048	68.12722216	81.43555881
62.80264657	58.43341025	67.17188289
59.68505759	55.92713076	63.44298442
58.06873302	54.27246300	61.86500305
63.47198700	59.01135857	67.93261543
69.16217571	63.71320902	74.61114241
75.74832882	69.22129487	82.27536277
74.49289968	68.13977439	80.84602496
68.46030922	62.97255731	73.94806113
56.62965108	52.85094955	60.40835262
54.62824593	50.22126407	59.03522779
52.81688526	48.85853047	56.77524006
52.98502422	49.79272483	56.17732362
52.76133642	49.40123915	56.12143369
43.19494685	40.47881028	45.91108342
45.54429056	42.66177065	48.42681046
49.78582051	46.72861153	52.84302949
47.78133143	45.36940422	50.19325864
43.73662901	41.32509884	46.14815918
44.52995190	41.38425178	47.67565202
49.92837872	47.30341250	52.55334494
54.80231969	50.06199185	59.54264753
49.46132624	45.22857631	53.69407618
55.36030170	51.20599193	59.51461147
58.98556830	54.21141067	63.75972593
75.47278893	67.54401294	83.40156491
79.38450222	71.90788741	86.86111702
87.72384842	79.70127933	95.74641751
88.78094562	81.52204147	96.03984976
76.07311634	69.79048121	82.35575147
74.05547577	68.32405425	79.78689729
76.43388838	70.17813017	82.68964658
76.98385599	71.95424634	82.01346564
76.22552252	70.76055932	81.69048573
76.17660660	69.36427324	82.98893995
67.77968126	62.86930494	72.69005758
81.46757052	73.99778715	88.93735388
90.84550215	81.63650692	100.05449739
87.80184659	80.32597008	95.27772311
90.90008624	82.71281867	99.08735382
95.35866477	87.19166747	103.52566207
88.58690138	80.25546544	96.91833731
97.99123728	90.34929356	105.63318100
96.79839692	88.55017151	105.04662232
95.22600446	87.36973869	103.08227024
93.16304789	84.49211348	101.83398229
79.24411526	71.46291590	87.02531462
85.65890165	77.78991738	93.52788591
87.55199878	79.73579186	95.36820570
75.97393817	70.02465263	81.92322371
68.15348714	62.45943873	73.84753555
67.88795189	62.51316754	73.26273625
72.20795806	65.94412949	78.47178663
66.64028354	61.61892862	71.66163847
53.57407872	50.33500957	56.81314788
55.90000332	52.03846227	59.76154436
59.65350080	55.20767812	64.09932347
55.43249195	50.35675726	60.50822664
47.62755455	44.08517969	51.16992940
46.88603115	43.55565896	50.21640335
54.30833126	50.72720663	57.88945589
50.00549887	47.29367889	52.71731885
44.68415825	41.67718232	47.69113418
46.31267888	43.46474106	49.16061670
50.29288726	46.75553702	53.83023749
51.01802458	46.79427527	55.24177390
41.19173543	38.65730406	43.72616679
41.75840811	39.51139223	44.00542398
50.45667367	47.09009348	53.82325386
50.72550296	47.86816564	53.58284028
44.89775813	42.07882199	47.71669427
46.02039109	42.43334327	49.60743891
51.07540552	47.90919395	54.24161710
50.91214700	46.50682439	55.31746962
45.42093519	41.45098467	49.39088570
44.05930603	41.82718125	46.29143080
48.98643980	46.22752485	51.74535475
53.62058352	50.15362972	57.08753732
50.11515591	45.84842032	54.38189150
51.60175037	47.56519790	55.63830284
