# mean	lower_ci	upper_ci
0.01462868	0.01209507	0.01716229
0.01910373	0.01631827	0.02188919
0.02196269	0.01883542	0.02508997
0.02232845	0.01932094	0.02533596
0.02145906	0.01865690	0.02426121
0.02712985	0.02357098	0.03068872
0.02556129	0.02229464	0.02882795
0.02697882	0.02343185	0.03052580
0.04303875	0.03819270	0.04788481
0.04374701	0.03897372	0.04852030
0.05229455	0.04761979	0.05696930
0.04673884	0.04210784	0.05136983
0.05115879	0.04671633	0.05560126
0.05657927	0.05190930	0.06124924
0.05798462	0.05311402	0.06285522
0.05749150	0.05177734	0.06320565
0.05990093	0.05377332	0.06602854
0.05910971	0.05296429	0.06525514
0.06129616	0.05528217	0.06731016
0.05849414	0.05265727	0.06433100
0.05745556	0.05269002	0.06222111
0.05357579	0.04855411	0.05859747
0.05241411	0.04769075	0.05713746
0.05469274	0.04930423	0.06008125
0.06677508	0.05967351	0.07387665
0.07483508	0.06777170	0.08189845
0.06715568	0.06232950	0.07198186
0.07597972	0.06897829	0.08298116
0.08265125	0.07635064	0.08895186
0.08454558	0.07764467	0.09144649
0.07878333	0.07324903	0.08431763
0.08189780	0.07482111	0.08897450
0.08245341	0.07620505	0.08870177
0.08508303	0.07861470	0.09155136
0.08006222	0.07408096	0.08604348
0.08078642	0.07448534	0.08708750
0.07495250	0.06791688	0.08198813
0.06190238	0.05659184	0.06721293
0.06687088	0.06100913	0.07273263
0.06127892	0.05623801	0.06631984
0.05939684	0.05364311	0.06515057
0.03896379	0.03467033	0.04325725
0.04373195	0.03884608	0.04861782
0.03689354	0.03245766	0.04132943
0.04296351	0.03861125	0.04731578
0.04873694	0.04441609	0.05305780
0.04456990	0.04021021	0.04892960
0.05619935	0.04998288	0.06241581
0.05048477	0.04571599	0.05525354
0.05231988	0.04694397	0.05769580
0.04697300	0.04264574	0.05130025
0.05369324	0.04882841	0.05855807
0.04661357	0.04208977	0.05113738
0.04302146	0.03848230	0.04756062
0.04332940	0.03858935	0.04806946
0.03981934	0.03544000	0.04419868
0.04121940	0.03714689	0.04529192
0.03554378	0.03169206	0.03939550
0.03635966	0.03243658	0.04028273
0.03655553	0.03260158	0.04050947
0.04144328	0.03726541	0.04562115
0.05123342	0.04641339	0.05605345
0.04527765	0.04095929	0.04959602
0.04373599	0.03921157	0.04826040
0.04935769	0.04493775	0.05377763
0.05073101	0.04582813	0.05563388
0.05327048	0.04902516	0.05751579
0.05648850	0.05111988	0.06185712
0.05817674	0.05292699	0.06342649
0.06697550	0.06175177	0.07219923
0.06272662	0.05755111	0.06790212
0.06882280	0.06307132	0.07457427
0.08025012	0.07365481	0.08684544
0.07525356	0.06936161	0.08114551
0.07977488	0.07335433	0.08619544
0.08271638	0.07552673	0.08990602
0.07563892	0.06928671	0.08199112
0.08255951	0.07643535	0.08868368
0.08406073	0.07702389	0.09109757
0.07683636	0.07063792	0.08303479
0.08097541	0.07456869	0.08738212
0.08272920	0.07643681	0.08902158
0.08924558	0.08238651	0.09610466
0.08463182	0.07727014	0.09199350
0.08900850	0.08206889	0.09594811
0.07829202	0.07185804	0.08472601
0.08492463	0.07684412	0.09300514
0.07786482	0.07139177	0.08433787
0.08283845	0.07553343	0.09014347
0.07972759	0.07279631	0.08665886
0.07604521	0.07032162	0.08176881
0.08429367	0.07732732	0.09126002
0.07360578	0.06657755	0.08063402
0.06362955	0.05735990	0.06989921
0.06216077	0.05591684	0.06840470
0.06644209	0.06071119	0.07217299
