# mean	lower_ci	upper_ci
0.00036281	-0.00015737	0.00088298
0.00041000	-0.00000313	0.00082313
0.00067413	0.00015413	0.00119414
0.00046293	0.00001617	0.00090968
0.00026995	0.00002943	0.00051048
0.00119380	0.00031100	0.00207659
0.00060215	0.00003470	0.00116960
0.00111314	0.00034647	0.00187982
0.00218178	0.00104408	0.00331949
0.00198974	0.00107403	0.00290545
0.00229158	0.00110906	0.00347409
0.00273393	0.00165240	0.00381545
0.00292428	0.00191634	0.00393221
0.00359148	0.00243620	0.00474677
0.00224224	0.00138640	0.00309808
0.00337312	0.00170694	0.00503929
0.00410625	0.00264205	0.00557045
0.00286997	0.00175770	0.00398224
0.00296944	0.00161888	0.00432000
0.00309153	0.00205939	0.00412366
0.00319030	0.00198378	0.00439682
0.00239378	0.00122421	0.00356334
0.00219720	0.00132124	0.00307316
0.00305031	0.00177757	0.00432306
0.00482979	0.00242453	0.00723505
0.00602688	0.00363262	0.00842115
0.00362152	0.00214991	0.00509313
0.00627118	0.00375531	0.00878704
0.00544458	0.00354751	0.00734164
0.00623161	0.00395781	0.00850541
0.00540090	0.00346174	0.00734006
0.00678405	0.00479257	0.00877554
0.00566813	0.00418069	0.00715558
0.00597307	0.00416226	0.00778387
0.00522573	0.00378908	0.00666239
0.00664995	0.00469832	0.00860158
0.00611733	0.00417737	0.00805729
0.00297368	0.00191076	0.00403660
0.00405551	0.00266857	0.00544245
0.00318359	0.00202733	0.00433985
0.00379778	0.00236204	0.00523352
0.00158688	0.00045443	0.00271933
0.00216842	0.00104097	0.00329587
0.00128745	0.00039728	0.00217762
0.00158665	0.00074286	0.00243044
0.00219581	0.00121487	0.00317675
0.00226593	0.00146329	0.00306856
0.00339731	0.00176961	0.00502500
0.00196389	0.00095252	0.00297525
0.00242673	0.00108935	0.00376412
0.00215428	0.00118876	0.00311980
0.00322586	0.00188089	0.00457084
0.00155636	0.00073491	0.00237782
0.00191308	0.00109188	0.00273428
0.00155350	0.00070838	0.00239862
0.00146687	0.00058609	0.00234764
0.00167099	0.00076862	0.00257335
0.00119863	0.00054589	0.00185138
0.00126393	0.00031706	0.00221079
0.00136076	0.00033232	0.00238920
0.00197920	0.00089711	0.00306130
0.00256404	0.00132267	0.00380540
0.00190270	0.00096402	0.00284138
0.00154774	0.00089249	0.00220300
0.00232133	0.00119929	0.00344337
0.00210228	0.00082615	0.00337841
0.00258615	0.00155544	0.00361686
0.00313992	0.00210296	0.00417688
0.00322959	0.00188532	0.00457385
0.00395322	0.00253503	0.00537142
0.00359873	0.00224500	0.00495247
0.00381494	0.00234761	0.00528227
0.00521702	0.00353579	0.00689824
0.00487101	0.00324469	0.00649732
0.00537474	0.00379124	0.00695823
0.00680576	0.00501212	0.00859940
0.00439522	0.00289178	0.00589866
0.00589879	0.00412350	0.00767408
0.00630004	0.00442980	0.00817027
0.00482284	0.00334835	0.00629734
0.00530717	0.00382306	0.00679128
0.00709076	0.00514179	0.00903974
0.00665910	0.00464944	0.00866877
0.00707512	0.00493413	0.00921610
0.00706638	0.00490231	0.00923045
0.00598125	0.00386058	0.00810192
0.00775580	0.00504418	0.01046741
0.00536406	0.00373509	0.00699304
0.00716772	0.00437194	0.00996351
0.00451926	0.00284286	0.00619567
0.00600417	0.00412485	0.00788349
0.00628932	0.00415002	0.00842863
0.00602540	0.00276232	0.00928847
0.00361278	0.00199320	0.00523236
0.00306277	0.00183329	0.00429226
0.00315635	0.00196521	0.00434749
