# mean	lower_ci	upper_ci
0.01462033	0.01231815	0.01692250
0.01885976	0.01621566	0.02150386
0.02139218	0.01853409	0.02425028
0.02207351	0.01922233	0.02492469
0.02103421	0.01837641	0.02369202
0.02600289	0.02291432	0.02909146
0.02529349	0.02223241	0.02835458
0.02583152	0.02261040	0.02905264
0.04096981	0.03658365	0.04535597
0.04188877	0.03754389	0.04623365
0.04990254	0.04572485	0.05408023
0.04537147	0.04141116	0.04933177
0.04879642	0.04485787	0.05273497
0.05323733	0.04902669	0.05744797
0.05587648	0.05135155	0.06040142
0.05400421	0.04920319	0.05880522
0.05623516	0.05105350	0.06141681
0.05657161	0.05113511	0.06200812
0.05816849	0.05305098	0.06328601
0.05588255	0.05059920	0.06116590
0.05503785	0.05079774	0.05927796
0.05088051	0.04637506	0.05538596
0.05045748	0.04613531	0.05477964
0.05187873	0.04720126	0.05655620
0.06254330	0.05698957	0.06809703
0.06960920	0.06394441	0.07527399
0.06348540	0.05932454	0.06764625
0.07012157	0.06466762	0.07557551
0.07826406	0.07304793	0.08348020
0.07885615	0.07319593	0.08451637
0.07323126	0.06849329	0.07796923
0.07605972	0.06989984	0.08221959
0.07827884	0.07298349	0.08357420
0.07865019	0.07330296	0.08399741
0.07477112	0.06963119	0.07991106
0.07543571	0.07029814	0.08057327
0.06894899	0.06318909	0.07470890
0.05935621	0.05436524	0.06434718
0.06349415	0.05827258	0.06871573
0.05788443	0.05340993	0.06235893
0.05649245	0.05181572	0.06116917
0.03750378	0.03373543	0.04127214
0.04176870	0.03746566	0.04607174
0.03527636	0.03139549	0.03915723
0.04188870	0.03796364	0.04581375
0.04713279	0.04322411	0.05104147
0.04268277	0.03861637	0.04674916
0.05269276	0.04748615	0.05789938
0.04916617	0.04459888	0.05373346
0.05028738	0.04554773	0.05502704
0.04488794	0.04098755	0.04878833
0.05124079	0.04705252	0.05542905
0.04527463	0.04107462	0.04947464
0.04136060	0.03728907	0.04543212
0.04238266	0.03805394	0.04671137
0.03835763	0.03437355	0.04234170
0.04039782	0.03666663	0.04412900
0.03423049	0.03063524	0.03782574
0.03485597	0.03119866	0.03851327
0.03577816	0.03226102	0.03929530
0.03988465	0.03611537	0.04365392
0.04872565	0.04441308	0.05303821
0.04369332	0.03969589	0.04769074
0.04286846	0.03836873	0.04736819
0.04711883	0.04327232	0.05096534
0.04902859	0.04474869	0.05330850
0.05074750	0.04695115	0.05454385
0.05358261	0.04884227	0.05832295
0.05527975	0.05073335	0.05982616
0.06370846	0.05916659	0.06825033
0.06017452	0.05548852	0.06486052
0.06489541	0.06000468	0.06978613
0.07499108	0.06956019	0.08042197
0.07145588	0.06647043	0.07644133
0.07519588	0.06952980	0.08086195
0.07602168	0.06997057	0.08207279
0.07147506	0.06575495	0.07719516
0.07671650	0.07154325	0.08188976
0.07833535	0.07242467	0.08424602
0.07246159	0.06702904	0.07789414
0.07592829	0.07032640	0.08153018
0.07617925	0.07118236	0.08117614
0.08299645	0.07723424	0.08875866
0.07893102	0.07292570	0.08493634
0.08165591	0.07592212	0.08738969
0.07298828	0.06772211	0.07825446
0.07734870	0.07088490	0.08381249
0.07349367	0.06806190	0.07892543
0.07561076	0.06994700	0.08127452
0.07581588	0.06993727	0.08169448
0.07017070	0.06549906	0.07484234
0.07900742	0.07327538	0.08473946
0.06693019	0.06170176	0.07215862
0.06076980	0.05543123	0.06610838
0.05907104	0.05351799	0.06462410
0.06354952	0.05831085	0.06878819
