# mean	lower_ci	upper_ci
0.03092143	-0.00590870	0.06775157
0.04086361	-0.00382803	0.08555526
0.05159919	0.01477526	0.08842313
0.05992295	-0.00665037	0.12649628
0.02194317	0.00258111	0.04130523
0.11136056	0.02044441	0.20227671
0.05261463	0.00429062	0.10093865
0.09282470	0.02641273	0.15923667
0.14258972	0.06908138	0.21609807
0.10997547	0.05782714	0.16212381
0.12093036	0.06311648	0.17874425
0.15064188	0.09578296	0.20550080
0.15830751	0.10522877	0.21138624
0.19169406	0.12911629	0.25427182
0.10463341	0.06636634	0.14290049
0.16561630	0.08566430	0.24556830
0.18901453	0.12392611	0.25410295
0.12423138	0.07721189	0.17125086
0.11912382	0.07049858	0.16774906
0.13140980	0.08505589	0.17776370
0.16718386	0.10216150	0.23220623
0.12632138	0.06446211	0.18818064
0.11815186	0.07042624	0.16587747
0.15241785	0.08245452	0.22238119
0.19051867	0.10208509	0.27895225
0.22419347	0.14116523	0.30722172
0.15586400	0.09086063	0.22086737
0.24841109	0.15806400	0.33875818
0.18784357	0.13016993	0.24551722
0.21034723	0.12956138	0.29113309
0.20101467	0.13011086	0.27191848
0.26968832	0.19098857	0.34838807
0.19969802	0.14554585	0.25385020
0.20734298	0.15041192	0.26427405
0.18989852	0.13953844	0.24025859
0.24652662	0.17772456	0.31532868
0.21557736	0.14761132	0.28354340
0.12581262	0.08216995	0.16945529
0.17158355	0.10923825	0.23392885
0.13301556	0.08781312	0.17821800
0.18265288	0.11396822	0.25133755
0.08253392	0.03066041	0.13440743
0.11811587	0.05672506	0.17950669
0.06766351	0.02556180	0.10976523
0.08404203	0.04135155	0.12673251
0.13473931	0.07133196	0.19814667
0.13598488	0.08649479	0.18547496
0.17063035	0.09304711	0.24821359
0.14755895	0.04746887	0.24764904
0.12090611	0.05880958	0.18300264
0.11295288	0.06219186	0.16371390
0.17309079	0.10313986	0.24304173
0.08174092	0.03926772	0.12421412
0.11777490	0.06817783	0.16737197
0.07967185	0.03809548	0.12124823
0.07305910	0.03561934	0.11049887
0.10632620	0.04722508	0.16542732
0.09330711	0.03598933	0.15062489
0.11907073	0.02131408	0.21682739
0.09221853	0.02976373	0.15467333
0.13815858	0.05674337	0.21957380
0.13626809	0.07304475	0.19949143
0.10187926	0.04880078	0.15495774
0.10308603	0.05716043	0.14901163
0.12474175	0.06337333	0.18611017
0.09181343	0.04767752	0.13594934
0.12901019	0.07781848	0.18020190
0.15293823	0.10230964	0.20356682
0.18118316	0.07012701	0.29223932
0.18681276	0.11818180	0.25544372
0.16263924	0.10421091	0.22106757
0.15427742	0.09815214	0.21040271
0.17752787	0.12143695	0.23361880
0.17206398	0.11689436	0.22723360
0.18993011	0.13320739	0.24665282
0.25009744	0.18324840	0.31694649
0.15899314	0.10131120	0.21667508
0.21488007	0.15306814	0.27669199
0.22450234	0.16169332	0.28731136
0.19050229	0.13237493	0.24862965
0.17975466	0.13061091	0.22889842
0.26883967	0.19311485	0.34456449
0.22542118	0.16006076	0.29078161
0.23510204	0.16488842	0.30531566
0.24803545	0.17217579	0.32389510
0.21569298	0.14255966	0.28882631
0.27156286	0.17515877	0.36796696
0.18697875	0.13506708	0.23889043
0.25788572	0.15652779	0.35924366
0.14172026	0.09468273	0.18875778
0.22204412	0.15500200	0.28908624
0.21734142	0.14273618	0.29194666
0.26189084	0.11489734	0.40888435
0.13648402	0.08159037	0.19137768
0.12451128	0.07705363	0.17196894
0.14044381	0.08748593	0.19340169
