# mean	lower_ci	upper_ci
110.07254464	94.42343275	125.72165654
123.63978795	111.21247310	136.06710279
123.78069196	111.46650352	136.09488041
120.48270089	108.17782053	132.78758126
120.70033482	108.11799408	133.28267557
105.80915179	95.25571416	116.36258942
112.93108259	101.57449944	124.28766574
107.97293527	96.58282122	119.36304931
85.55655282	77.43992134	93.67318431
77.33415022	70.80667325	83.86162720
69.97691761	64.93763343	75.01620179
75.96708955	69.60802980	82.32614930
68.66696780	64.00032448	73.33361111
64.14036159	59.62725458	68.65346860
60.13055935	54.92437289	65.33674582
64.91401665	59.15409270	70.67394060
60.72703664	55.94400753	65.51006574
60.28908534	55.44832850	65.12984218
55.67684211	52.41409890	58.93958533
60.21745344	54.80056878	65.63433811
60.15590854	56.47772066	63.83409643
65.85186786	61.05837964	70.64535608
71.97967072	66.17000902	77.78933242
69.96263014	63.85121748	76.07404281
55.27319016	50.77890126	59.76747906
48.19493007	45.13284537	51.25701477
51.17776066	47.26676557	55.08875575
49.74104308	46.36625556	53.11583060
42.64327971	40.23432852	45.05223089
41.31263206	39.15551539	43.46974872
44.20551702	41.32813315	47.08290090
46.56673290	42.56941355	50.56405225
44.03513586	40.83310728	47.23716444
42.44056487	39.53886433	45.34226542
43.88200860	41.60153248	46.16248471
43.12905951	40.80502067	45.45309836
48.41268968	44.43900551	52.38637384
55.22638781	50.34814112	60.10463451
53.82985322	50.03287632	57.62683013
55.97088602	52.19642207	59.74534997
66.50688667	60.49240285	72.52137048
84.69916802	76.65180120	92.74653484
82.08176589	74.69843589	89.46509589
90.13384077	82.06984616	98.19783538
80.73419744	74.42757025	87.04082464
72.56860327	66.18022757	78.95697898
75.03504308	69.41056560	80.65952056
72.90387835	66.58682977	79.22092693
75.23957488	68.85334746	81.62580230
70.29482237	65.13270877	75.45693596
72.05764450	65.57593808	78.53935093
66.36414510	61.88864723	70.83964298
79.99380015	73.04996431	86.93763598
88.00413454	81.05695058	94.95131850
83.75312188	76.44293532	91.06330844
84.82032616	77.38589446	92.25475786
88.83827110	81.10291522	96.57362699
90.37810822	82.03248705	98.72372939
92.32295049	85.84147442	98.80442656
95.37984476	86.84947829	103.91021124
89.58988277	81.38819705	97.79156850
76.21206918	69.51089519	82.91324317
77.86627435	70.80725082	84.92529788
75.54707987	68.92992013	82.16423962
76.16083136	70.02463632	82.29702639
68.96029264	63.91571946	74.00486582
63.42064817	58.77262815	68.06866819
65.16926433	60.34924557	69.98928309
63.91264153	58.99075463	68.83452842
55.22749367	51.28718119	59.16780615
54.99780005	51.78719922	58.20840089
52.93600873	48.97735538	56.89466208
42.51894814	40.09063617	44.94726011
47.86751650	44.33956242	51.39547059
45.79954096	42.37216421	49.22691770
46.35351601	43.02832906	49.67870296
47.72162001	43.44262733	52.00061269
42.70193006	40.34178133	45.06207879
43.81892392	40.87527168	46.76257615
45.01976826	42.11836088	47.92117564
43.22321606	39.47781162	46.96862051
45.39555135	42.29652813	48.49457458
39.72886559	37.53430441	41.92342678
41.95132216	39.24257996	44.66006435
43.91937035	40.83926906	46.99947163
44.16574887	41.02714897	47.30434877
45.96781214	42.44522592	49.49039837
45.00779092	42.06243447	47.95314738
43.79708720	41.06449481	46.52967959
42.40604825	39.60846437	45.20363212
44.28807808	41.69449183	46.88166433
41.17604814	38.78230423	43.56979205
51.36380579	47.89686187	54.83074972
57.19976399	52.23804565	62.16148232
61.69922506	56.15801504	67.24043508
55.66916625	51.83236225	59.50597026
