# mean	lower_ci	upper_ci
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
0.00000000	0.00000000	0.00000000
1.56771445	1.39405128	1.74137762
0.28634287	0.19994741	0.37273834
0.00992009	0.00015275	0.01968743
0.00000000	0.00000000	0.00000000
2.58471224	2.37464685	2.79477762
0.92033374	0.74352569	1.09714180
0.23896533	0.13836331	0.33956734
0.04749148	-0.00613950	0.10112245
4.10824406	3.77728207	4.43920604
2.64104218	2.41240852	2.86967584
1.41326152	1.20796862	1.61855443
0.67465738	0.50113023	0.84818453
4.39099701	4.01721882	4.76477521
2.76648841	2.50160178	3.03137504
1.42818241	1.21170013	1.64466468
0.90225684	0.68517555	1.11933813
4.64098718	4.22851573	5.05345864
3.27877214	2.95117138	3.60637290
2.27299545	2.01222853	2.53376238
1.71082364	1.43668839	1.98495890
4.89539071	4.57487505	5.21590637
2.15526647	1.89228258	2.41825036
0.56970892	0.40752617	0.73189168
0.06485871	0.00094481	0.12877261
5.90784664	5.59560810	6.22008518
2.91195232	2.62451388	3.19939075
0.93886855	0.75043169	1.12730541
0.09532732	0.03668721	0.15396743
5.45289223	5.12275439	5.78303008
2.81594725	2.50116192	3.13073257
0.91840777	0.69732554	1.13948999
0.15030436	0.06850297	0.23210574
6.03060521	5.66315728	6.39805315
3.40632783	3.08597370	3.72668196
1.36353813	1.10118188	1.62589439
0.24987755	0.13085842	0.36889667
5.22249867	4.88963844	5.55535891
2.67589723	2.36437518	2.98741928
0.87070170	0.67013066	1.07127275
0.09573112	0.03105885	0.16040339
4.15987443	3.85969836	4.46005050
1.77981554	1.53055001	2.02908107
0.29588874	0.17475971	0.41701777
0.03366122	-0.01331987	0.08064232
4.05795851	3.71502442	4.40089260
2.77476724	2.47818803	3.07134645
1.64552805	1.39608363	1.89497246
1.01680747	0.78311548	1.25049947
4.23163222	3.84083983	4.62242462
2.92941110	2.66699607	3.19182612
1.78414530	1.55798506	2.01030554
1.06260039	0.84498997	1.28021080
4.16057217	3.86421426	4.45693007
2.71899970	2.46998947	2.96800994
1.50278906	1.27208451	1.73349360
0.85587891	0.63767713	1.07408069
3.75747982	3.45050975	4.06444988
2.16393711	1.93113761	2.39673661
1.14000733	0.95358870	1.32642596
0.46026957	0.31894450	0.60159465
4.08884960	3.80788752	4.36981168
1.25308404	1.05264340	1.45352467
0.13907881	0.07805851	0.20009910
0.00388180	-0.00157236	0.00933597
4.63962944	4.35506623	4.92419264
1.82298491	1.58846709	2.05750273
0.24103552	0.16003111	0.32203993
0.00385741	-0.00287287	0.01058769
4.96947210	4.65175209	5.28719212
2.51122455	2.24321958	2.77922951
0.56312325	0.41047664	0.71576986
0.03962462	0.01351228	0.06573697
5.53762417	5.19139773	5.88385060
2.84123708	2.54944379	3.13303037
0.81543471	0.62838383	1.00248559
0.07367010	0.03186173	0.11547846
5.78971086	5.41897013	6.16045160
3.07273317	2.76151455	3.38395179
1.09644777	0.87795057	1.31494497
0.15950372	0.07400746	0.24499997
6.02938426	5.66787173	6.39089680
3.50509296	3.17460158	3.83558433
1.38383650	1.12029198	1.64738103
0.23597522	0.12752186	0.34442858
5.13699559	4.79476786	5.47922331
2.56298749	2.29277917	2.83319582
0.78483452	0.61294574	0.95672329
0.08058752	0.02098695	0.14018809
5.98380960	5.64405311	6.32356608
3.29613319	3.01337116	3.57889521
1.21079321	0.97655437	1.44503204
0.22924233	0.12385145	0.33463320
